Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 1:27:55 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-116,-10.5,-100,120,128,5,-5
12/29 1:27:49 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-123,-10.5,105,120,128,5,-5
12/29 1:27:46 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-124,-10.5,106,120,128,5,-5
12/29 1:27:43 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-123,-10.5,105,120,128,5,-5
12/29 1:27:13 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-125,-10.5,107,120,128,5,-5
12/29 1:27:02 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-123,-10.5,105,120,128,5,-5
12/29 1:26:46 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-117,-10.5,100,120,128,5,-5
12/29 1:26:43 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-116,-10.5,-101,120,128,5,-5
12/29 1:26:34 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,10.5,-131,-10.5,112,120,128,5,-5
12/29 1:21:28 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,9.5,-110,-9.5,-106,120,128,5,-5
12/29 1:21:13 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,9.5,-112,-9.5,-104,120,128,5,-5
12/29 1:21:07 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,9.5,-110,-9.5,-106,120,128,5,-5
12/29 1:20:37 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,9.5,-108,-9.5,-108,120,128,5,-5
12/29 1:17:14 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,6.5,-120,-6.5,103,120,128,5,-5
12/29 1:16:40 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,6.5,-118,-6.5,101,120,128,5,-5
12/29 1:15:58 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,6.5,-117,-6.5,100,120,128,5,-5
12/29 1:12:35 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,9.0,-115,-9.0,-115,120,128,5,-5
12/29 1:12:31 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,6.5,-122,-6.5,-109,120,128,5,-5
12/29 1:11:52 pm,Pinnacle,Los Angeles Lakers,Portland Trail Blazers,7.5,-121,-7.5,-109,120,128,5,-5
