Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/26 11:39:03 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-113,-10.0,-103,104,114,4.5,-4.5
11/26 11:38:54 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-116,-10.0,-101,104,114,4.5,-4.5
11/26 11:38:39 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-118,-10.0,101,104,114,4.5,-4.5
11/26 11:38:27 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-123,-10.0,105,104,114,4.5,-4.5
11/26 11:38:24 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-122,-10.0,104,104,114,4.5,-4.5
11/26 11:38:13 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-120,-10.0,103,104,114,4.5,-4.5
11/26 11:38:00 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-116,-10.0,-100,104,114,4.5,-4.5
11/26 11:37:54 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-109,-10.0,-107,104,114,4.5,-4.5
11/26 11:37:51 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-106,-10.0,-110,104,114,4.5,-4.5
11/26 11:37:46 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-103,-10.0,-114,104,114,4.5,-4.5
11/26 11:37:39 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-101,-10.0,-116,104,114,4.5,-4.5
11/26 11:32:27 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,8.0,-119,-8.0,-111,104,114,4.5,-4.5
11/26 11:32:06 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,9.0,-109,-9.0,-121,104,114,4.5,-4.5
11/26 11:32:03 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,9.5,-124,-9.5,-106,104,114,4.5,-4.5
11/26 11:31:54 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,9.5,-120,-9.5,-110,104,114,4.5,-4.5
11/26 11:31:48 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,9.5,-127,-9.5,-105,104,114,4.5,-4.5
11/26 11:31:40 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,9.5,-124,-9.5,-107,104,114,4.5,-4.5
11/26 11:31:36 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,9.5,-118,-9.5,-113,104,114,4.5,-4.5
11/26 11:31:33 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.0,-113,-10.0,-117,104,114,4.5,-4.5
11/26 11:31:30 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.5,-119,-10.5,-111,104,114,4.5,-4.5
11/26 11:31:27 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.5,-115,-10.5,-115,104,114,4.5,-4.5
11/26 11:31:21 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.5,-113,-10.5,-117,104,114,4.5,-4.5
11/26 11:31:18 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,9.5,-114,-9.5,-116,104,114,4.5,-4.5
11/26 11:31:12 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.5,-125,-10.5,-106,104,114,4.5,-4.5
11/26 11:31:09 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.5,-131,-10.5,-101,104,114,4.5,-4.5
11/26 11:31:00 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.5,-139,-10.5,105,104,114,4.5,-4.5
11/26 11:30:54 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,10.5,-121,-10.5,-109,104,114,4.5,-4.5
11/26 11:30:48 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,11.5,-120,-11.5,-110,104,114,4.5,-4.5
11/26 11:30:45 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,12.5,-130,-12.5,-102,104,114,4.5,-4.5
11/26 11:30:39 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,12.5,-123,-12.5,-107,104,114,4.5,-4.5
11/26 11:30:36 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,12.5,-121,-12.5,-109,104,114,4.5,-4.5
11/26 11:30:33 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,12.5,-114,-12.5,-116,104,114,4.5,-4.5
11/26 11:30:27 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,12.5,-116,-12.5,-114,104,114,4.5,-4.5
11/26 11:30:24 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,11.5,-109,-11.5,-121,104,114,4.5,-4.5
11/26 11:30:12 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,11.5,-116,-11.5,-114,104,114,4.5,-4.5
11/26 11:30:09 am,Pinnacle,Los Angeles Lakers,San Antonio Spurs,12.0,-115,-12.0,-115,104,114,4.5,-4.5
