Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/23 10:28:11 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.0,-116,24.0,-114,119,95,-7,7
1/23 10:28:07 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.0,-118,24.0,-112,119,95,-7,7
1/23 10:28:01 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.0,-123,24.0,-107,119,95,-7,7
1/23 10:27:58 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.5,-110,24.5,-120,119,95,-7,7
1/23 10:27:56 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.5,-103,24.5,-129,119,95,-7,7
1/23 10:27:52 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.5,-107,24.5,-124,119,95,-7,7
1/23 10:27:37 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.5,-111,24.5,-119,119,95,-7,7
1/23 10:27:31 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-110,25.5,-120,119,95,-7,7
1/23 10:27:07 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-24.5,-104,24.5,-112,119,95,-7,7
1/23 10:26:52 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-109,25.5,-107,119,95,-7,7
1/23 10:26:49 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.0,-110,25.0,-106,119,95,-7,7
1/23 10:26:43 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-101,25.5,-115,119,95,-7,7
1/23 10:25:13 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-26.0,102,26.0,-119,119,95,-7,7
1/23 10:25:07 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-26.0,-103,26.0,-113,119,95,-7,7
1/23 10:27:10 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-114,25.5,-116,119,95,-7,7
1/23 10:25:01 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-26.0,-106,26.0,-110,119,95,-7,7
1/23 10:24:37 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-26.0,-103,26.0,-113,119,95,-7,7
1/23 10:24:28 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-26.0,-105,26.0,-111,119,95,-7,7
1/23 10:24:19 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-101,25.5,-115,119,95,-7,7
1/23 10:24:16 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-107,25.5,-124,119,95,-7,7
1/23 10:23:49 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-112,25.5,-118,119,95,-7,7
1/23 10:23:37 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-111,25.5,-119,119,95,-7,7
1/23 10:23:31 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-26.5,-114,26.5,-116,119,95,-7,7
1/23 10:23:59 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-25.5,-112,25.5,-118,119,95,-7,7
1/23 10:21:04 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-31.5,-117,31.5,-113,119,95,-7,7
1/23 10:20:49 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-31.5,-117,31.5,-113,119,95,-7,7
1/23 10:20:31 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-31.5,-116,31.5,-114,119,95,-7,7
1/23 10:20:29 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-118,32.0,-112,119,95,-7,7
1/23 10:20:17 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-120,33.0,-110,119,95,-7,7
1/23 10:20:07 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-116,32.0,-114,119,95,-7,7
1/23 10:20:01 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-117,32.0,-114,119,95,-7,7
1/23 10:19:49 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-119,33.0,-111,119,95,-7,7
1/23 10:19:34 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-118,33.0,-112,119,95,-7,7
1/23 10:19:28 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-116,32.0,-114,119,95,-7,7
1/23 10:19:10 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-120,33.0,-110,119,95,-7,7
1/23 10:19:07 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.5,-116,33.5,-114,119,95,-7,7
1/23 10:19:03 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.5,-120,33.5,-110,119,95,-7,7
1/23 10:18:37 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.5,-120,33.5,-110,119,95,-7,7
1/23 10:18:31 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-35.0,-109,35.0,-122,119,95,-7,7
1/23 10:18:16 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.5,-119,33.5,-111,119,95,-7,7
1/23 10:17:58 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-116,33.0,-114,119,95,-7,7
1/23 10:17:49 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.5,-117,33.5,-113,119,95,-7,7
1/23 10:17:44 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.5,-117,33.5,-113,119,95,-7,7
1/23 10:17:10 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-115,33.0,-115,119,95,-7,7
1/23 10:16:46 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-113,33.0,-117,119,95,-7,7
1/23 10:16:43 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-111,32.0,-119,119,95,-7,7
1/23 10:16:40 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-111,32.0,-119,119,95,-7,7
1/23 10:16:35 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-33.0,-113,33.0,-117,119,95,-7,7
1/23 10:16:13 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-31.5,-110,31.5,-121,119,95,-7,7
1/23 10:15:56 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-110,32.0,-120,119,95,-7,7
1/23 10:15:49 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-103,32.0,-114,119,95,-7,7
1/23 10:15:00 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.5,-112,32.5,-105,119,95,-7,7
1/23 10:14:58 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-103,32.0,-114,119,95,-7,7
1/23 10:14:40 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.5,-112,32.5,-105,119,95,-7,7
1/23 10:14:39 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-103,32.0,-114,119,95,-7,7
1/23 10:14:16 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.5,-112,32.5,-105,119,95,-7,7
1/23 10:13:28 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.5,-113,32.5,-104,119,95,-7,7
1/23 10:13:19 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-32.0,-103,32.0,-113,119,95,-7,7
1/23 10:13:16 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-31.5,-113,31.5,-103,119,95,-7,7
1/23 10:13:07 am,Pinnacle,Memphis Grizzlies,Boston Celtics,-31.5,-121,31.5,-109,119,95,-7,7
