Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/21 10:11:24 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,-4.5,-202,4.5,171,114,107,2.5,-2.5
12/21 10:11:21 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,-4.5,-208,4.5,175,114,107,2.5,-2.5
12/21 10:11:01 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,-4.5,-192,4.5,163,114,107,2.5,-2.5
12/21 10:10:16 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,-4.5,-190,4.5,161,114,107,2.5,-2.5
12/21 10:01:07 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,1.5,107,-1.5,-125,114,107,2.5,-2.5
12/21 10:00:56 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,1.5,105,-1.5,-123,114,107,2.5,-2.5
12/21 10:00:43 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,1.5,107,-1.5,-125,114,107,2.5,-2.5
12/21 10:00:25 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,1.5,106,-1.5,-124,114,107,2.5,-2.5
12/21 10:00:19 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,1.5,107,-1.5,-125,114,107,2.5,-2.5
12/21 9:59:32 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,1.5,111,-1.5,-130,114,107,2.5,-2.5
12/21 9:55:26 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.0,-107,-5.0,-123,114,107,2.5,-2.5
12/21 9:55:19 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,6.0,-118,-6.0,-112,114,107,2.5,-2.5
12/21 9:55:07 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.5,-125,-4.5,-106,114,107,2.5,-2.5
12/21 9:55:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.5,-123,-4.5,-107,114,107,2.5,-2.5
12/21 9:54:58 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.0,-121,-5.0,-109,114,107,2.5,-2.5
12/21 9:54:52 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.0,-115,-5.0,-115,114,107,2.5,-2.5
12/21 9:55:13 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,6.0,-112,-6.0,-118,114,107,2.5,-2.5
12/21 9:54:46 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.0,-113,-5.0,-117,114,107,2.5,-2.5
12/21 9:54:40 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.5,-121,-4.5,-110,114,107,2.5,-2.5
12/21 9:54:37 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,-120,-3.5,-110,114,107,2.5,-2.5
12/21 9:54:34 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,105,-3.5,-139,114,107,2.5,-2.5
12/21 9:54:16 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,-105,-3.5,-126,114,107,2.5,-2.5
12/21 9:54:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.0,-114,-4.0,-116,114,107,2.5,-2.5
12/21 9:53:58 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,-106,-3.5,-125,114,107,2.5,-2.5
12/21 9:53:32 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.0,-118,-4.0,-112,114,107,2.5,-2.5
12/21 9:53:19 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,-123,-3.5,-108,114,107,2.5,-2.5
12/21 9:53:16 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.0,-122,-3.0,-109,114,107,2.5,-2.5
12/21 9:53:13 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,2.5,-122,-2.5,-109,114,107,2.5,-2.5
12/21 9:52:52 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,-115,-3.5,-115,114,107,2.5,-2.5
12/21 9:52:49 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,-112,-3.5,-118,114,107,2.5,-2.5
12/21 9:52:22 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.0,-120,-4.0,-110,114,107,2.5,-2.5
12/21 9:52:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.5,-108,-4.5,-123,114,107,2.5,-2.5
12/21 9:52:00 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,3.5,-116,-3.5,-114,114,107,2.5,-2.5
12/21 9:51:49 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.0,-110,-4.0,-120,114,107,2.5,-2.5
12/21 9:51:37 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.0,-121,-4.0,-109,114,107,2.5,-2.5
12/21 9:51:30 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.0,-114,-4.0,-116,114,107,2.5,-2.5
12/21 9:51:13 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.5,-116,-4.5,-114,114,107,2.5,-2.5
12/21 9:51:06 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,4.5,-123,-4.5,-108,114,107,2.5,-2.5
12/21 9:50:58 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.0,-111,-5.0,-119,114,107,2.5,-2.5
12/21 9:50:52 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.0,-117,-5.0,-113,114,107,2.5,-2.5
12/21 9:50:47 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.5,-111,-5.5,-119,114,107,2.5,-2.5
12/21 9:50:40 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-139,-7.0,105,114,107,2.5,-2.5
12/21 9:50:37 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-122,-7.0,-108,114,107,2.5,-2.5
12/21 9:49:52 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,103,-7.0,-120,114,107,2.5,-2.5
12/21 9:49:47 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,106,-7.0,-124,114,107,2.5,-2.5
12/21 9:49:25 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,108,-7.0,-126,114,107,2.5,-2.5
12/21 9:49:10 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,100,-7.0,-117,114,107,2.5,-2.5
12/21 9:49:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-102,-7.0,-114,114,107,2.5,-2.5
12/21 9:48:38 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-104,-7.0,-112,114,107,2.5,-2.5
12/21 9:51:01 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.5,-122,-5.5,-109,114,107,2.5,-2.5
12/21 9:48:28 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-106,-7.0,-110,114,107,2.5,-2.5
12/21 9:48:24 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-107,-7.0,-109,114,107,2.5,-2.5
12/21 9:48:22 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-108,-7.0,-108,114,107,2.5,-2.5
12/21 9:48:19 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-112,-7.0,-104,114,107,2.5,-2.5
12/21 9:48:13 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-114,-7.0,-102,114,107,2.5,-2.5
12/21 9:48:00 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-117,-7.0,100,114,107,2.5,-2.5
12/21 9:47:34 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-116,-7.0,-114,114,107,2.5,-2.5
12/21 9:47:28 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,6.5,101,-6.5,-133,114,107,2.5,-2.5
12/21 9:47:22 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,6.5,-109,-6.5,-121,114,107,2.5,-2.5
12/21 9:47:16 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,8.0,-115,-8.0,-115,114,107,2.5,-2.5
12/21 9:47:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-132,-9.0,-101,114,107,2.5,-2.5
12/21 9:46:52 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-115,-9.0,-115,114,107,2.5,-2.5
12/21 9:46:49 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,8.0,-102,-8.0,-129,114,107,2.5,-2.5
12/21 9:46:43 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,8.0,-113,-8.0,-117,114,107,2.5,-2.5
12/21 9:46:36 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-126,-9.0,-105,114,107,2.5,-2.5
12/21 9:46:26 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-117,-9.0,-113,114,107,2.5,-2.5
12/21 9:46:12 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.5,-112,-9.5,-118,114,107,2.5,-2.5
12/21 9:46:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,10.5,-112,-10.5,-118,114,107,2.5,-2.5
12/21 9:46:33 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-118,-9.0,-112,114,107,2.5,-2.5
12/21 9:45:40 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,10.5,-110,-10.5,-120,114,107,2.5,-2.5
12/21 9:45:16 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,11.0,-108,-11.0,-122,114,107,2.5,-2.5
12/21 9:45:06 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,11.5,-121,-11.5,-109,114,107,2.5,-2.5
12/21 9:45:01 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,11.0,-109,-11.0,-121,114,107,2.5,-2.5
12/21 9:44:52 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,8.0,-122,-8.0,-109,114,107,2.5,-2.5
12/21 9:44:49 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-104,-9.0,-128,114,107,2.5,-2.5
12/21 9:44:36 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-113,-9.0,-117,114,107,2.5,-2.5
12/21 9:43:34 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,102,-9.0,-136,114,107,2.5,-2.5
12/21 9:43:27 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-107,-9.0,-123,114,107,2.5,-2.5
12/21 9:43:13 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,9.0,-113,-9.0,-117,114,107,2.5,-2.5
12/21 9:43:10 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.5,103,-7.5,-136,114,107,2.5,-2.5
12/21 9:43:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.5,-112,-7.5,-119,114,107,2.5,-2.5
12/21 9:42:48 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.5,-110,-7.5,-120,114,107,2.5,-2.5
12/21 9:42:43 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,5.5,-121,-5.5,-109,114,107,2.5,-2.5
12/21 9:42:31 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.5,103,-7.5,-136,114,107,2.5,-2.5
12/21 9:42:04 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.5,-111,-7.5,-119,114,107,2.5,-2.5
12/21 9:41:56 am,Pinnacle,Memphis Grizzlies,Cleveland Cavaliers,7.0,-123,-7.0,-107,114,107,2.5,-2.5
