Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 8:18:39 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-105,10.0,-111,119,110,-9,9
12/29 8:18:01 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-108,10.0,-108,119,110,-9,9
12/29 8:12:44 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-123,12.0,105,119,110,-9,9
12/29 8:12:40 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-122,12.0,105,119,110,-9,9
12/29 8:12:27 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-108,12.0,-108,119,110,-9,9
12/29 8:09:37 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-123,11.5,-107,119,110,-9,9
12/29 8:09:06 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-135,11.0,102,119,110,-9,9
12/29 8:08:54 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-122,11.0,-108,119,110,-9,9
12/29 8:08:52 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-136,10.0,103,119,110,-9,9
12/29 8:08:48 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-124,10.0,-106,119,110,-9,9
12/29 8:08:45 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-123,10.0,-108,119,110,-9,9
12/29 8:08:24 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-124,10.0,-107,119,110,-9,9
12/29 8:08:15 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-9.5,-113,9.5,-117,119,110,-9,9
12/29 8:08:14 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-8.5,-137,8.5,103,119,110,-9,9
12/29 8:08:10 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-8.5,-124,8.5,-107,119,110,-9,9
12/29 8:07:57 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-8.5,-114,8.5,-116,119,110,-9,9
12/29 8:07:48 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-8.0,-123,8.0,-108,119,110,-9,9
12/29 8:07:45 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-8.0,-112,8.0,-118,119,110,-9,9
12/29 8:07:34 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-8.0,-113,8.0,-117,119,110,-9,9
12/29 8:07:28 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-109,10.5,-122,119,110,-9,9
12/29 8:08:04 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-8.5,-112,8.5,-118,119,110,-9,9
12/29 8:07:21 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,104,11.5,-137,119,110,-9,9
12/29 8:07:17 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-106,11.5,-125,119,110,-9,9
12/29 8:07:09 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-125,10.5,-106,119,110,-9,9
12/29 8:06:45 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,103,11.5,-137,119,110,-9,9
12/29 8:06:38 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-105,11.5,-126,119,110,-9,9
12/29 8:06:28 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-117,12.0,-113,119,110,-9,9
12/29 8:06:21 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-125,11.5,-106,119,110,-9,9
12/29 8:06:15 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-101,11.5,-132,119,110,-9,9
12/29 8:06:09 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-109,11.5,-121,119,110,-9,9
12/29 8:06:07 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-111,10.5,-119,119,110,-9,9
12/29 8:05:45 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-101,12.0,-132,119,110,-9,9
12/29 8:05:35 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-125,12.0,-106,119,110,-9,9
12/29 8:05:30 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,109,13.0,-145,119,110,-9,9
12/29 8:05:24 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-100,13.0,-132,119,110,-9,9
12/29 8:05:21 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-111,13.0,-119,119,110,-9,9
12/29 8:05:19 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-14.0,-113,14.0,-117,119,110,-9,9
12/29 8:05:00 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-105,13.0,-125,119,110,-9,9
12/29 8:04:52 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.5,-117,12.5,-113,119,110,-9,9
12/29 8:04:28 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.5,-118,12.5,-112,119,110,-9,9
12/29 8:04:25 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.5,-106,12.5,-124,119,110,-9,9
12/29 8:04:19 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-130,11.5,-102,119,110,-9,9
12/29 8:04:09 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-105,11.5,-126,119,110,-9,9
12/29 8:03:58 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-108,11.5,-123,119,110,-9,9
12/29 8:03:54 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-126,11.5,-105,119,110,-9,9
12/29 8:03:46 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-126,10.5,-105,119,110,-9,9
12/29 8:03:37 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-125,10.5,-106,119,110,-9,9
12/29 8:03:34 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-104,12.0,-127,119,110,-9,9
12/29 8:03:25 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-116,12.0,-114,119,110,-9,9
12/29 8:01:37 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-124,12.0,106,119,110,-9,9
12/29 8:01:22 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-123,12.0,106,119,110,-9,9
12/29 8:00:52 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-114,12.0,-102,119,110,-9,9
12/29 8:00:46 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-113,12.0,-104,119,110,-9,9
12/29 8:00:19 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.0,-117,12.0,-113,119,110,-9,9
12/29 8:00:15 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.5,-112,12.5,-118,119,110,-9,9
12/29 8:00:12 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-112,11.5,-118,119,110,-9,9
12/29 8:00:10 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-140,10.5,105,119,110,-9,9
12/29 8:00:07 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-130,10.5,-102,119,110,-9,9
12/29 7:59:58 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-117,10.5,-113,119,110,-9,9
12/29 7:59:54 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-114,11.5,-116,119,110,-9,9
12/29 7:59:46 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-117,10.5,-113,119,110,-9,9
12/29 7:59:36 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-108,10.5,-122,119,110,-9,9
12/29 7:59:19 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-139,10.0,105,119,110,-9,9
12/29 7:59:16 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-129,10.0,-103,119,110,-9,9
12/29 7:59:07 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-120,10.0,-110,119,110,-9,9
12/29 7:58:58 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-108,10.0,-122,119,110,-9,9
12/29 7:58:55 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-9.0,-136,9.0,103,119,110,-9,9
12/29 7:58:51 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-9.0,-110,9.0,-120,119,110,-9,9
12/29 7:58:49 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-109,10.0,-121,119,110,-9,9
12/29 7:58:28 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-9.5,-132,9.5,-100,119,110,-9,9
12/29 7:58:16 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-9.5,-106,9.5,-125,119,110,-9,9
12/29 7:57:45 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-9.0,-134,9.0,101,119,110,-9,9
12/29 7:57:36 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-9.0,-117,9.0,-113,119,110,-9,9
12/29 7:57:21 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.0,-108,10.0,-122,119,110,-9,9
12/29 7:56:52 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-106,11.0,-125,119,110,-9,9
12/29 7:56:49 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-107,11.0,-124,119,110,-9,9
12/29 7:56:46 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-106,11.0,-110,119,110,-9,9
12/29 7:56:40 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-105,11.0,-111,119,110,-9,9
12/29 7:54:30 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-104,11.0,-112,119,110,-9,9
12/29 7:54:21 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-103,11.0,-113,119,110,-9,9
12/29 7:54:08 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-102,11.0,-114,119,110,-9,9
12/29 7:53:48 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-137,10.5,104,119,110,-9,9
12/29 7:53:42 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-10.5,-125,10.5,-106,119,110,-9,9
12/29 7:53:40 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-114,11.5,-116,119,110,-9,9
12/29 7:53:06 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-115,11.5,-115,119,110,-9,9
12/29 7:53:00 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-109,11.0,-122,119,110,-9,9
12/29 7:52:51 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.0,-110,11.0,-121,119,110,-9,9
12/29 7:52:30 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.5,-109,12.5,-121,119,110,-9,9
12/29 7:52:25 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-124,11.5,-107,119,110,-9,9
12/29 7:51:49 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-122,11.5,-108,119,110,-9,9
12/29 7:51:46 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-134,11.5,101,119,110,-9,9
12/29 7:51:37 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-121,11.5,-109,119,110,-9,9
12/29 7:51:35 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-106,13.0,-125,119,110,-9,9
12/29 7:51:25 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-121,13.0,-109,119,110,-9,9
12/29 7:51:18 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-14.0,-122,14.0,-109,119,110,-9,9
12/29 7:51:58 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-11.5,-126,11.5,-105,119,110,-9,9
12/29 7:51:12 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-131,13.0,-101,119,110,-9,9
12/29 7:50:58 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-115,13.0,-115,119,110,-9,9
12/29 7:50:54 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.0,-109,13.0,-121,119,110,-9,9
12/29 7:50:22 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.5,-118,12.5,-113,119,110,-9,9
12/29 7:50:16 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-12.5,-117,12.5,-113,119,110,-9,9
12/29 7:50:04 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.5,-110,13.5,-120,119,110,-9,9
12/29 7:50:01 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.5,-127,13.5,-104,119,110,-9,9
12/29 7:49:55 am,Pinnacle,Memphis Grizzlies,Denver Nuggets,-13.5,-109,13.5,-121,119,110,-9,9
