Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/26 10:04:15 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-105,19.0,-111,126,114,-9.5,9.5
11/26 10:04:00 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-102,19.0,-115,126,114,-9.5,9.5
11/26 10:03:54 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-104,19.0,-113,126,114,-9.5,9.5
11/26 10:03:18 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-108,19.0,-108,126,114,-9.5,9.5
11/26 10:00:30 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-110,19.0,-120,126,114,-9.5,9.5
11/26 10:00:24 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-108,19.0,-123,126,114,-9.5,9.5
11/26 10:00:12 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-17.0,-125,17.0,-106,126,114,-9.5,9.5
11/26 10:00:09 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-17.0,-124,17.0,-107,126,114,-9.5,9.5
11/26 9:59:57 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-113,18.0,-117,126,114,-9.5,9.5
11/26 9:59:45 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-116,18.0,-114,126,114,-9.5,9.5
11/26 9:59:42 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-115,18.0,-115,126,114,-9.5,9.5
11/26 9:59:39 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-102,19.0,-130,126,114,-9.5,9.5
11/26 9:59:27 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-104,19.0,-127,126,114,-9.5,9.5
11/26 9:59:18 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-118,19.0,-112,126,114,-9.5,9.5
11/26 9:59:15 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.5,-118,18.5,-112,126,114,-9.5,9.5
11/26 9:59:12 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-118,18.0,-112,126,114,-9.5,9.5
11/26 9:59:09 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.5,-122,18.5,-109,126,114,-9.5,9.5
11/26 9:59:03 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-122,19.0,-109,126,114,-9.5,9.5
11/26 9:58:33 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-117,18.0,-113,126,114,-9.5,9.5
11/26 9:58:27 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-104,19.0,-127,126,114,-9.5,9.5
11/26 9:58:19 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-114,19.0,-116,126,114,-9.5,9.5
11/26 9:58:15 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-119,19.0,-111,126,114,-9.5,9.5
11/26 9:58:12 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.5,-116,18.5,-114,126,114,-9.5,9.5
11/26 9:57:57 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-116,18.0,-114,126,114,-9.5,9.5
11/26 9:57:54 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-118,18.0,-112,126,114,-9.5,9.5
11/26 9:57:51 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.5,-108,18.5,-123,126,114,-9.5,9.5
11/26 9:57:45 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-17.5,-108,17.5,-123,126,114,-9.5,9.5
11/26 9:57:42 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-17.0,-106,17.0,-125,126,114,-9.5,9.5
11/26 9:57:39 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-16.5,-106,16.5,-125,126,114,-9.5,9.5
11/26 9:57:21 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-17.5,-116,17.5,-114,126,114,-9.5,9.5
11/26 9:57:18 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-109,18.0,-122,126,114,-9.5,9.5
11/26 9:56:57 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-101,18.0,-131,126,114,-9.5,9.5
11/26 9:56:48 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-115,18.0,-115,126,114,-9.5,9.5
11/26 9:56:42 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.0,-120,18.0,-110,126,114,-9.5,9.5
11/26 9:56:39 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-109,19.0,-121,126,114,-9.5,9.5
11/26 9:56:21 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-19.0,-107,19.0,-123,126,114,-9.5,9.5
11/26 9:56:18 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.5,-117,18.5,-113,126,114,-9.5,9.5
11/26 9:55:45 am,Pinnacle,Memphis Grizzlies,Indiana Pacers,-18.5,-102,18.5,-129,126,114,-9.5,9.5
