Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/25 1:47:05 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-28.5,-148,28.5,118,124,97,-11.5,11.5
2/25 1:46:48 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-25.5,-203,25.5,158,124,97,-11.5,11.5
2/25 1:46:46 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-25.5,-183,25.5,144,124,97,-11.5,11.5
2/25 1:46:34 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-28.5,-108,28.5,-115,124,97,-11.5,11.5
2/25 1:46:26 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-28.5,-106,28.5,-117,124,97,-11.5,11.5
2/25 1:46:17 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-26.5,-137,26.5,109,124,97,-11.5,11.5
2/25 1:46:10 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-26.5,-129,26.5,104,124,97,-11.5,11.5
2/25 1:45:48 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-29.5,-115,29.5,-108,124,97,-11.5,11.5
2/25 1:45:32 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-28.5,-121,28.5,-103,124,97,-11.5,11.5
2/25 1:45:22 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-28.5,-115,28.5,-108,124,97,-11.5,11.5
2/25 1:45:14 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-28.5,-112,28.5,-112,124,97,-11.5,11.5
2/25 1:45:00 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-28.5,-108,28.5,-115,124,97,-11.5,11.5
2/25 1:44:29 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-26.5,104,26.5,-129,124,97,-11.5,11.5
2/25 1:44:15 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-26.5,-112,26.5,-112,124,97,-11.5,11.5
2/25 1:44:06 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-26.5,-115,26.5,-108,124,97,-11.5,11.5
2/25 1:43:58 pm,RedZone,Memphis Grizzlies,Los Angeles Clippers,-27.5,-103,27.5,-121,124,97,-11.5,11.5
