Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/22 1:50:41 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-14.0,101,14.0,-117,117,105,-10.5,10.5
2/22 1:50:24 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-14.0,102,14.0,-119,117,105,-10.5,10.5
2/22 1:49:56 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-14.0,103,14.0,-121,117,105,-10.5,10.5
2/22 1:49:44 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-14.0,-103,14.0,-114,117,105,-10.5,10.5
2/22 1:49:29 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-14.0,-108,14.0,-108,117,105,-10.5,10.5
2/22 1:40:47 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-11.0,-112,11.0,-118,117,105,-10.5,10.5
2/22 1:40:44 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-12.0,-105,12.0,-126,117,105,-10.5,10.5
2/22 1:40:35 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-11.0,-110,11.0,-120,117,105,-10.5,10.5
2/22 1:40:29 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-11.0,-110,11.0,-121,117,105,-10.5,10.5
2/22 1:40:17 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-121,10.5,-110,117,105,-10.5,10.5
2/22 1:40:08 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-111,10.5,-120,117,105,-10.5,10.5
2/22 1:40:02 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-110,10.5,-120,117,105,-10.5,10.5
2/22 1:39:47 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-110,10.5,-121,117,105,-10.5,10.5
2/22 1:39:41 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-107,10.5,-123,117,105,-10.5,10.5
2/22 1:39:36 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-109,10.5,-122,117,105,-10.5,10.5
2/22 1:39:34 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-109,10.5,-121,117,105,-10.5,10.5
2/22 1:39:29 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-109,10.5,-121,117,105,-10.5,10.5
2/22 1:39:11 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-119,9.5,-111,117,105,-10.5,10.5
2/22 1:39:08 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-10.5,-105,10.5,-111,117,105,-10.5,10.5
2/22 1:39:06 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-111,9.5,-105,117,105,-10.5,10.5
2/22 1:38:56 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-111,9.5,-105,117,105,-10.5,10.5
2/22 1:38:23 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-108,9.5,-108,117,105,-10.5,10.5
2/22 1:37:57 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-108,9.5,-108,117,105,-10.5,10.5
2/22 1:37:32 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-109,9.5,-107,117,105,-10.5,10.5
2/22 1:37:27 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-106,9.5,-110,117,105,-10.5,10.5
2/22 1:37:08 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-106,9.5,-111,117,105,-10.5,10.5
2/22 1:36:56 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-105,9.5,-111,117,105,-10.5,10.5
2/22 1:36:50 pm,Pinnacle,Memphis Grizzlies,Los Angeles Lakers,-9.5,-105,9.5,-111,117,105,-10.5,10.5
