Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/24 9:59:41 am,Pinnacle,Memphis Grizzlies,Miami Heat,-15.0,-113,15.0,-103,120,101,-7,7
10/24 9:59:12 am,Pinnacle,Memphis Grizzlies,Miami Heat,-15.0,-110,15.0,-106,120,101,-7,7
10/24 9:58:46 am,Pinnacle,Memphis Grizzlies,Miami Heat,-15.5,-103,15.5,-113,120,101,-7,7
10/24 9:55:25 am,Pinnacle,Memphis Grizzlies,Miami Heat,-11.5,-115,11.5,-136,120,101,-7,7
10/24 9:55:15 am,Pinnacle,Memphis Grizzlies,Miami Heat,-10.5,-121,10.5,-129,120,101,-7,7
10/24 9:55:10 am,Pinnacle,Memphis Grizzlies,Miami Heat,-9.5,-134,9.5,-117,120,101,-7,7
10/24 9:55:00 am,Pinnacle,Memphis Grizzlies,Miami Heat,-9.0,-117,9.0,-133,120,101,-7,7
10/24 9:54:51 am,Pinnacle,Memphis Grizzlies,Miami Heat,-8.5,-135,8.5,-116,120,101,-7,7
10/24 9:54:32 am,Pinnacle,Memphis Grizzlies,Miami Heat,-9.5,-133,9.5,-117,120,101,-7,7
10/24 9:54:17 am,Pinnacle,Memphis Grizzlies,Miami Heat,-9.0,-116,9.0,-135,120,101,-7,7
10/24 9:53:26 am,Pinnacle,Memphis Grizzlies,Miami Heat,-8.5,-107,8.5,-109,120,101,-7,7
10/24 9:53:11 am,Pinnacle,Memphis Grizzlies,Miami Heat,-8.5,-111,8.5,-105,120,101,-7,7
10/24 9:53:07 am,Pinnacle,Memphis Grizzlies,Miami Heat,-8.5,-107,8.5,-109,120,101,-7,7
10/24 9:52:14 am,Pinnacle,Memphis Grizzlies,Miami Heat,-8.5,-111,8.5,-105,120,101,-7,7
10/24 9:52:05 am,Pinnacle,Memphis Grizzlies,Miami Heat,-9.0,-101,9.0,-116,120,101,-7,7
10/24 9:51:21 am,Pinnacle,Memphis Grizzlies,Miami Heat,-9.5,-132,9.5,-119,120,101,-7,7
10/24 9:50:57 am,Pinnacle,Memphis Grizzlies,Miami Heat,-8.5,-127,8.5,-123,120,101,-7,7
10/24 9:50:23 am,Pinnacle,Memphis Grizzlies,Miami Heat,-8.0,-129,8.0,-121,120,101,-7,7
10/24 9:50:18 am,Pinnacle,Memphis Grizzlies,Miami Heat,-7.5,-118,7.5,-132,120,101,-7,7
10/24 9:50:04 am,Pinnacle,Memphis Grizzlies,Miami Heat,-6.5,-137,6.5,-114,120,101,-7,7
10/24 9:49:54 am,Pinnacle,Memphis Grizzlies,Miami Heat,-6.0,-120,6.0,-131,120,101,-7,7
10/24 9:49:49 am,Pinnacle,Memphis Grizzlies,Miami Heat,-6.0,-119,6.0,-131,120,101,-7,7
10/24 9:49:44 am,Pinnacle,Memphis Grizzlies,Miami Heat,-6.0,-122,6.0,-128,120,101,-7,7
10/24 9:49:39 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-122,5.0,-128,120,101,-7,7
10/24 9:49:24 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-130,4.0,-120,120,101,-7,7
10/24 9:49:15 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-133,5.0,-117,120,101,-7,7
10/24 9:49:10 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.5,-126,4.5,-124,120,101,-7,7
10/24 9:48:49 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-125,5.0,-125,120,101,-7,7
10/24 9:48:34 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-121,5.0,-129,120,101,-7,7
10/24 9:48:28 am,Pinnacle,Memphis Grizzlies,Miami Heat,-6.0,-115,6.0,-115,120,101,-7,7
10/24 9:48:09 am,Pinnacle,Memphis Grizzlies,Miami Heat,-6.0,-125,6.0,-125,120,101,-7,7
10/24 9:48:00 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-125,5.0,-125,120,101,-7,7
10/24 9:47:36 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-128,5.0,110,120,101,-7,7
10/24 9:46:53 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-130,5.0,111,120,101,-7,7
10/24 9:46:48 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-133,5.0,114,120,101,-7,7
10/24 9:46:15 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-119,5.0,102,120,101,-7,7
10/24 9:45:33 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-107,5.0,-109,120,101,-7,7
10/24 9:44:59 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-126,5.0,-124,120,101,-7,7
10/24 9:44:44 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.5,-117,4.5,-134,120,101,-7,7
10/24 9:44:30 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.5,-118,4.5,-133,120,101,-7,7
10/24 9:44:21 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.5,-111,3.5,-119,120,101,-7,7
10/24 9:43:47 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.5,-126,3.5,-124,120,101,-7,7
10/24 9:43:36 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-134,2.5,-117,120,101,-7,7
10/24 9:43:27 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-118,3.0,-133,120,101,-7,7
10/24 9:43:22 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-123,2.0,-127,120,101,-7,7
10/24 9:42:43 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-125,2.0,-125,120,101,-7,7
10/24 9:42:38 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-128,2.0,-122,120,101,-7,7
10/24 9:42:33 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-118,2.5,-133,120,101,-7,7
10/24 9:42:14 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-118,3.0,-133,120,101,-7,7
10/24 9:41:30 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-126,2.0,-124,120,101,-7,7
10/24 9:41:15 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-129,2.0,-121,120,101,-7,7
10/24 9:40:36 am,Pinnacle,Memphis Grizzlies,Miami Heat,1.0,-124,-1.0,-126,120,101,-7,7
10/24 9:40:22 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-119,1.0,-131,120,101,-7,7
10/24 9:40:17 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-115,1.0,-136,120,101,-7,7
10/24 9:40:12 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-122,1.5,-128,120,101,-7,7
10/24 9:39:53 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-118,1.5,101,120,101,-7,7
10/24 9:38:45 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-114,1.5,-102,120,101,-7,7
10/24 9:38:22 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-112,1.5,-104,120,101,-7,7
10/24 9:37:48 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-107,1.5,-109,120,101,-7,7
10/24 9:35:43 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-113,2.5,-128,120,101,-7,7
10/24 9:35:39 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-112,2.5,-128,120,101,-7,7
10/24 9:35:34 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-113,1.5,-127,120,101,-7,7
10/24 9:35:10 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-113,1.0,-127,120,101,-7,7
10/24 9:35:05 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-119,1.0,-121,120,101,-7,7
10/24 9:35:00 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-126,4.0,-114,120,101,-7,7
10/24 9:34:36 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-129,1.5,-112,120,101,-7,7
10/24 9:34:32 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-113,3.0,-128,120,101,-7,7
10/24 9:34:12 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-122,1.5,-118,120,101,-7,7
10/24 9:34:02 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-116,1.5,-125,120,101,-7,7
10/24 9:33:29 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-115,1.5,-126,120,101,-7,7
10/24 9:33:14 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-103,1.0,-139,120,101,-7,7
10/24 9:33:00 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-105,1.0,-138,120,101,-7,7
10/24 9:32:51 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-114,1.5,-126,120,101,-7,7
10/24 9:32:45 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-106,1.0,-136,120,101,-7,7
10/24 9:32:40 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-104,1.5,-127,120,101,-7,7
10/24 9:32:05 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-116,1.5,-124,120,101,-7,7
10/24 9:31:51 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-107,1.0,-135,120,101,-7,7
10/24 9:31:40 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-116,1.5,-124,120,101,-7,7
10/24 9:31:36 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-109,1.0,-132,120,101,-7,7
10/24 9:31:31 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-104,1.0,-127,120,101,-7,7
10/24 9:31:26 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-119,1.5,-121,120,101,-7,7
10/24 9:31:07 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-105,1.0,-138,120,101,-7,7
10/24 9:31:02 am,Pinnacle,Memphis Grizzlies,Miami Heat,1.0,-131,-1.0,-110,120,101,-7,7
10/24 9:30:38 am,Pinnacle,Memphis Grizzlies,Miami Heat,1.0,-122,-1.0,-118,120,101,-7,7
10/24 9:30:29 am,Pinnacle,Memphis Grizzlies,Miami Heat,1.0,-120,-1.0,-120,120,101,-7,7
10/24 9:30:24 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-110,1.0,-131,120,101,-7,7
10/24 9:30:05 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-117,1.0,-113,120,101,-7,7
10/24 9:29:45 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-115,1.0,-125,120,101,-7,7
10/24 9:29:40 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-121,1.5,-119,120,101,-7,7
10/24 9:29:30 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-122,1.5,-118,120,101,-7,7
10/24 9:29:16 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-128,2.0,-113,120,101,-7,7
10/24 9:29:11 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-121,3.0,-119,120,101,-7,7
10/24 9:28:47 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-121,2.0,-119,120,101,-7,7
10/24 9:28:32 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-123,2.5,-117,120,101,-7,7
10/24 9:28:08 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-114,2.5,-127,120,101,-7,7
10/24 9:28:02 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-125,1.5,-115,120,101,-7,7
10/24 9:27:53 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-115,2.5,-126,120,101,-7,7
10/24 9:27:44 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-117,1.5,-113,120,101,-7,7
10/24 9:27:29 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-125,1.5,-115,120,101,-7,7
10/24 9:27:25 am,Pinnacle,Memphis Grizzlies,Miami Heat,1.0,-133,-1.0,-108,120,101,-7,7
10/24 9:27:20 am,Pinnacle,Memphis Grizzlies,Miami Heat,1.5,-124,-1.5,-116,120,101,-7,7
10/24 9:27:06 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-106,1.0,-137,120,101,-7,7
10/24 9:27:01 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-109,1.0,-132,120,101,-7,7
10/24 9:26:27 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-119,1.0,-121,120,101,-7,7
10/24 9:26:03 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-114,2.0,-126,120,101,-7,7
10/24 9:25:58 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-113,2.0,-127,120,101,-7,7
10/24 9:24:03 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-103,2.0,-114,120,101,-7,7
10/24 9:23:00 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.0,-121,1.0,-119,120,101,-7,7
10/24 9:22:55 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-118,2.0,-122,120,101,-7,7
10/24 9:22:23 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-119,2.5,-121,120,101,-7,7
10/24 9:22:17 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-125,2.0,-115,120,101,-7,7
10/24 9:22:13 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-125,3.0,-115,120,101,-7,7
10/24 9:22:08 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-120,4.0,-120,120,101,-7,7
10/24 9:21:53 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-118,4.0,-122,120,101,-7,7
10/24 9:21:43 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.5,-125,4.5,-115,120,101,-7,7
10/24 9:21:39 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-127,3.0,-114,120,101,-7,7
10/24 9:21:30 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.5,-115,3.5,-126,120,101,-7,7
10/24 9:20:52 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-119,4.0,-121,120,101,-7,7
10/24 9:20:47 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-117,4.0,-123,120,101,-7,7
10/24 9:20:37 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.5,-116,3.5,-125,120,101,-7,7
10/24 9:20:32 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-122,3.0,-118,120,101,-7,7
10/24 9:20:18 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-120,4.0,-120,120,101,-7,7
10/24 9:19:54 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-122,4.0,-118,120,101,-7,7
10/24 9:19:49 am,Pinnacle,Memphis Grizzlies,Miami Heat,-5.0,-116,5.0,-124,120,101,-7,7
10/24 9:19:35 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-117,4.0,-123,120,101,-7,7
10/24 9:19:21 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.5,-124,3.5,-116,120,101,-7,7
10/24 9:18:52 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.5,-118,3.5,-123,120,101,-7,7
10/24 9:18:33 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.5,-117,3.5,-123,120,101,-7,7
10/24 9:18:13 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-127,2.5,-114,120,101,-7,7
10/24 9:17:48 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-121,2.5,-119,120,101,-7,7
10/24 9:17:42 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-124,3.0,-116,120,101,-7,7
10/24 9:17:03 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-117,3.0,-123,120,101,-7,7
10/24 9:16:49 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-125,2.0,-115,120,101,-7,7
10/24 9:16:39 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-115,3.0,-125,120,101,-7,7
10/24 9:16:34 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-127,2.5,-114,120,101,-7,7
10/24 9:16:04 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-127,2.0,-114,120,101,-7,7
10/24 9:15:54 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-115,3.0,-125,120,101,-7,7
10/24 9:15:25 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-116,3.0,-124,120,101,-7,7
10/24 9:12:47 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-113,2.0,-103,120,101,-7,7
10/24 9:12:03 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-126,2.0,-115,120,101,-7,7
10/24 9:11:59 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-123,2.5,-117,120,101,-7,7
10/24 9:11:44 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-123,1.5,-117,120,101,-7,7
10/24 9:11:39 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-113,2.5,-127,120,101,-7,7
10/24 9:11:35 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-120,2.5,-120,120,101,-7,7
10/24 9:11:30 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-120,3.0,-120,120,101,-7,7
10/24 9:11:15 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-127,2.0,-113,120,101,-7,7
10/24 9:10:56 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-125,1.5,-115,120,101,-7,7
10/24 9:10:51 am,Pinnacle,Memphis Grizzlies,Miami Heat,-1.5,-126,1.5,-115,120,101,-7,7
10/24 9:10:41 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-120,3.0,-120,120,101,-7,7
10/24 9:10:37 am,Pinnacle,Memphis Grizzlies,Miami Heat,-4.0,-114,4.0,-126,120,101,-7,7
10/24 9:10:27 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-122,3.0,-118,120,101,-7,7
10/24 9:10:23 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-124,3.0,-116,120,101,-7,7
10/24 9:10:13 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-123,3.0,-117,120,101,-7,7
10/24 9:10:08 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-120,2.5,-120,120,101,-7,7
10/24 9:10:03 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-115,2.0,-126,120,101,-7,7
10/24 9:09:44 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.0,-121,2.0,-119,120,101,-7,7
10/24 9:09:15 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-118,2.5,-122,120,101,-7,7
10/24 9:09:10 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-126,2.5,-114,120,101,-7,7
10/24 9:09:05 am,Pinnacle,Memphis Grizzlies,Miami Heat,-3.0,-126,3.0,-114,120,101,-7,7
10/24 9:08:49 am,Pinnacle,Memphis Grizzlies,Miami Heat,-2.5,-115,2.5,-125,120,101,-7,7
