Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/12 12:24:10 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.5,116,-7.5,-136,108,115,-7,7
12/12 12:24:06 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.5,106,-7.5,-123,108,115,-7,7
12/12 12:24:03 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.5,-107,-7.5,-109,108,115,-7,7
12/12 12:23:46 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.5,-115,-7.5,-101,108,115,-7,7
12/12 12:23:32 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.5,-108,-7.5,-108,108,115,-7,7
12/12 12:14:42 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.0,-130,-7.0,111,108,115,-7,7
12/12 12:14:36 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.0,-125,-7.0,107,108,115,-7,7
12/12 12:14:24 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.0,-123,-7.0,106,108,115,-7,7
12/12 12:14:18 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.0,-122,-7.0,105,108,115,-7,7
12/12 12:14:12 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,7.0,-108,-7.0,-108,108,115,-7,7
12/12 12:09:30 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,101,-6.0,-118,108,115,-7,7
12/12 12:09:23 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,104,-6.0,-121,108,115,-7,7
12/12 12:09:00 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,106,-6.0,-123,108,115,-7,7
12/12 12:08:45 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,107,-6.0,-125,108,115,-7,7
12/12 12:08:36 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,108,-6.0,-126,108,115,-7,7
12/12 12:08:30 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,111,-6.0,-130,108,115,-7,7
12/12 12:08:15 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,106,-6.0,-123,108,115,-7,7
12/12 12:08:12 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,6.0,-108,-6.0,-108,108,115,-7,7
12/12 12:04:14 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,1.5,-110,-1.5,-120,108,115,-7,7
12/12 12:03:59 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,1.5,-119,-1.5,-111,108,115,-7,7
12/12 12:03:56 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,1.0,-136,-1.0,103,108,115,-7,7
12/12 12:03:50 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,1.5,-111,-1.5,-119,108,115,-7,7
12/12 12:03:38 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,1.5,-113,-1.5,-117,108,115,-7,7
12/12 12:03:30 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,2.0,-124,-2.0,-107,108,115,-7,7
12/12 12:03:05 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,2.0,-104,-2.0,-127,108,115,-7,7
12/12 12:03:02 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,2.0,-106,-2.0,-125,108,115,-7,7
12/12 12:02:25 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,2.0,-117,-2.0,-113,108,115,-7,7
12/12 12:02:23 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,3.0,-136,-3.0,102,108,115,-7,7
12/12 12:02:07 pm,Pinnacle,Memphis Grizzlies,Phoenix Suns,3.0,-119,-3.0,-111,108,115,-7,7
