Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/3 1:16:09 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-6.5,-142,6.5,121,128,123,-4.5,4.5
1/3 1:15:54 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-6.5,-141,6.5,121,128,123,-4.5,4.5
1/3 1:15:42 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-6.5,-140,6.5,120,128,123,-4.5,4.5
1/3 1:15:35 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-6.5,-122,6.5,105,128,123,-4.5,4.5
1/3 1:15:33 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-6.5,-108,6.5,-108,128,123,-4.5,4.5
1/3 1:11:09 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-3.0,-105,3.0,-112,128,123,-4.5,4.5
1/3 1:11:00 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-3.0,101,3.0,-118,128,123,-4.5,4.5
1/3 1:10:21 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-3.0,101,3.0,-117,128,123,-4.5,4.5
1/3 1:09:53 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-3.0,-101,3.0,-116,128,123,-4.5,4.5
1/3 1:04:36 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.0,-112,1.0,-118,128,123,-4.5,4.5
1/3 1:04:32 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-106,1.5,-125,128,123,-4.5,4.5
1/3 1:04:23 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-106,2.0,-125,128,123,-4.5,4.5
1/3 1:04:12 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.0,-113,1.0,-117,128,123,-4.5,4.5
1/3 1:03:50 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-106,2.0,-125,128,123,-4.5,4.5
1/3 1:03:36 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-107,2.0,-123,128,123,-4.5,4.5
1/3 1:03:35 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-122,2.0,-109,128,123,-4.5,4.5
1/3 1:03:32 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-107,2.0,-123,128,123,-4.5,4.5
1/3 1:03:31 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-122,2.0,-109,128,123,-4.5,4.5
1/3 1:03:30 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-107,2.0,-123,128,123,-4.5,4.5
1/3 1:03:27 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-123,2.0,-108,128,123,-4.5,4.5
1/3 1:03:26 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-107,2.0,-123,128,123,-4.5,4.5
1/3 1:03:24 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-123,2.0,-108,128,123,-4.5,4.5
1/3 1:03:21 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-107,2.0,-123,128,123,-4.5,4.5
1/3 1:03:18 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-123,2.0,-108,128,123,-4.5,4.5
1/3 1:03:11 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.0,-113,1.0,-103,128,123,-4.5,4.5
1/3 1:00:18 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-117,2.0,-100,128,123,-4.5,4.5
1/3 1:00:17 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-124,2.0,-107,128,123,-4.5,4.5
1/3 1:00:15 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-115,2.0,-115,128,123,-4.5,4.5
1/3 1:00:14 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-124,2.0,-107,128,123,-4.5,4.5
1/3 1:00:10 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-115,2.0,-115,128,123,-4.5,4.5
1/3 1:00:08 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-124,2.0,-107,128,123,-4.5,4.5
1/3 1:00:06 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.0,-115,2.0,-115,128,123,-4.5,4.5
1/3 1:00:05 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-113,1.5,-117,128,123,-4.5,4.5
1/3 1:00:04 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.0,-111,1.0,-119,128,123,-4.5,4.5
1/3 1:00:03 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-113,1.5,-117,128,123,-4.5,4.5
1/3 1:00:00 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-110,2.5,-120,128,123,-4.5,4.5
1/3 12:59:59 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:58 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-110,2.5,-120,128,123,-4.5,4.5
1/3 12:59:56 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:55 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-110,2.5,-120,128,123,-4.5,4.5
1/3 12:59:55 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:51 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-110,2.5,-120,128,123,-4.5,4.5
1/3 12:59:50 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:50 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-110,2.5,-120,128,123,-4.5,4.5
1/3 12:59:47 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:44 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-110,2.5,-120,128,123,-4.5,4.5
1/3 12:59:43 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:43 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-110,2.5,-120,128,123,-4.5,4.5
1/3 12:59:40 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:38 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-118,2.5,-112,128,123,-4.5,4.5
1/3 12:59:35 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-1.5,-121,1.5,-109,128,123,-4.5,4.5
1/3 12:59:34 pm,Pinnacle,Memphis Grizzlies,Sacramento Kings,-2.5,-118,2.5,-112,128,123,-4.5,4.5
