Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/10 9:08:58 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.0,-130,3.0,-102,99,106,2.5,-2.5
2/10 9:08:53 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.0,-116,3.0,-114,99,106,2.5,-2.5
2/10 9:08:49 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-119,3.5,-111,99,106,2.5,-2.5
2/10 9:08:47 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-107,3.5,-123,99,106,2.5,-2.5
2/10 9:08:43 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-109,3.5,-121,99,106,2.5,-2.5
2/10 9:08:37 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-4.5,-132,4.5,100,99,106,2.5,-2.5
2/10 9:08:36 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-4.5,-111,4.5,-119,99,106,2.5,-2.5
2/10 9:08:26 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-4.0,-121,4.0,-110,99,106,2.5,-2.5
2/10 9:08:23 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.0,-126,3.0,-105,99,106,2.5,-2.5
2/10 9:08:18 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.0,-119,3.0,-111,99,106,2.5,-2.5
2/10 9:08:02 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-106,3.5,-110,99,106,2.5,-2.5
2/10 9:07:26 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-108,3.5,-108,99,106,2.5,-2.5
2/10 9:06:54 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-109,3.5,-107,99,106,2.5,-2.5
2/10 9:06:52 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-110,3.5,-106,99,106,2.5,-2.5
2/10 9:06:43 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-117,3.5,100,99,106,2.5,-2.5
2/10 9:06:41 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-109,3.5,-107,99,106,2.5,-2.5
2/10 9:05:56 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-112,3.5,-104,99,106,2.5,-2.5
2/10 9:05:44 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.5,-110,3.5,-106,99,106,2.5,-2.5
2/10 9:05:26 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.0,-104,3.0,-113,99,106,2.5,-2.5
2/10 9:05:13 am,Pinnacle,Memphis Grizzlies,Washington Wizards,-3.0,-111,3.0,-105,99,106,2.5,-2.5
