Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/11 10:46:32 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-920,0.0,633,117,113,4,-4
1/11 10:45:53 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-950,0.0,648,117,113,4,-4
1/11 10:42:56 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-590,0.0,445,117,113,4,-4
1/11 10:42:50 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-555,0.0,423,117,113,4,-4
1/11 10:42:44 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-504,0.0,390,117,113,4,-4
1/11 10:42:32 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-500,0.0,388,117,113,4,-4
1/11 10:41:23 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-229,0.0,192,117,113,4,-4
1/11 10:41:13 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-230,0.0,193,117,113,4,-4
1/11 10:41:08 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-219,0.0,184,117,113,4,-4
1/11 10:40:58 am,Pinnacle,Miami Heat,Brooklyn Nets,0.0,-215,0.0,181,117,113,4,-4
1/11 10:34:04 am,Pinnacle,Miami Heat,Brooklyn Nets,4.0,-107,-4.0,-109,117,113,4,-4
1/11 10:33:53 am,Pinnacle,Miami Heat,Brooklyn Nets,4.0,-108,-4.0,-108,117,113,4,-4
1/11 10:30:29 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-110,-6.5,-106,117,113,4,-4
1/11 10:30:16 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-109,-6.5,-107,117,113,4,-4
1/11 10:30:14 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-112,-6.5,-104,117,113,4,-4
1/11 10:30:11 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-111,-6.5,-106,117,113,4,-4
1/11 10:30:05 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-108,-6.5,-108,117,113,4,-4
1/11 10:29:58 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-107,-6.5,-109,117,113,4,-4
1/11 10:29:56 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-106,-6.5,-110,117,113,4,-4
1/11 10:29:50 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-105,-6.5,-111,117,113,4,-4
1/11 10:29:47 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-104,-6.5,-112,117,113,4,-4
1/11 10:29:40 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-103,-6.5,-113,117,113,4,-4
1/11 10:29:28 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-102,-6.5,-115,117,113,4,-4
1/11 10:29:20 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,101,-6.5,-117,117,113,4,-4
1/11 10:29:14 am,Pinnacle,Miami Heat,Brooklyn Nets,6.5,-103,-6.5,-113,117,113,4,-4
1/11 10:21:17 am,Pinnacle,Miami Heat,Brooklyn Nets,7.5,-129,-7.5,110,117,113,4,-4
1/11 10:21:14 am,Pinnacle,Miami Heat,Brooklyn Nets,7.5,-128,-7.5,110,117,113,4,-4
1/11 10:20:55 am,Pinnacle,Miami Heat,Brooklyn Nets,7.5,-117,-7.5,100,117,113,4,-4
1/11 10:20:41 am,Pinnacle,Miami Heat,Brooklyn Nets,7.5,-108,-7.5,-108,117,113,4,-4
1/11 10:18:47 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-117,-4.5,-113,117,113,4,-4
1/11 10:16:38 am,Pinnacle,Miami Heat,Brooklyn Nets,5.5,-119,-5.5,-111,117,113,4,-4
1/11 10:16:35 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-120,-4.5,-110,117,113,4,-4
1/11 10:16:50 am,Pinnacle,Miami Heat,Brooklyn Nets,5.5,-119,-5.5,-111,117,113,4,-4
1/11 10:15:23 am,Pinnacle,Miami Heat,Brooklyn Nets,3.5,-116,-3.5,-114,117,113,4,-4
1/11 10:14:47 am,Pinnacle,Miami Heat,Brooklyn Nets,2.5,-110,-2.5,-120,117,113,4,-4
1/11 10:14:26 am,Pinnacle,Miami Heat,Brooklyn Nets,2.5,-110,-2.5,-120,117,113,4,-4
1/11 10:13:38 am,Pinnacle,Miami Heat,Brooklyn Nets,2.5,101,-2.5,-117,117,113,4,-4
1/11 10:13:14 am,Pinnacle,Miami Heat,Brooklyn Nets,2.5,101,-2.5,-118,117,113,4,-4
1/11 10:12:56 am,Pinnacle,Miami Heat,Brooklyn Nets,2.5,-104,-2.5,-112,117,113,4,-4
1/11 10:12:23 am,Pinnacle,Miami Heat,Brooklyn Nets,2.5,-103,-2.5,-114,117,113,4,-4
1/11 10:11:35 am,Pinnacle,Miami Heat,Brooklyn Nets,2.5,-110,-2.5,-120,117,113,4,-4
1/11 10:11:22 am,Pinnacle,Miami Heat,Brooklyn Nets,4.0,-110,-4.0,-120,117,113,4,-4
1/11 10:11:19 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-120,-4.5,-110,117,113,4,-4
1/11 10:11:16 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-120,-4.5,-110,117,113,4,-4
1/11 10:11:14 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-120,-4.5,-110,117,113,4,-4
1/11 10:11:11 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-119,-4.5,-111,117,113,4,-4
1/11 10:11:08 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-115,-4.5,-115,117,113,4,-4
1/11 10:10:49 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-110,-4.5,-120,117,113,4,-4
1/11 10:10:46 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-110,-4.5,-120,117,113,4,-4
1/11 10:10:41 am,Pinnacle,Miami Heat,Brooklyn Nets,4.5,-109,-4.5,-121,117,113,4,-4
