Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/25 10:37:27 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,122,-1.5,-143,125,119,6.5,-6.5
2/25 10:37:23 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,118,-1.5,-138,125,119,6.5,-6.5
2/25 10:36:30 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,120,-1.5,-140,125,119,6.5,-6.5
2/25 10:36:12 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,111,-1.5,-130,125,119,6.5,-6.5
2/25 10:35:45 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,110,-1.5,-129,125,119,6.5,-6.5
2/25 10:35:27 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,111,-1.5,-130,125,119,6.5,-6.5
2/25 10:34:35 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,100,-1.5,-117,125,119,6.5,-6.5
2/25 10:34:30 am,Pinnacle,Miami Heat,Cleveland Cavaliers,2.0,100,-2.0,-117,125,119,6.5,-6.5
2/25 10:34:21 am,Pinnacle,Miami Heat,Cleveland Cavaliers,1.5,-108,-1.5,-108,125,119,6.5,-6.5
2/25 10:23:57 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,126,2.0,-159,125,119,6.5,-6.5
2/25 10:23:54 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,128,2.0,-162,125,119,6.5,-6.5
2/25 10:23:44 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,-121,2.0,-103,125,119,6.5,-6.5
2/25 10:23:35 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,-117,2.0,-106,125,119,6.5,-6.5
2/25 10:23:25 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,-115,2.0,-108,125,119,6.5,-6.5
2/25 10:23:08 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,-112,2.0,-112,125,119,6.5,-6.5
2/25 10:23:03 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,110,2.0,-139,125,119,6.5,-6.5
2/25 10:22:48 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,113,2.0,-142,125,119,6.5,-6.5
2/25 10:22:35 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,110,2.0,-139,125,119,6.5,-6.5
2/25 10:20:42 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,118,2.0,-148,125,119,6.5,-6.5
2/25 10:20:15 am,RedZone,Miami Heat,Cleveland Cavaliers,1.0,-134,-1.0,107,125,119,6.5,-6.5
2/25 10:20:14 am,RedZone,Miami Heat,Cleveland Cavaliers,1.0,-108,-1.0,-115,125,119,6.5,-6.5
2/25 10:20:02 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,-106,2.0,-117,125,119,6.5,-6.5
2/25 10:19:54 am,RedZone,Miami Heat,Cleveland Cavaliers,1.0,-121,-1.0,-103,125,119,6.5,-6.5
2/25 10:19:46 am,RedZone,Miami Heat,Cleveland Cavaliers,1.0,101,-1.0,-125,125,119,6.5,-6.5
2/25 10:19:35 am,RedZone,Miami Heat,Cleveland Cavaliers,1.0,-139,-1.0,110,125,119,6.5,-6.5
2/25 10:19:30 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,119,2.0,-150,125,119,6.5,-6.5
2/25 10:19:13 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,123,2.0,-155,125,119,6.5,-6.5
2/25 10:19:00 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,101,2.0,-125,125,119,6.5,-6.5
2/25 10:18:50 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,104,2.0,-129,125,119,6.5,-6.5
2/25 10:18:25 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,-129,2.0,104,125,119,6.5,-6.5
2/25 10:18:18 am,RedZone,Miami Heat,Cleveland Cavaliers,-3.0,-112,3.0,-112,125,119,6.5,-6.5
2/25 10:17:51 am,RedZone,Miami Heat,Cleveland Cavaliers,-2.0,110,2.0,-139,125,119,6.5,-6.5
2/25 10:17:38 am,RedZone,Miami Heat,Cleveland Cavaliers,2.0,-129,-2.0,104,125,119,6.5,-6.5
2/25 10:17:24 am,RedZone,Miami Heat,Cleveland Cavaliers,2.0,-115,-2.0,-108,125,119,6.5,-6.5
2/25 10:17:18 am,RedZone,Miami Heat,Cleveland Cavaliers,2.0,-112,-2.0,-112,125,119,6.5,-6.5
2/25 10:17:12 am,RedZone,Miami Heat,Cleveland Cavaliers,1.0,104,-1.0,-129,125,119,6.5,-6.5
2/25 10:16:59 am,RedZone,Miami Heat,Cleveland Cavaliers,2.0,-125,-2.0,101,125,119,6.5,-6.5
2/25 10:16:47 am,RedZone,Miami Heat,Cleveland Cavaliers,3.0,-103,-3.0,-121,125,119,6.5,-6.5
2/25 10:16:37 am,RedZone,Miami Heat,Cleveland Cavaliers,4.0,-121,-4.0,-103,125,119,6.5,-6.5
2/25 10:16:21 am,RedZone,Miami Heat,Cleveland Cavaliers,4.0,-103,-4.0,-121,125,119,6.5,-6.5
2/25 10:16:08 am,RedZone,Miami Heat,Cleveland Cavaliers,5.0,-112,-5.0,-112,125,119,6.5,-6.5
2/25 10:15:30 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-110,-5.0,-121,125,119,6.5,-6.5
2/25 10:15:23 am,RedZone,Miami Heat,Cleveland Cavaliers,4.0,-112,-4.0,-112,125,119,6.5,-6.5
2/25 10:15:18 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,109,-4.0,-145,125,119,6.5,-6.5
2/25 10:15:15 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,-110,-4.0,-121,125,119,6.5,-6.5
2/25 10:15:12 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-117,-5.0,-113,125,119,6.5,-6.5
2/25 10:15:09 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-116,-5.0,-114,125,119,6.5,-6.5
2/25 10:15:03 am,RedZone,Miami Heat,Cleveland Cavaliers,3.0,101,-3.0,-125,125,119,6.5,-6.5
2/25 10:14:45 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-108,-5.0,-108,125,119,6.5,-6.5
2/25 10:14:39 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-114,-5.0,-102,125,119,6.5,-6.5
2/25 10:14:33 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-115,-5.0,-102,125,119,6.5,-6.5
2/25 10:14:27 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-115,-5.0,-102,125,119,6.5,-6.5
2/25 10:14:18 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,101,-4.5,-117,125,119,6.5,-6.5
2/25 10:14:11 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,100,-4.5,-117,125,119,6.5,-6.5
2/25 10:14:00 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-108,-4.5,-108,125,119,6.5,-6.5
2/25 10:13:44 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-109,-4.5,-107,125,119,6.5,-6.5
2/25 10:13:42 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-110,-4.5,-106,125,119,6.5,-6.5
2/25 10:13:33 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-111,-4.5,-105,125,119,6.5,-6.5
2/25 10:13:24 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-111,-4.5,-105,125,119,6.5,-6.5
2/25 10:13:12 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-112,-4.5,-104,125,119,6.5,-6.5
2/25 10:13:08 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-113,-4.5,-104,125,119,6.5,-6.5
2/25 10:13:06 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-112,-4.5,-104,125,119,6.5,-6.5
2/25 10:13:04 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,-102,-4.0,-115,125,119,6.5,-6.5
2/25 10:12:55 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,-103,-4.0,-114,125,119,6.5,-6.5
2/25 10:12:30 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,-101,-4.0,-115,125,119,6.5,-6.5
2/25 10:12:24 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,-101,-4.0,-115,125,119,6.5,-6.5
2/25 10:12:14 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,-101,-4.0,-115,125,119,6.5,-6.5
2/25 10:12:03 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.0,-108,-4.0,-123,125,119,6.5,-6.5
2/25 10:12:00 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-109,-4.5,-121,125,119,6.5,-6.5
2/25 10:11:57 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-112,-5.0,-118,125,119,6.5,-6.5
2/25 10:11:53 am,Pinnacle,Miami Heat,Cleveland Cavaliers,6.0,-120,-6.0,-110,125,119,6.5,-6.5
2/25 10:11:53 am,RedZone,Miami Heat,Cleveland Cavaliers,4.0,-108,-4.0,-115,125,119,6.5,-6.5
2/25 10:11:51 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.5,-156,-5.5,117,125,119,6.5,-6.5
2/25 10:11:48 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.5,-124,-5.5,-107,125,119,6.5,-6.5
2/25 10:11:48 am,RedZone,Miami Heat,Cleveland Cavaliers,5.0,-108,-5.0,-115,125,119,6.5,-6.5
2/25 10:11:45 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.5,-114,-5.5,-116,125,119,6.5,-6.5
2/25 10:11:42 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,106,-5.0,-141,125,119,6.5,-6.5
2/25 10:11:39 am,Pinnacle,Miami Heat,Cleveland Cavaliers,5.0,-106,-5.0,-125,125,119,6.5,-6.5
2/25 10:11:36 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,105,-4.5,-139,125,119,6.5,-6.5
2/25 10:11:36 am,RedZone,Miami Heat,Cleveland Cavaliers,6.0,-115,-6.0,-108,125,119,6.5,-6.5
2/25 10:11:32 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-104,-4.5,-127,125,119,6.5,-6.5
2/25 10:11:29 am,Pinnacle,Miami Heat,Cleveland Cavaliers,4.5,-110,-4.5,-120,125,119,6.5,-6.5
2/25 10:11:21 am,Pinnacle,Miami Heat,Cleveland Cavaliers,6.5,-110,-6.5,-120,125,119,6.5,-6.5
2/25 10:11:16 am,RedZone,Miami Heat,Cleveland Cavaliers,5.0,-106,-5.0,-117,125,119,6.5,-6.5
2/25 10:11:15 am,Pinnacle,Miami Heat,Cleveland Cavaliers,6.5,-158,-6.5,119,125,119,6.5,-6.5
2/25 10:11:12 am,Pinnacle,Miami Heat,Cleveland Cavaliers,6.5,-124,-6.5,-107,125,119,6.5,-6.5
2/25 10:11:00 am,Pinnacle,Miami Heat,Cleveland Cavaliers,6.5,-110,-6.5,-120,125,119,6.5,-6.5
2/25 10:10:58 am,Pinnacle,Miami Heat,Cleveland Cavaliers,7.0,-123,-7.0,-107,125,119,6.5,-6.5
2/25 10:10:54 am,Pinnacle,Miami Heat,Cleveland Cavaliers,7.5,-122,-7.5,-108,125,119,6.5,-6.5
2/25 10:10:53 am,Pinnacle,Miami Heat,Cleveland Cavaliers,7.5,-122,-7.5,-108,125,119,6.5,-6.5
2/25 10:10:52 am,Pinnacle,Miami Heat,Cleveland Cavaliers,7.5,-126,-7.5,-105,125,119,6.5,-6.5
2/25 10:10:51 am,Pinnacle,Miami Heat,Cleveland Cavaliers,7.5,-122,-7.5,-108,125,119,6.5,-6.5
