Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/6 12:19:56 pm,Pinnacle,Miami Heat,Denver Nuggets,-18.5,-101,18.5,-116,109,89,-5,5
11/6 12:19:29 pm,Pinnacle,Miami Heat,Denver Nuggets,-18.5,-104,18.5,-113,109,89,-5,5
11/6 12:19:17 pm,Pinnacle,Miami Heat,Denver Nuggets,-18.5,-105,18.5,-111,109,89,-5,5
11/6 12:19:02 pm,Pinnacle,Miami Heat,Denver Nuggets,-18.5,-101,18.5,-116,109,89,-5,5
11/6 12:14:28 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,107,17.5,-125,109,89,-5,5
11/6 12:14:22 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,108,17.5,-126,109,89,-5,5
11/6 12:14:10 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,107,17.5,-125,109,89,-5,5
11/6 12:14:01 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,105,17.5,-122,109,89,-5,5
11/6 12:13:47 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,101,17.5,-117,109,89,-5,5
11/6 12:13:40 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,102,17.5,-119,109,89,-5,5
11/6 12:13:34 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,100,17.5,-117,109,89,-5,5
11/6 12:13:20 pm,Pinnacle,Miami Heat,Denver Nuggets,-17.5,-100,17.5,-116,109,89,-5,5
11/6 12:06:49 pm,Pinnacle,Miami Heat,Denver Nuggets,-21.5,-118,21.5,101,109,89,-5,5
11/6 12:06:34 pm,Pinnacle,Miami Heat,Denver Nuggets,-21.5,-119,21.5,102,109,89,-5,5
11/6 12:06:29 pm,Pinnacle,Miami Heat,Denver Nuggets,-21.5,-117,21.5,100,109,89,-5,5
11/6 12:06:10 pm,Pinnacle,Miami Heat,Denver Nuggets,-21.5,-116,21.5,-100,109,89,-5,5
11/6 12:01:16 pm,Pinnacle,Miami Heat,Denver Nuggets,-23.0,-112,23.0,-104,109,89,-5,5
