Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/9 10:11:54 am,Pinnacle,Miami Heat,Indiana Pacers,16.5,101,-16.5,-118,108,122,1.5,-1.5
1/9 10:10:40 am,Pinnacle,Miami Heat,Indiana Pacers,16.5,-109,-16.5,-121,108,122,1.5,-1.5
1/9 10:10:37 am,Pinnacle,Miami Heat,Indiana Pacers,15.5,-108,-15.5,-122,108,122,1.5,-1.5
1/9 10:10:19 am,Pinnacle,Miami Heat,Indiana Pacers,17.0,-122,-17.0,-108,108,122,1.5,-1.5
1/9 10:10:09 am,Pinnacle,Miami Heat,Indiana Pacers,16.0,-107,-16.0,-124,108,122,1.5,-1.5
1/9 10:09:33 am,Pinnacle,Miami Heat,Indiana Pacers,16.5,-117,-16.5,-113,108,122,1.5,-1.5
1/9 10:09:31 am,Pinnacle,Miami Heat,Indiana Pacers,17.5,-120,-17.5,-110,108,122,1.5,-1.5
1/9 10:09:25 am,Pinnacle,Miami Heat,Indiana Pacers,17.5,-117,-17.5,-113,108,122,1.5,-1.5
1/9 10:09:19 am,Pinnacle,Miami Heat,Indiana Pacers,16.5,-118,-16.5,-112,108,122,1.5,-1.5
1/9 10:08:45 am,Pinnacle,Miami Heat,Indiana Pacers,17.5,-120,-17.5,-110,108,122,1.5,-1.5
1/9 10:08:43 am,Pinnacle,Miami Heat,Indiana Pacers,17.5,-120,-17.5,-111,108,122,1.5,-1.5
1/9 10:08:25 am,Pinnacle,Miami Heat,Indiana Pacers,18.0,-106,-18.0,-125,108,122,1.5,-1.5
1/9 10:07:55 am,Pinnacle,Miami Heat,Indiana Pacers,18.0,-106,-18.0,-124,108,122,1.5,-1.5
1/9 10:07:43 am,Pinnacle,Miami Heat,Indiana Pacers,19.0,-107,-19.0,-124,108,122,1.5,-1.5
1/9 10:07:37 am,Pinnacle,Miami Heat,Indiana Pacers,19.0,-108,-19.0,-123,108,122,1.5,-1.5
1/9 10:07:31 am,Pinnacle,Miami Heat,Indiana Pacers,20.0,-114,-20.0,-116,108,122,1.5,-1.5
1/9 10:07:01 am,Pinnacle,Miami Heat,Indiana Pacers,20.0,-118,-20.0,-112,108,122,1.5,-1.5
1/9 10:06:55 am,Pinnacle,Miami Heat,Indiana Pacers,21.0,-128,-21.0,-103,108,122,1.5,-1.5
1/9 10:06:45 am,Pinnacle,Miami Heat,Indiana Pacers,21.0,-116,-21.0,-114,108,122,1.5,-1.5
1/9 10:06:40 am,Pinnacle,Miami Heat,Indiana Pacers,20.0,-118,-20.0,-112,108,122,1.5,-1.5
1/9 10:06:36 am,Pinnacle,Miami Heat,Indiana Pacers,21.5,-117,-21.5,-113,108,122,1.5,-1.5
