Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/17 11:25:21 am,Pinnacle,Miami Heat,Memphis Grizzlies,-6.5,-250,6.5,208,118,111,3,-3
12/17 11:25:17 am,Pinnacle,Miami Heat,Memphis Grizzlies,-6.5,-230,6.5,193,118,111,3,-3
12/17 11:24:57 am,Pinnacle,Miami Heat,Memphis Grizzlies,-6.5,-220,6.5,185,118,111,3,-3
12/17 11:24:51 am,Pinnacle,Miami Heat,Memphis Grizzlies,-6.5,-219,6.5,184,118,111,3,-3
12/17 11:24:45 am,Pinnacle,Miami Heat,Memphis Grizzlies,-6.5,-210,6.5,177,118,111,3,-3
12/17 11:24:18 am,Pinnacle,Miami Heat,Memphis Grizzlies,-6.5,-201,6.5,170,118,111,3,-3
12/17 11:17:29 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.0,-104,3.0,-112,118,111,3,-3
12/17 11:17:27 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.0,-102,3.0,-114,118,111,3,-3
12/17 11:17:15 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.0,-101,3.0,-116,118,111,3,-3
12/17 11:17:09 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.0,-106,3.0,-110,118,111,3,-3
12/17 11:12:15 am,Pinnacle,Miami Heat,Memphis Grizzlies,-2.0,-107,2.0,-109,118,111,3,-3
12/17 11:12:00 am,Pinnacle,Miami Heat,Memphis Grizzlies,-2.0,-109,2.0,-107,118,111,3,-3
12/17 11:11:39 am,Pinnacle,Miami Heat,Memphis Grizzlies,-2.0,-114,2.0,-116,118,111,3,-3
12/17 11:11:21 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.5,-120,3.5,-110,118,111,3,-3
12/17 11:11:03 am,Pinnacle,Miami Heat,Memphis Grizzlies,-2.5,-124,2.5,-107,118,111,3,-3
12/17 11:10:30 am,Pinnacle,Miami Heat,Memphis Grizzlies,-2.5,-122,2.5,-108,118,111,3,-3
12/17 11:10:22 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.5,-118,3.5,-112,118,111,3,-3
12/17 11:10:15 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.5,-120,3.5,-111,118,111,3,-3
12/17 11:09:24 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.5,-109,3.5,-107,118,111,3,-3
12/17 11:09:00 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.5,-108,3.5,-108,118,111,3,-3
12/17 11:07:51 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.5,-109,3.5,-107,118,111,3,-3
12/17 11:07:15 am,Pinnacle,Miami Heat,Memphis Grizzlies,-3.5,-117,3.5,-113,118,111,3,-3
12/17 11:07:00 am,Pinnacle,Miami Heat,Memphis Grizzlies,-4.5,-109,4.5,-122,118,111,3,-3
12/17 11:06:42 am,Pinnacle,Miami Heat,Memphis Grizzlies,-5.5,-107,5.5,-123,118,111,3,-3
12/17 11:06:36 am,Pinnacle,Miami Heat,Memphis Grizzlies,-4.5,-108,4.5,-122,118,111,3,-3
