Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/13 7:03:37 am,Pinnacle,Miami Heat,New York Knicks,0.0,-4000,0.0,1491,124,121,8,-8
1/13 6:59:53 am,Pinnacle,Miami Heat,New York Knicks,0.0,-260,0.0,216,124,121,8,-8
1/13 6:59:47 am,Pinnacle,Miami Heat,New York Knicks,0.0,-265,0.0,220,124,121,8,-8
1/13 6:59:34 am,Pinnacle,Miami Heat,New York Knicks,0.0,-280,0.0,232,124,121,8,-8
1/13 6:59:23 am,Pinnacle,Miami Heat,New York Knicks,0.0,-250,0.0,208,124,121,8,-8
1/13 6:44:16 am,Pinnacle,Miami Heat,New York Knicks,3.5,-108,-3.5,-108,124,121,8,-8
1/13 6:43:38 am,Pinnacle,Miami Heat,New York Knicks,3.5,-110,-3.5,-106,124,121,8,-8
1/13 6:43:25 am,Pinnacle,Miami Heat,New York Knicks,3.5,-112,-3.5,-104,124,121,8,-8
1/13 6:41:58 am,Pinnacle,Miami Heat,New York Knicks,6.5,-120,-6.5,-110,124,121,8,-8
1/13 6:41:35 am,Pinnacle,Miami Heat,New York Knicks,7.5,-121,-7.5,-109,124,121,8,-8
1/13 6:41:28 am,Pinnacle,Miami Heat,New York Knicks,8.0,-121,-8.0,-110,124,121,8,-8
1/13 6:39:49 am,Pinnacle,Miami Heat,New York Knicks,8.0,102,-8.0,-119,124,121,8,-8
1/13 6:39:16 am,Pinnacle,Miami Heat,New York Knicks,8.0,103,-8.0,-120,124,121,8,-8
1/13 6:39:05 am,Pinnacle,Miami Heat,New York Knicks,8.0,101,-8.0,-118,124,121,8,-8
1/13 6:38:43 am,Pinnacle,Miami Heat,New York Knicks,8.0,-111,-8.0,-105,124,121,8,-8
1/13 6:38:41 am,Pinnacle,Miami Heat,New York Knicks,8.0,-113,-8.0,-104,124,121,8,-8
1/13 6:38:13 am,Pinnacle,Miami Heat,New York Knicks,8.0,-120,-8.0,-110,124,121,8,-8
1/13 6:38:04 am,Pinnacle,Miami Heat,New York Knicks,8.0,-118,-8.0,-112,124,121,8,-8
1/13 6:37:58 am,Pinnacle,Miami Heat,New York Knicks,9.0,-124,-9.0,-107,124,121,8,-8
1/13 6:37:55 am,Pinnacle,Miami Heat,New York Knicks,9.0,-117,-9.0,-113,124,121,8,-8
