Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/4 10:16:00 am,Pinnacle,Miami Heat,Orlando Magic,-15.5,-103,15.5,-114,105,85,-1,1
1/4 10:15:27 am,Pinnacle,Miami Heat,Orlando Magic,-15.5,-103,15.5,-113,105,85,-1,1
1/4 10:15:11 am,Pinnacle,Miami Heat,Orlando Magic,-15.5,-102,15.5,-114,105,85,-1,1
1/4 10:14:27 am,Pinnacle,Miami Heat,Orlando Magic,-15.5,-102,15.5,-115,105,85,-1,1
1/4 10:11:48 am,Pinnacle,Miami Heat,Orlando Magic,-11.0,-119,11.0,-111,105,85,-1,1
1/4 10:11:39 am,Pinnacle,Miami Heat,Orlando Magic,-11.0,-119,11.0,-112,105,85,-1,1
1/4 10:11:36 am,Pinnacle,Miami Heat,Orlando Magic,-12.0,-119,12.0,-111,105,85,-1,1
1/4 10:11:32 am,Pinnacle,Miami Heat,Orlando Magic,-12.5,-106,12.5,-125,105,85,-1,1
1/4 10:11:29 am,Pinnacle,Miami Heat,Orlando Magic,-12.5,-114,12.5,-116,105,85,-1,1
1/4 10:11:26 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-113,10.0,-117,105,85,-1,1
1/4 10:11:05 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-116,10.0,-114,105,85,-1,1
1/4 10:10:51 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-116,10.0,-114,105,85,-1,1
1/4 10:10:44 am,Pinnacle,Miami Heat,Orlando Magic,-11.0,-115,11.0,-115,105,85,-1,1
1/4 10:10:42 am,Pinnacle,Miami Heat,Orlando Magic,-11.5,-107,11.5,-124,105,85,-1,1
1/4 10:10:35 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-109,10.0,-122,105,85,-1,1
1/4 10:11:11 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-122,9.5,-108,105,85,-1,1
1/4 10:10:21 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-109,10.0,-122,105,85,-1,1
1/4 10:10:18 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-123,8.5,-107,105,85,-1,1
1/4 10:10:14 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-119,8.5,-111,105,85,-1,1
1/4 10:10:06 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-118,8.5,-112,105,85,-1,1
1/4 10:11:09 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-126,8.5,-105,105,85,-1,1
1/4 10:09:32 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-118,8.5,-112,105,85,-1,1
1/4 10:09:23 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-117,9.5,-113,105,85,-1,1
1/4 10:09:21 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-122,9.5,-108,105,85,-1,1
1/4 10:09:17 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-122,9.5,-108,105,85,-1,1
1/4 10:09:12 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-121,8.5,-109,105,85,-1,1
1/4 10:09:08 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-115,10.0,-115,105,85,-1,1
1/4 10:08:51 am,Pinnacle,Miami Heat,Orlando Magic,-10.5,-108,10.5,-123,105,85,-1,1
1/4 10:08:45 am,Pinnacle,Miami Heat,Orlando Magic,-11.5,-110,11.5,-120,105,85,-1,1
1/4 10:08:24 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-120,10.0,-110,105,85,-1,1
1/4 10:08:15 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-120,10.0,-110,105,85,-1,1
1/4 10:08:06 am,Pinnacle,Miami Heat,Orlando Magic,-10.5,-108,10.5,-123,105,85,-1,1
1/4 10:08:02 am,Pinnacle,Miami Heat,Orlando Magic,-10.0,-122,10.0,-109,105,85,-1,1
1/4 10:07:35 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-123,9.5,-107,105,85,-1,1
1/4 10:07:32 am,Pinnacle,Miami Heat,Orlando Magic,-9.0,-111,9.0,-120,105,85,-1,1
1/4 10:07:12 am,Pinnacle,Miami Heat,Orlando Magic,-9.0,-110,9.0,-120,105,85,-1,1
1/4 10:08:12 am,Pinnacle,Miami Heat,Orlando Magic,-10.5,-107,10.5,-123,105,85,-1,1
1/4 10:06:38 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-111,8.5,-105,105,85,-1,1
1/4 10:05:39 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-110,8.5,-106,105,85,-1,1
1/4 10:04:24 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-111,8.5,-105,105,85,-1,1
1/4 10:04:21 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-122,9.5,-109,105,85,-1,1
1/4 10:04:18 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-122,9.5,-109,105,85,-1,1
1/4 10:04:05 am,Pinnacle,Miami Heat,Orlando Magic,-9.5,-123,9.5,-108,105,85,-1,1
1/4 10:03:39 am,Pinnacle,Miami Heat,Orlando Magic,-8.5,-111,8.5,-119,105,85,-1,1
1/4 10:03:36 am,Pinnacle,Miami Heat,Orlando Magic,-7.5,-110,7.5,-120,105,85,-1,1
1/4 10:03:27 am,Pinnacle,Miami Heat,Orlando Magic,-7.0,-120,7.0,-110,105,85,-1,1
1/4 10:03:21 am,Pinnacle,Miami Heat,Orlando Magic,-7.0,-110,7.0,-120,105,85,-1,1
1/4 10:03:15 am,Pinnacle,Miami Heat,Orlando Magic,-8.0,-121,8.0,-109,105,85,-1,1
1/4 10:03:01 am,Pinnacle,Miami Heat,Orlando Magic,-7.0,-119,7.0,-111,105,85,-1,1
1/4 10:02:52 am,Pinnacle,Miami Heat,Orlando Magic,-7.0,-117,7.0,-113,105,85,-1,1
1/4 10:02:30 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-118,6.5,-113,105,85,-1,1
1/4 10:02:27 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-117,6.5,-113,105,85,-1,1
1/4 10:02:12 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-117,6.5,-113,105,85,-1,1
1/4 10:02:03 am,Pinnacle,Miami Heat,Orlando Magic,-5.5,-117,5.5,-113,105,85,-1,1
1/4 10:01:47 am,Pinnacle,Miami Heat,Orlando Magic,-5.5,-117,5.5,-113,105,85,-1,1
1/4 10:01:35 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-116,6.5,-114,105,85,-1,1
1/4 10:01:15 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-116,6.5,-114,105,85,-1,1
1/4 10:00:57 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-118,6.5,-112,105,85,-1,1
1/4 10:00:45 am,Pinnacle,Miami Heat,Orlando Magic,-5.5,-119,5.5,-111,105,85,-1,1
1/4 10:00:35 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-118,6.5,-112,105,85,-1,1
1/4 10:00:30 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-119,6.5,-111,105,85,-1,1
1/4 10:00:20 am,Pinnacle,Miami Heat,Orlando Magic,-5.5,-121,5.5,-109,105,85,-1,1
1/4 10:00:15 am,Pinnacle,Miami Heat,Orlando Magic,-6.5,-120,6.5,-110,105,85,-1,1
1/4 10:00:00 am,Pinnacle,Miami Heat,Orlando Magic,-5.5,-121,5.5,-110,105,85,-1,1
