Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/24 10:39:17 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-131,34.5,112,113,86,-5,5
11/24 10:39:07 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-134,34.5,114,113,86,-5,5
11/24 10:38:31 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-124,34.5,106,113,86,-5,5
11/24 10:38:13 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-116,34.5,-100,113,86,-5,5
11/24 10:36:52 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-106,34.5,-110,113,86,-5,5
11/24 10:36:40 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-107,34.5,-109,113,86,-5,5
11/24 10:36:28 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.5,-116,35.5,-114,113,86,-5,5
11/24 10:36:26 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.5,-117,35.5,-113,113,86,-5,5
11/24 10:36:22 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-108,36.5,-123,113,86,-5,5
11/24 10:36:07 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-112,36.5,-118,113,86,-5,5
11/24 10:36:04 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-113,36.5,-117,113,86,-5,5
11/24 10:35:48 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-114,34.5,-116,113,86,-5,5
11/24 10:35:40 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-108,34.5,-122,113,86,-5,5
11/24 10:35:37 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.5,-103,35.5,-128,113,86,-5,5
11/24 10:35:19 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.5,-108,35.5,-122,113,86,-5,5
11/24 10:35:04 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-108,36.5,-122,113,86,-5,5
11/24 10:35:01 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.0,-108,37.0,-122,113,86,-5,5
11/24 10:34:58 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.0,-116,37.0,-114,113,86,-5,5
11/24 10:34:53 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.0,-119,37.0,-111,113,86,-5,5
11/24 10:34:49 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.0,-123,37.0,-107,113,86,-5,5
11/24 10:34:43 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.0,-119,36.0,-111,113,86,-5,5
11/24 10:34:35 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.0,-122,36.0,-108,113,86,-5,5
11/24 10:34:16 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-101,36.5,-130,113,86,-5,5
11/24 10:34:07 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-108,36.5,-123,113,86,-5,5
11/24 10:34:04 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-119,35.0,-111,113,86,-5,5
11/24 10:34:01 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-118,35.0,-112,113,86,-5,5
11/24 10:33:55 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-116,35.0,-114,113,86,-5,5
11/24 10:33:49 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-120,35.0,-110,113,86,-5,5
11/24 10:33:37 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-108,34.5,-122,113,86,-5,5
11/24 10:33:34 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.0,-123,34.0,-108,113,86,-5,5
11/24 10:33:31 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-113,35.0,-117,113,86,-5,5
11/24 10:33:20 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-116,35.0,-114,113,86,-5,5
11/24 10:33:17 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-117,35.0,-113,113,86,-5,5
11/24 10:33:12 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-120,35.0,-110,113,86,-5,5
11/24 10:32:49 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.0,-119,36.0,-112,113,86,-5,5
11/24 10:31:25 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-134,34.5,115,113,86,-5,5
11/24 10:31:22 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-127,34.5,108,113,86,-5,5
11/24 10:31:10 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-115,34.5,-101,113,86,-5,5
11/24 10:31:02 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-113,34.5,-103,113,86,-5,5
11/24 10:30:58 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-112,34.5,-104,113,86,-5,5
11/24 10:30:38 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-110,34.5,-106,113,86,-5,5
11/24 10:30:10 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-109,34.5,-107,113,86,-5,5
11/24 10:29:55 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.5,-118,35.5,-112,113,86,-5,5
11/24 10:29:40 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.5,-111,37.5,-119,113,86,-5,5
11/24 10:29:34 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.5,-110,37.5,-121,113,86,-5,5
11/24 10:29:22 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.5,-110,37.5,-120,113,86,-5,5
11/24 10:28:58 am,Pinnacle,Miami Heat,Philadelphia 76ers,-38.5,-111,38.5,-119,113,86,-5,5
11/24 10:28:49 am,Pinnacle,Miami Heat,Philadelphia 76ers,-38.5,-110,38.5,-120,113,86,-5,5
11/24 10:28:34 am,Pinnacle,Miami Heat,Philadelphia 76ers,-38.5,-108,38.5,-122,113,86,-5,5
11/24 10:28:16 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.5,-109,37.5,-121,113,86,-5,5
11/24 10:28:13 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.0,-122,37.0,-108,113,86,-5,5
11/24 10:28:04 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-110,36.5,-120,113,86,-5,5
11/24 10:28:01 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.5,-111,35.5,-120,113,86,-5,5
11/24 10:27:45 am,Pinnacle,Miami Heat,Philadelphia 76ers,-36.5,-118,36.5,-112,113,86,-5,5
11/24 10:27:13 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.5,-109,37.5,-122,113,86,-5,5
11/24 10:27:07 am,Pinnacle,Miami Heat,Philadelphia 76ers,-37.0,-120,37.0,-110,113,86,-5,5
11/24 10:26:52 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.5,-109,35.5,-122,113,86,-5,5
11/24 10:26:50 am,Pinnacle,Miami Heat,Philadelphia 76ers,-35.0,-108,35.0,-122,113,86,-5,5
11/24 10:26:31 am,Pinnacle,Miami Heat,Philadelphia 76ers,-34.5,-108,34.5,-122,113,86,-5,5
11/24 10:26:20 am,Pinnacle,Miami Heat,Philadelphia 76ers,-32.5,-112,32.5,-118,113,86,-5,5
11/24 10:26:16 am,Pinnacle,Miami Heat,Philadelphia 76ers,-32.0,-111,32.0,-119,113,86,-5,5
11/24 10:26:04 am,Pinnacle,Miami Heat,Philadelphia 76ers,-31.5,-113,31.5,-118,113,86,-5,5
11/24 10:25:41 am,Pinnacle,Miami Heat,Philadelphia 76ers,-31.5,-111,31.5,-119,113,86,-5,5
11/24 10:25:10 am,Pinnacle,Miami Heat,Philadelphia 76ers,-31.5,-110,31.5,-120,113,86,-5,5
11/24 10:25:07 am,Pinnacle,Miami Heat,Philadelphia 76ers,-32.5,-110,32.5,-121,113,86,-5,5
11/24 10:24:49 am,Pinnacle,Miami Heat,Philadelphia 76ers,-31.0,-119,31.0,-111,113,86,-5,5
11/24 10:24:40 am,Pinnacle,Miami Heat,Philadelphia 76ers,-31.0,-111,31.0,-120,113,86,-5,5
11/24 10:24:25 am,Pinnacle,Miami Heat,Philadelphia 76ers,-30.5,-113,30.5,-117,113,86,-5,5
