Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/8 12:22:07 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,117,-12.0,-137,108,124,-2,2
11/8 12:22:04 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,119,-12.0,-140,108,124,-2,2
11/8 12:21:57 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,119,-12.0,-139,108,124,-2,2
11/8 12:21:52 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,121,-12.0,-142,108,124,-2,2
11/8 12:21:46 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,113,-12.0,-133,108,124,-2,2
11/8 12:21:25 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,115,-12.0,-134,108,124,-2,2
11/8 12:16:07 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-113,-10.5,-104,108,124,-2,2
11/8 12:15:58 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-112,-10.5,-104,108,124,-2,2
11/8 12:15:55 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-114,-10.5,-103,108,124,-2,2
11/8 12:15:52 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-113,-10.5,-103,108,124,-2,2
11/8 12:15:19 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-118,-10.5,102,108,124,-2,2
11/8 12:14:52 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-124,-10.5,106,108,124,-2,2
11/8 12:14:22 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-120,-10.5,103,108,124,-2,2
11/8 12:14:16 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-119,-10.5,102,108,124,-2,2
11/8 12:14:04 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-124,-10.5,106,108,124,-2,2
11/8 12:14:01 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-125,-10.5,107,108,124,-2,2
11/8 12:14:01 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-115,-10.5,-102,108,124,-2,2
11/8 12:11:31 pm,Pinnacle,Miami Heat,Phoenix Suns,15.0,-125,-15.0,-106,108,124,-2,2
11/8 12:11:16 pm,Pinnacle,Miami Heat,Phoenix Suns,14.0,-126,-14.0,-105,108,124,-2,2
11/8 12:11:11 pm,Pinnacle,Miami Heat,Phoenix Suns,13.5,-116,-13.5,-114,108,124,-2,2
11/8 12:10:49 pm,Pinnacle,Miami Heat,Phoenix Suns,13.5,-108,-13.5,-123,108,124,-2,2
11/8 12:10:46 pm,Pinnacle,Miami Heat,Phoenix Suns,15.0,-125,-15.0,-106,108,124,-2,2
11/8 12:10:16 pm,Pinnacle,Miami Heat,Phoenix Suns,14.5,-109,-14.5,-122,108,124,-2,2
11/8 12:10:10 pm,Pinnacle,Miami Heat,Phoenix Suns,13.5,-109,-13.5,-121,108,124,-2,2
11/8 12:10:00 pm,Pinnacle,Miami Heat,Phoenix Suns,13.5,-110,-13.5,-120,108,124,-2,2
11/8 12:09:52 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-120,-12.0,-110,108,124,-2,2
11/8 12:09:46 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-120,-11.0,-110,108,124,-2,2
11/8 12:09:40 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-125,-12.0,-106,108,124,-2,2
11/8 12:09:36 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-112,-12.0,-118,108,124,-2,2
11/8 12:09:31 pm,Pinnacle,Miami Heat,Phoenix Suns,11.5,-119,-11.5,-111,108,124,-2,2
11/8 12:09:01 pm,Pinnacle,Miami Heat,Phoenix Suns,11.5,-106,-11.5,-125,108,124,-2,2
11/8 12:08:55 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-114,-12.0,-116,108,124,-2,2
11/8 12:08:52 pm,Pinnacle,Miami Heat,Phoenix Suns,13.0,-110,-13.0,-121,108,124,-2,2
11/8 12:08:49 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-129,-12.0,-103,108,124,-2,2
11/8 12:08:40 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-116,-12.0,-114,108,124,-2,2
11/8 12:08:37 pm,Pinnacle,Miami Heat,Phoenix Suns,12.5,-109,-12.5,-122,108,124,-2,2
11/8 12:08:10 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-128,-12.0,-103,108,124,-2,2
11/8 12:08:07 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-112,-12.0,-119,108,124,-2,2
11/8 12:07:58 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-111,-12.0,-120,108,124,-2,2
11/8 12:07:52 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-108,-12.0,-123,108,124,-2,2
11/8 12:07:49 pm,Pinnacle,Miami Heat,Phoenix Suns,13.0,-130,-13.0,-102,108,124,-2,2
11/8 12:07:45 pm,Pinnacle,Miami Heat,Phoenix Suns,13.0,-115,-13.0,-115,108,124,-2,2
11/8 12:07:37 pm,Pinnacle,Miami Heat,Phoenix Suns,13.0,-118,-13.0,-112,108,124,-2,2
11/8 12:07:28 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-114,-12.0,-116,108,124,-2,2
11/8 12:07:25 pm,Pinnacle,Miami Heat,Phoenix Suns,12.0,-111,-12.0,-120,108,124,-2,2
11/8 12:07:22 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-110,-11.0,-120,108,124,-2,2
11/8 12:07:16 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-112,-11.0,-118,108,124,-2,2
11/8 12:07:10 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-109,-11.0,-122,108,124,-2,2
11/8 12:07:01 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-119,-10.5,-111,108,124,-2,2
11/8 12:06:55 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-120,-10.5,-110,108,124,-2,2
11/8 12:06:52 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-121,-11.0,-109,108,124,-2,2
11/8 12:06:49 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-118,-11.0,-112,108,124,-2,2
11/8 12:06:45 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-113,-11.0,-117,108,124,-2,2
11/8 12:06:40 pm,Pinnacle,Miami Heat,Phoenix Suns,11.0,-114,-11.0,-116,108,124,-2,2
11/8 12:06:34 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-123,-10.5,-108,108,124,-2,2
11/8 12:06:07 pm,Pinnacle,Miami Heat,Phoenix Suns,10.5,-122,-10.5,-108,108,124,-2,2
11/8 12:06:01 pm,Pinnacle,Miami Heat,Phoenix Suns,9.0,-102,-9.0,-130,108,124,-2,2
11/8 12:05:52 pm,Pinnacle,Miami Heat,Phoenix Suns,9.0,-115,-9.0,-115,108,124,-2,2
11/8 12:05:34 pm,Pinnacle,Miami Heat,Phoenix Suns,9.0,-110,-9.0,-120,108,124,-2,2
11/8 12:05:28 pm,Pinnacle,Miami Heat,Phoenix Suns,9.0,-122,-9.0,-108,108,124,-2,2
11/8 12:05:13 pm,Pinnacle,Miami Heat,Phoenix Suns,9.0,-108,-9.0,-123,108,124,-2,2
11/8 12:05:10 pm,Pinnacle,Miami Heat,Phoenix Suns,10.0,-132,-10.0,-100,108,124,-2,2
11/8 12:04:58 pm,Pinnacle,Miami Heat,Phoenix Suns,10.0,-111,-10.0,-119,108,124,-2,2
11/8 12:04:55 pm,Pinnacle,Miami Heat,Phoenix Suns,9.5,-110,-9.5,-120,108,124,-2,2
11/8 12:04:52 pm,Pinnacle,Miami Heat,Phoenix Suns,9.0,-106,-9.0,-125,108,124,-2,2
11/8 12:04:43 pm,Pinnacle,Miami Heat,Phoenix Suns,9.0,-110,-9.0,-120,108,124,-2,2
11/8 12:04:40 pm,Pinnacle,Miami Heat,Phoenix Suns,8.0,-115,-8.0,-115,108,124,-2,2
11/8 12:04:34 pm,Pinnacle,Miami Heat,Phoenix Suns,7.5,-115,-7.5,-115,108,124,-2,2
11/8 12:03:10 pm,Pinnacle,Miami Heat,Phoenix Suns,7.5,-116,-7.5,-101,108,124,-2,2
11/8 12:02:52 pm,Pinnacle,Miami Heat,Phoenix Suns,7.5,-114,-7.5,-103,108,124,-2,2
11/8 12:02:25 pm,Pinnacle,Miami Heat,Phoenix Suns,7.5,-112,-7.5,-105,108,124,-2,2
11/8 12:02:22 pm,Pinnacle,Miami Heat,Phoenix Suns,7.5,-108,-7.5,-108,108,124,-2,2
11/8 12:02:19 pm,Pinnacle,Miami Heat,Phoenix Suns,7.5,-107,-7.5,-109,108,124,-2,2
11/8 12:02:13 pm,Pinnacle,Miami Heat,Phoenix Suns,7.5,-106,-7.5,-110,108,124,-2,2
