Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/13 12:13:37 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-114,7.0,-102,116,101,-4.5,4.5
2/13 12:13:16 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-109,7.0,-107,116,101,-4.5,4.5
2/13 12:12:55 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-110,7.0,-106,116,101,-4.5,4.5
2/13 12:12:50 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-116,7.0,-100,116,101,-4.5,4.5
2/13 12:12:43 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-118,7.0,101,116,101,-4.5,4.5
2/13 12:12:28 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-120,7.0,103,116,101,-4.5,4.5
2/13 12:12:16 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-105,7.0,-111,116,101,-4.5,4.5
2/13 12:08:50 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-111,10.0,-119,116,101,-4.5,4.5
2/13 12:08:46 pm,Pinnacle,Miami Heat,Utah Jazz,-11.0,112,11.0,-149,116,101,-4.5,4.5
2/13 12:08:44 pm,Pinnacle,Miami Heat,Utah Jazz,-11.0,103,11.0,-136,116,101,-4.5,4.5
2/13 12:08:41 pm,Pinnacle,Miami Heat,Utah Jazz,-11.0,-105,11.0,-126,116,101,-4.5,4.5
2/13 12:08:35 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-107,10.0,-124,116,101,-4.5,4.5
2/13 12:08:29 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-104,10.0,-127,116,101,-4.5,4.5
2/13 12:08:26 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-112,10.0,-118,116,101,-4.5,4.5
2/13 12:08:20 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-108,9.5,-122,116,101,-4.5,4.5
2/13 12:08:17 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-109,9.5,-122,116,101,-4.5,4.5
2/13 12:08:14 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-109,9.5,-122,116,101,-4.5,4.5
2/13 12:07:58 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-109,9.5,-122,116,101,-4.5,4.5
2/13 12:07:55 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-104,10.0,-127,116,101,-4.5,4.5
2/13 12:07:52 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-112,10.0,-118,116,101,-4.5,4.5
2/13 12:07:11 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-113,10.0,-117,116,101,-4.5,4.5
2/13 12:07:08 pm,Pinnacle,Miami Heat,Utah Jazz,-8.5,-124,8.5,-107,116,101,-4.5,4.5
2/13 12:07:04 pm,Pinnacle,Miami Heat,Utah Jazz,-8.5,-117,8.5,-113,116,101,-4.5,4.5
2/13 12:06:49 pm,Pinnacle,Miami Heat,Utah Jazz,-8.5,-117,8.5,-113,116,101,-4.5,4.5
2/13 12:06:40 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-113,10.0,-117,116,101,-4.5,4.5
2/13 12:06:10 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-113,10.0,-117,116,101,-4.5,4.5
2/13 12:05:32 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-114,10.0,-116,116,101,-4.5,4.5
2/13 12:05:16 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-111,9.5,-119,116,101,-4.5,4.5
2/13 12:05:10 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-112,9.5,-119,116,101,-4.5,4.5
2/13 12:05:05 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-114,10.0,-116,116,101,-4.5,4.5
2/13 12:04:41 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-114,9.5,-102,116,101,-4.5,4.5
2/13 12:03:22 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-117,9.5,101,116,101,-4.5,4.5
2/13 12:03:10 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-109,9.5,-107,116,101,-4.5,4.5
2/13 12:02:53 pm,Pinnacle,Miami Heat,Utah Jazz,-9.5,-114,9.5,-102,116,101,-4.5,4.5
2/13 12:02:34 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-107,10.0,-109,116,101,-4.5,4.5
2/13 12:02:31 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-114,10.0,-116,116,101,-4.5,4.5
2/13 12:02:29 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-104,10.0,-127,116,101,-4.5,4.5
2/13 12:02:20 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-112,10.0,-118,116,101,-4.5,4.5
2/13 12:01:58 pm,Pinnacle,Miami Heat,Utah Jazz,-10.0,-121,10.0,-109,116,101,-4.5,4.5
2/13 12:01:53 pm,Pinnacle,Miami Heat,Utah Jazz,-9.0,-110,9.0,-121,116,101,-4.5,4.5
2/13 12:01:49 pm,Pinnacle,Miami Heat,Utah Jazz,-8.0,-102,8.0,-130,116,101,-4.5,4.5
2/13 12:01:47 pm,Pinnacle,Miami Heat,Utah Jazz,-8.0,-109,8.0,-121,116,101,-4.5,4.5
2/13 12:01:44 pm,Pinnacle,Miami Heat,Utah Jazz,-9.0,-110,9.0,-120,116,101,-4.5,4.5
2/13 12:01:38 pm,Pinnacle,Miami Heat,Utah Jazz,-7.5,-116,7.5,-114,116,101,-4.5,4.5
2/13 12:01:29 pm,Pinnacle,Miami Heat,Utah Jazz,-7.5,-129,7.5,-103,116,101,-4.5,4.5
2/13 12:01:20 pm,Pinnacle,Miami Heat,Utah Jazz,-7.5,-115,7.5,-115,116,101,-4.5,4.5
2/13 12:00:44 pm,Pinnacle,Miami Heat,Utah Jazz,-7.0,-115,7.0,-115,116,101,-4.5,4.5
2/13 12:00:40 pm,Pinnacle,Miami Heat,Utah Jazz,-6.0,-130,6.0,-102,116,101,-4.5,4.5
2/13 12:00:37 pm,Pinnacle,Miami Heat,Utah Jazz,-6.0,-122,6.0,-108,116,101,-4.5,4.5
2/13 12:00:26 pm,Pinnacle,Miami Heat,Utah Jazz,-6.0,-116,6.0,-114,116,101,-4.5,4.5
2/13 12:00:23 pm,Pinnacle,Miami Heat,Utah Jazz,-5.0,-111,5.0,-119,116,101,-4.5,4.5
2/13 12:00:14 pm,Pinnacle,Miami Heat,Utah Jazz,-5.0,-109,5.0,-122,116,101,-4.5,4.5
2/13 11:59:59 am,Pinnacle,Miami Heat,Utah Jazz,-4.0,-111,4.0,-119,116,101,-4.5,4.5
2/13 11:59:55 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-110,5.0,-121,116,101,-4.5,4.5
2/13 11:59:50 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-117,4.5,-113,116,101,-4.5,4.5
2/13 11:59:46 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-117,4.5,-113,116,101,-4.5,4.5
2/13 11:59:45 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-119,4.5,-111,116,101,-4.5,4.5
2/13 11:59:44 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-117,4.5,-113,116,101,-4.5,4.5
2/13 11:59:23 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-119,4.5,-111,116,101,-4.5,4.5
2/13 11:59:20 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-109,4.5,-121,116,101,-4.5,4.5
2/13 11:58:44 am,Pinnacle,Miami Heat,Utah Jazz,-4.0,-123,4.0,-108,116,101,-4.5,4.5
2/13 11:58:29 am,Pinnacle,Miami Heat,Utah Jazz,-3.5,-110,3.5,-121,116,101,-4.5,4.5
2/13 11:58:17 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-108,4.5,-123,116,101,-4.5,4.5
2/13 11:58:14 am,Pinnacle,Miami Heat,Utah Jazz,-3.5,-110,3.5,-120,116,101,-4.5,4.5
2/13 11:57:56 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-110,4.5,-121,116,101,-4.5,4.5
2/13 11:57:49 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-119,4.5,-112,116,101,-4.5,4.5
2/13 11:57:46 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-107,5.0,-123,116,101,-4.5,4.5
2/13 11:57:26 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-108,5.0,-123,116,101,-4.5,4.5
2/13 11:57:23 am,Pinnacle,Miami Heat,Utah Jazz,-3.5,-113,3.5,-117,116,101,-4.5,4.5
2/13 11:57:19 am,Pinnacle,Miami Heat,Utah Jazz,-3.0,-108,3.0,-122,116,101,-4.5,4.5
2/13 11:56:53 am,Pinnacle,Miami Heat,Utah Jazz,-4.0,-117,4.0,-113,116,101,-4.5,4.5
2/13 11:56:47 am,Pinnacle,Miami Heat,Utah Jazz,-4.0,-117,4.0,-113,116,101,-4.5,4.5
2/13 11:56:29 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-116,5.0,-114,116,101,-4.5,4.5
2/13 11:56:14 am,Pinnacle,Miami Heat,Utah Jazz,-6.5,-108,6.5,-123,116,101,-4.5,4.5
2/13 11:55:56 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-117,5.0,-113,116,101,-4.5,4.5
2/13 11:55:53 am,Pinnacle,Miami Heat,Utah Jazz,-6.5,-109,6.5,-122,116,101,-4.5,4.5
2/13 11:55:47 am,Pinnacle,Miami Heat,Utah Jazz,-6.5,-109,6.5,-122,116,101,-4.5,4.5
2/13 11:55:33 am,Pinnacle,Miami Heat,Utah Jazz,-6.0,-109,6.0,-121,116,101,-4.5,4.5
2/13 11:55:05 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-112,5.0,-118,116,101,-4.5,4.5
2/13 11:55:02 am,Pinnacle,Miami Heat,Utah Jazz,-6.0,-110,6.0,-120,116,101,-4.5,4.5
2/13 11:54:45 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-111,5.0,-120,116,101,-4.5,4.5
2/13 11:54:41 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-117,4.5,-113,116,101,-4.5,4.5
2/13 11:54:05 am,Pinnacle,Miami Heat,Utah Jazz,-4.5,-114,4.5,-117,116,101,-4.5,4.5
2/13 11:54:02 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-113,5.5,-117,116,101,-4.5,4.5
2/13 11:53:53 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-119,5.5,-111,116,101,-4.5,4.5
2/13 11:53:37 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-114,5.5,-102,116,101,-4.5,4.5
2/13 11:53:36 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-113,5.5,-103,116,101,-4.5,4.5
2/13 11:53:20 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-119,5.5,102,116,101,-4.5,4.5
2/13 11:52:29 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-112,5.5,-105,116,101,-4.5,4.5
2/13 11:52:21 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-111,5.5,-105,116,101,-4.5,4.5
2/13 11:51:54 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-110,5.5,-106,116,101,-4.5,4.5
2/13 11:51:24 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-111,5.5,-105,116,101,-4.5,4.5
2/13 11:51:05 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-112,5.5,-104,116,101,-4.5,4.5
2/13 11:50:46 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-119,5.5,-111,116,101,-4.5,4.5
2/13 11:50:26 am,Pinnacle,Miami Heat,Utah Jazz,-6.0,-119,6.0,-111,116,101,-4.5,4.5
2/13 11:50:15 am,Pinnacle,Miami Heat,Utah Jazz,-5.0,-121,5.0,-109,116,101,-4.5,4.5
2/13 11:49:59 am,Pinnacle,Miami Heat,Utah Jazz,-6.0,-120,6.0,-110,116,101,-4.5,4.5
2/13 11:49:51 am,Pinnacle,Miami Heat,Utah Jazz,-5.5,-108,5.5,-122,116,101,-4.5,4.5
