Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/9 9:30:43 am,RedZone,Miami Heat,Washington Wizards,13.5,128,-13.5,-162,89,100,5.5,-5.5
3/9 9:30:18 am,RedZone,Miami Heat,Washington Wizards,13.5,-137,-13.5,109,89,100,5.5,-5.5
3/9 9:30:12 am,RedZone,Miami Heat,Washington Wizards,12.5,107,-12.5,-134,89,100,5.5,-5.5
3/9 9:30:00 am,RedZone,Miami Heat,Washington Wizards,12.5,-106,-12.5,-117,89,100,5.5,-5.5
3/9 9:29:40 am,RedZone,Miami Heat,Washington Wizards,11.5,124,-11.5,-157,89,100,5.5,-5.5
3/9 9:29:29 am,RedZone,Miami Heat,Washington Wizards,10.5,101,-10.5,-125,89,100,5.5,-5.5
3/9 9:29:13 am,RedZone,Miami Heat,Washington Wizards,9.5,-134,-9.5,107,89,100,5.5,-5.5
3/9 9:29:02 am,RedZone,Miami Heat,Washington Wizards,8.5,-112,-8.5,-112,89,100,5.5,-5.5
3/9 9:28:55 am,RedZone,Miami Heat,Washington Wizards,9.5,-134,-9.5,107,89,100,5.5,-5.5
3/9 9:28:32 am,RedZone,Miami Heat,Washington Wizards,8.5,101,-8.5,-125,89,100,5.5,-5.5
3/9 9:28:09 am,RedZone,Miami Heat,Washington Wizards,6.5,-103,-6.5,-121,89,100,5.5,-5.5
3/9 9:27:45 am,Pinnacle,Miami Heat,Washington Wizards,5.5,108,-5.5,-126,89,100,5.5,-5.5
3/9 9:27:18 am,Pinnacle,Miami Heat,Washington Wizards,5.5,106,-5.5,-124,89,100,5.5,-5.5
3/9 9:27:14 am,Pinnacle,Miami Heat,Washington Wizards,5.5,-107,-5.5,-109,89,100,5.5,-5.5
3/9 9:27:07 am,Pinnacle,Miami Heat,Washington Wizards,5.5,-109,-5.5,-107,89,100,5.5,-5.5
3/9 9:27:00 am,Pinnacle,Miami Heat,Washington Wizards,5.5,-110,-5.5,-106,89,100,5.5,-5.5
3/9 9:26:57 am,Pinnacle,Miami Heat,Washington Wizards,5.5,-112,-5.5,-104,89,100,5.5,-5.5
3/9 9:26:53 am,Pinnacle,Miami Heat,Washington Wizards,5.5,-108,-5.5,-108,89,100,5.5,-5.5
3/9 9:26:47 am,Pinnacle,Miami Heat,Washington Wizards,5.5,105,-5.5,-123,89,100,5.5,-5.5
3/9 9:26:42 am,Pinnacle,Miami Heat,Washington Wizards,5.5,104,-5.5,-121,89,100,5.5,-5.5
3/9 9:26:32 am,Pinnacle,Miami Heat,Washington Wizards,5.5,-108,-5.5,-108,89,100,5.5,-5.5
3/9 9:26:12 am,RedZone,Miami Heat,Washington Wizards,5.5,101,-5.5,-125,89,100,5.5,-5.5
3/9 9:26:07 am,RedZone,Miami Heat,Washington Wizards,4.5,-129,-4.5,104,89,100,5.5,-5.5
3/9 9:25:45 am,RedZone,Miami Heat,Washington Wizards,3.5,107,-3.5,-135,89,100,5.5,-5.5
3/9 9:25:27 am,RedZone,Miami Heat,Washington Wizards,3.5,101,-3.5,-126,89,100,5.5,-5.5
3/9 9:25:10 am,RedZone,Miami Heat,Washington Wizards,3.5,-112,-3.5,-112,89,100,5.5,-5.5
3/9 9:24:48 am,RedZone,Miami Heat,Washington Wizards,4.5,-138,-4.5,109,89,100,5.5,-5.5
3/9 9:24:40 am,RedZone,Miami Heat,Washington Wizards,3.5,101,-3.5,-126,89,100,5.5,-5.5
3/9 9:24:27 am,RedZone,Miami Heat,Washington Wizards,3.5,-112,-3.5,-112,89,100,5.5,-5.5
3/9 9:24:18 am,RedZone,Miami Heat,Washington Wizards,3.5,-126,-3.5,101,89,100,5.5,-5.5
3/9 9:23:47 am,RedZone,Miami Heat,Washington Wizards,3.5,-138,-3.5,109,89,100,5.5,-5.5
3/9 9:23:37 am,RedZone,Miami Heat,Washington Wizards,2.5,101,-2.5,-126,89,100,5.5,-5.5
3/9 9:23:20 am,RedZone,Miami Heat,Washington Wizards,2.5,-112,-2.5,-112,89,100,5.5,-5.5
