Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/2 4:15:30 am,RedZone,Milwaukee Bucks,Charlotte Hornets,7.5,101,-7.5,-125,85,93,13.5,-13.5
3/2 4:15:24 am,RedZone,Milwaukee Bucks,Charlotte Hornets,8.5,-190,-8.5,149,85,93,13.5,-13.5
3/2 4:15:03 am,RedZone,Milwaukee Bucks,Charlotte Hornets,7.5,-103,-7.5,-121,85,93,13.5,-13.5
3/2 4:14:34 am,RedZone,Milwaukee Bucks,Charlotte Hornets,8.5,-139,-8.5,110,85,93,13.5,-13.5
3/2 4:14:14 am,RedZone,Milwaukee Bucks,Charlotte Hornets,7.5,-106,-7.5,-117,85,93,13.5,-13.5
3/2 4:12:30 am,RedZone,Milwaukee Bucks,Charlotte Hornets,8.5,-103,-8.5,-121,85,93,13.5,-13.5
3/2 4:12:08 am,RedZone,Milwaukee Bucks,Charlotte Hornets,8.5,104,-8.5,-129,85,93,13.5,-13.5
3/2 4:11:53 am,RedZone,Milwaukee Bucks,Charlotte Hornets,7.5,-103,-7.5,-121,85,93,13.5,-13.5
3/2 4:11:12 am,RedZone,Milwaukee Bucks,Charlotte Hornets,6.5,101,-6.5,-125,85,93,13.5,-13.5
3/2 4:10:48 am,RedZone,Milwaukee Bucks,Charlotte Hornets,6.5,-110,-6.5,-110,85,93,13.5,-13.5
3/2 4:10:07 am,RedZone,Milwaukee Bucks,Charlotte Hornets,5.5,-110,-5.5,-110,85,93,13.5,-13.5
3/2 4:09:35 am,RedZone,Milwaukee Bucks,Charlotte Hornets,4.5,-110,-4.5,-110,85,93,13.5,-13.5
3/2 4:09:20 am,RedZone,Milwaukee Bucks,Charlotte Hornets,6.5,-125,-6.5,101,85,93,13.5,-13.5
3/2 4:09:09 am,RedZone,Milwaukee Bucks,Charlotte Hornets,6.5,-121,-6.5,-103,85,93,13.5,-13.5
