Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/10 11:15:51 am,RedZone,Milwaukee Bucks,Denver Nuggets,-13.5,-159,13.5,126,109,95,-5.5,5.5
3/10 11:15:25 am,RedZone,Milwaukee Bucks,Denver Nuggets,-13.5,-148,13.5,118,109,95,-5.5,5.5
3/10 11:15:16 am,RedZone,Milwaukee Bucks,Denver Nuggets,-13.5,-129,13.5,104,109,95,-5.5,5.5
3/10 11:14:35 am,RedZone,Milwaukee Bucks,Denver Nuggets,-11.5,-129,11.5,104,109,95,-5.5,5.5
3/10 11:14:25 am,RedZone,Milwaukee Bucks,Denver Nuggets,-10.5,-112,10.5,-112,109,95,-5.5,5.5
3/10 11:14:20 am,RedZone,Milwaukee Bucks,Denver Nuggets,-10.5,107,10.5,-134,109,95,-5.5,5.5
3/10 11:14:02 am,RedZone,Milwaukee Bucks,Denver Nuggets,-8.5,-106,8.5,-117,109,95,-5.5,5.5
3/10 11:13:33 am,RedZone,Milwaukee Bucks,Denver Nuggets,-8.5,-108,8.5,-115,109,95,-5.5,5.5
3/10 11:13:27 am,RedZone,Milwaukee Bucks,Denver Nuggets,-8.5,101,8.5,-125,109,95,-5.5,5.5
3/10 11:13:10 am,RedZone,Milwaukee Bucks,Denver Nuggets,-7.5,-112,7.5,-112,109,95,-5.5,5.5
3/10 11:12:37 am,RedZone,Milwaukee Bucks,Denver Nuggets,-9.5,-103,9.5,-121,109,95,-5.5,5.5
3/10 11:12:34 am,RedZone,Milwaukee Bucks,Denver Nuggets,-7.5,-108,7.5,-115,109,95,-5.5,5.5
3/10 11:12:25 am,RedZone,Milwaukee Bucks,Denver Nuggets,-7.5,-112,7.5,-112,109,95,-5.5,5.5
3/10 11:11:59 am,RedZone,Milwaukee Bucks,Denver Nuggets,-8.5,-108,8.5,-115,109,95,-5.5,5.5
3/10 11:11:40 am,RedZone,Milwaukee Bucks,Denver Nuggets,-8.5,-112,8.5,-112,109,95,-5.5,5.5
3/10 11:11:20 am,RedZone,Milwaukee Bucks,Denver Nuggets,-9.5,-125,9.5,101,109,95,-5.5,5.5
3/10 11:10:37 am,RedZone,Milwaukee Bucks,Denver Nuggets,-7.5,-108,7.5,-115,109,95,-5.5,5.5
3/10 11:10:15 am,RedZone,Milwaukee Bucks,Denver Nuggets,-5.5,-135,5.5,107,109,95,-5.5,5.5
3/10 11:09:54 am,RedZone,Milwaukee Bucks,Denver Nuggets,-6.5,101,6.5,-126,109,95,-5.5,5.5
3/10 11:09:35 am,RedZone,Milwaukee Bucks,Denver Nuggets,-6.5,-112,6.5,-112,109,95,-5.5,5.5
3/10 11:09:15 am,RedZone,Milwaukee Bucks,Denver Nuggets,-5.5,-130,5.5,104,109,95,-5.5,5.5
3/10 11:09:01 am,RedZone,Milwaukee Bucks,Denver Nuggets,-7.5,-112,7.5,-112,109,95,-5.5,5.5
3/10 11:08:48 am,RedZone,Milwaukee Bucks,Denver Nuggets,-7.5,101,7.5,-126,109,95,-5.5,5.5
3/10 11:06:04 am,RedZone,Milwaukee Bucks,Denver Nuggets,-6.5,-126,6.5,101,109,95,-5.5,5.5
3/10 11:05:49 am,RedZone,Milwaukee Bucks,Denver Nuggets,-7.5,101,7.5,-126,109,95,-5.5,5.5
3/10 11:05:31 am,RedZone,Milwaukee Bucks,Denver Nuggets,-8.5,107,8.5,-135,109,95,-5.5,5.5
3/10 11:05:24 am,RedZone,Milwaukee Bucks,Denver Nuggets,-9.5,-112,9.5,-112,109,95,-5.5,5.5
3/10 11:05:00 am,RedZone,Milwaukee Bucks,Denver Nuggets,-8.5,104,8.5,-130,109,95,-5.5,5.5
3/10 11:04:47 am,RedZone,Milwaukee Bucks,Denver Nuggets,-9.5,-112,9.5,-112,109,95,-5.5,5.5
3/10 11:04:33 am,RedZone,Milwaukee Bucks,Denver Nuggets,-10.5,-105,10.5,-118,109,95,-5.5,5.5
3/10 11:03:47 am,RedZone,Milwaukee Bucks,Denver Nuggets,-11.5,101,11.5,-126,109,95,-5.5,5.5
3/10 11:03:14 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,114,11.5,-133,109,95,-5.5,5.5
3/10 11:02:35 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,113,11.5,-132,109,95,-5.5,5.5
3/10 11:02:16 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,112,11.5,-130,109,95,-5.5,5.5
3/10 11:02:11 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,102,11.5,-120,109,95,-5.5,5.5
3/10 11:02:05 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,101,11.5,-118,109,95,-5.5,5.5
3/10 11:01:53 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,-100,11.5,-117,109,95,-5.5,5.5
3/10 11:01:50 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,-100,11.5,-116,109,95,-5.5,5.5
3/10 11:01:47 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,-101,11.5,-115,109,95,-5.5,5.5
3/10 11:01:44 am,Pinnacle,Milwaukee Bucks,Denver Nuggets,-11.5,-102,11.5,-114,109,95,-5.5,5.5
