Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/5 10:19:34 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,21.5,-122,-21.5,105,103,127,8.5,-8.5
12/5 10:19:27 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,21.5,-128,-21.5,110,103,127,8.5,-8.5
12/5 10:18:02 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,21.5,-127,-21.5,109,103,127,8.5,-8.5
12/5 10:17:55 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,21.5,-124,-21.5,106,103,127,8.5,-8.5
12/5 10:17:39 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,21.5,-114,-21.5,-102,103,127,8.5,-8.5
12/5 10:16:24 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,20.0,-106,-20.0,-125,103,127,8.5,-8.5
12/5 10:16:18 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,18.5,-109,-18.5,-121,103,127,8.5,-8.5
12/5 10:16:04 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,17.5,-119,-17.5,-111,103,127,8.5,-8.5
12/5 10:15:57 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,17.5,-122,-17.5,-108,103,127,8.5,-8.5
12/5 10:15:51 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,17.5,-119,-17.5,-111,103,127,8.5,-8.5
12/5 10:15:44 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,16.0,-135,-16.0,102,103,127,8.5,-8.5
12/5 10:15:38 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,16.0,-122,-16.0,-108,103,127,8.5,-8.5
12/5 10:15:31 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,16.0,-121,-16.0,-109,103,127,8.5,-8.5
12/5 10:15:24 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,16.5,-112,-16.5,-118,103,127,8.5,-8.5
12/5 10:15:18 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,17.5,-106,-17.5,-125,103,127,8.5,-8.5
12/5 10:15:11 am,Pinnacle,Milwaukee Bucks,Detroit Pistons,17.5,-109,-17.5,-122,103,127,8.5,-8.5
