Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/9 1:27:55 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,6.5,112,-6.5,-131,98,107,13.5,-13.5
1/9 1:27:52 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,6.5,107,-6.5,-125,98,107,13.5,-13.5
1/9 1:20:14 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-125,-12.0,107,98,107,13.5,-13.5
1/9 1:20:10 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-128,-12.0,110,98,107,13.5,-13.5
1/9 1:20:09 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-125,-12.0,107,98,107,13.5,-13.5
1/9 1:20:09 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-118,-12.0,101,98,107,13.5,-13.5
1/9 1:20:07 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-125,-12.0,107,98,107,13.5,-13.5
1/9 1:19:58 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-118,-12.0,101,98,107,13.5,-13.5
1/9 1:19:40 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-117,-12.0,-100,98,107,13.5,-13.5
1/9 1:19:31 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-116,-12.0,-101,98,107,13.5,-13.5
1/9 1:19:16 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-103,-12.0,-113,98,107,13.5,-13.5
1/9 1:19:13 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-101,-12.0,-116,98,107,13.5,-13.5
1/9 1:19:04 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,100,-12.0,-117,98,107,13.5,-13.5
1/9 1:17:20 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,9.5,-108,-9.5,-108,98,107,13.5,-13.5
1/9 1:17:13 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,9.5,-107,-9.5,-109,98,107,13.5,-13.5
1/9 1:17:11 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,9.5,-106,-9.5,-110,98,107,13.5,-13.5
1/9 1:16:49 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,9.5,-104,-9.5,-112,98,107,13.5,-13.5
1/9 1:12:13 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,10.0,-123,-10.0,-107,98,107,13.5,-13.5
1/9 1:12:01 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,11.0,-112,-11.0,-118,98,107,13.5,-13.5
1/9 1:11:52 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,11.0,-110,-11.0,-121,98,107,13.5,-13.5
1/9 1:11:49 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-122,-12.0,-108,98,107,13.5,-13.5
1/9 1:11:46 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-119,-12.0,-111,98,107,13.5,-13.5
1/9 1:11:42 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-110,-12.0,-106,98,107,13.5,-13.5
1/9 1:08:58 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,11.5,107,-11.5,-125,98,107,13.5,-13.5
1/9 1:08:55 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,11.5,108,-11.5,-126,98,107,13.5,-13.5
1/9 1:08:50 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,11.5,104,-11.5,-122,98,107,13.5,-13.5
1/9 1:08:25 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-108,-12.0,-108,98,107,13.5,-13.5
1/9 1:08:16 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-109,-12.0,-107,98,107,13.5,-13.5
1/9 1:08:07 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,12.0,-116,-12.0,-114,98,107,13.5,-13.5
1/9 1:07:58 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,13.0,-108,-13.0,-122,98,107,13.5,-13.5
1/9 1:07:55 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,14.0,-124,-14.0,-107,98,107,13.5,-13.5
1/9 1:07:52 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,14.0,-124,-14.0,-107,98,107,13.5,-13.5
1/9 1:07:48 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,14.0,-113,-14.0,-117,98,107,13.5,-13.5
1/9 1:07:40 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,14.0,-113,-14.0,-117,98,107,13.5,-13.5
1/9 1:07:34 pm,Pinnacle,Milwaukee Bucks,Golden State Warriors,13.5,-124,-13.5,-107,98,107,13.5,-13.5
