Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/17 9:57:54 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-120,-21.5,103,83,102,7.5,-7.5
11/17 9:57:42 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-118,-21.5,101,83,102,7.5,-7.5
11/17 9:57:36 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-125,-21.5,107,83,102,7.5,-7.5
11/17 9:57:21 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-133,-21.5,114,83,102,7.5,-7.5
11/17 9:57:12 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-136,-21.5,116,83,102,7.5,-7.5
11/17 9:57:06 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-133,-21.5,114,83,102,7.5,-7.5
11/17 9:57:03 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-126,-21.5,108,83,102,7.5,-7.5
11/17 9:57:00 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-116,-21.5,-101,83,102,7.5,-7.5
11/17 9:56:48 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,21.5,-107,-21.5,-109,83,102,7.5,-7.5
11/17 9:51:15 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,16.0,-114,-16.0,-102,83,102,7.5,-7.5
11/17 9:50:27 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,16.0,-108,-16.0,-122,83,102,7.5,-7.5
11/17 9:50:21 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,16.0,-110,-16.0,-120,83,102,7.5,-7.5
11/17 9:50:15 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-112,-14.5,-118,83,102,7.5,-7.5
11/17 9:50:09 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-113,-13.5,-117,83,102,7.5,-7.5
11/17 9:50:03 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-115,-13.5,-115,83,102,7.5,-7.5
11/17 9:50:00 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-114,-13.5,-116,83,102,7.5,-7.5
11/17 9:49:45 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.0,-122,-13.0,-109,83,102,7.5,-7.5
11/17 9:49:40 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.0,-123,-13.0,-108,83,102,7.5,-7.5
11/17 9:49:36 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-103,-13.5,-129,83,102,7.5,-7.5
11/17 9:49:30 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-113,-13.5,-117,83,102,7.5,-7.5
11/17 9:49:21 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-126,-14.5,-105,83,102,7.5,-7.5
11/17 9:48:54 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-124,-14.5,-107,83,102,7.5,-7.5
11/17 9:48:40 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-121,-14.5,-109,83,102,7.5,-7.5
11/17 9:48:27 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-112,-14.5,-118,83,102,7.5,-7.5
11/17 9:48:21 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-118,-13.5,-112,83,102,7.5,-7.5
11/17 9:48:15 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-120,-13.5,-110,83,102,7.5,-7.5
11/17 9:48:09 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-111,-13.5,-119,83,102,7.5,-7.5
11/17 9:48:06 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.5,-110,-13.5,-120,83,102,7.5,-7.5
11/17 9:47:57 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.0,-121,-13.0,-109,83,102,7.5,-7.5
11/17 9:47:51 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,13.0,-122,-13.0,-109,83,102,7.5,-7.5
11/17 9:47:48 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-120,-14.5,-110,83,102,7.5,-7.5
11/17 9:47:45 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-118,-14.5,-112,83,102,7.5,-7.5
11/17 9:47:42 am,Pinnacle,Milwaukee Bucks,Indiana Pacers,14.5,-116,-14.5,-114,83,102,7.5,-7.5
