Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/7 1:43:52 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-122,-5.5,104,124,129,6.5,-6.5
11/7 1:43:50 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-123,-5.5,105,124,129,6.5,-6.5
11/7 1:43:43 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-118,-5.5,101,124,129,6.5,-6.5
11/7 1:43:31 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-117,-5.5,100,124,129,6.5,-6.5
11/7 1:43:28 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-113,-5.5,-104,124,129,6.5,-6.5
11/7 1:43:22 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-112,-5.5,-104,124,129,6.5,-6.5
11/7 1:43:19 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-114,-5.5,-102,124,129,6.5,-6.5
11/7 1:43:11 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-111,-5.5,-105,124,129,6.5,-6.5
11/7 1:43:07 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-113,-5.5,-104,124,129,6.5,-6.5
11/7 1:43:01 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-120,-5.5,103,124,129,6.5,-6.5
11/7 1:42:58 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-117,-5.5,100,124,129,6.5,-6.5
11/7 1:42:55 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-105,-5.5,-111,124,129,6.5,-6.5
11/7 1:42:40 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-108,-5.5,-108,124,129,6.5,-6.5
11/7 1:33:15 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,-101,-7.5,-115,124,129,6.5,-6.5
11/7 1:33:02 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,-106,-7.5,-111,124,129,6.5,-6.5
11/7 1:32:59 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,-106,-7.5,-110,124,129,6.5,-6.5
11/7 1:32:49 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,-104,-7.5,-112,124,129,6.5,-6.5
11/7 1:29:44 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,12.5,-116,-12.5,-101,124,129,6.5,-6.5
11/7 1:29:17 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,12.5,-110,-12.5,-106,124,129,6.5,-6.5
11/7 1:29:02 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,12.5,-105,-12.5,-111,124,129,6.5,-6.5
11/7 1:24:53 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,10.5,-106,-10.5,-110,124,129,6.5,-6.5
11/7 1:22:44 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-127,-8.5,-104,124,129,6.5,-6.5
11/7 1:22:38 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-116,-8.5,-114,124,129,6.5,-6.5
11/7 1:22:32 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-115,-8.0,-115,124,129,6.5,-6.5
11/7 1:22:26 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-121,-8.0,-109,124,129,6.5,-6.5
11/7 1:21:44 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,0.0,579,0.0,-820,124,129,6.5,-6.5
11/7 1:20:38 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,0.0,574,0.0,-810,124,129,6.5,-6.5
11/7 1:20:20 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,0.0,622,0.0,-900,124,129,6.5,-6.5
11/7 1:18:08 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.0,108,-7.0,-143,124,129,6.5,-6.5
11/7 1:18:05 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.0,-101,-7.0,-131,124,129,6.5,-6.5
11/7 1:18:02 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.0,-116,-7.0,-114,124,129,6.5,-6.5
11/7 1:17:59 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-134,-8.0,101,124,129,6.5,-6.5
11/7 1:17:56 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-123,-8.0,-108,124,129,6.5,-6.5
11/7 1:17:50 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-120,-8.0,-110,124,129,6.5,-6.5
11/7 1:17:47 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.0,-106,-7.0,-125,124,129,6.5,-6.5
11/7 1:17:42 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-105,-8.0,-126,124,129,6.5,-6.5
11/7 1:17:35 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-111,-8.0,-119,124,129,6.5,-6.5
11/7 1:17:32 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-105,-8.0,-126,124,129,6.5,-6.5
11/7 1:17:08 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-117,-8.5,-113,124,129,6.5,-6.5
11/7 1:17:02 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,10.0,-157,-10.0,118,124,129,6.5,-6.5
11/7 1:16:59 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,10.0,-142,-10.0,107,124,129,6.5,-6.5
11/7 1:16:53 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,10.0,-114,-10.0,-116,124,129,6.5,-6.5
11/7 1:16:47 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,9.0,-104,-9.0,-127,124,129,6.5,-6.5
11/7 1:16:41 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,9.0,-114,-9.0,-116,124,129,6.5,-6.5
11/7 1:16:11 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,102,-8.5,-120,124,129,6.5,-6.5
11/7 1:15:29 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,103,-8.5,-120,124,129,6.5,-6.5
11/7 1:15:11 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,104,-8.5,-122,124,129,6.5,-6.5
11/7 1:14:59 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-101,-8.5,-115,124,129,6.5,-6.5
11/7 1:14:53 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-106,-8.5,-110,124,129,6.5,-6.5
11/7 1:14:50 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-108,-8.5,-108,124,129,6.5,-6.5
11/7 1:14:26 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-109,-8.5,-107,124,129,6.5,-6.5
11/7 1:14:14 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-107,-8.5,-109,124,129,6.5,-6.5
11/7 1:14:11 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-106,-8.5,-110,124,129,6.5,-6.5
11/7 1:14:05 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-105,-8.5,-111,124,129,6.5,-6.5
11/7 1:13:56 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-104,-8.5,-113,124,129,6.5,-6.5
11/7 1:13:47 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.5,-105,-8.5,-111,124,129,6.5,-6.5
11/7 1:13:14 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,9.0,-115,-9.0,-115,124,129,6.5,-6.5
11/7 1:13:08 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,109,-7.5,-145,124,129,6.5,-6.5
11/7 1:13:02 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,-112,-7.5,-118,124,129,6.5,-6.5
11/7 1:12:59 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.0,-125,-7.0,-105,124,129,6.5,-6.5
11/7 1:12:53 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-125,-8.0,-106,124,129,6.5,-6.5
11/7 1:12:47 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-122,-8.0,-108,124,129,6.5,-6.5
11/7 1:12:41 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-113,-8.0,-117,124,129,6.5,-6.5
11/7 1:12:35 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-121,-8.0,-109,124,129,6.5,-6.5
11/7 1:12:29 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-118,-8.0,-113,124,129,6.5,-6.5
11/7 1:12:26 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-115,-8.0,-115,124,129,6.5,-6.5
11/7 1:12:17 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-106,-8.0,-124,124,129,6.5,-6.5
11/7 1:12:11 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,9.0,-118,-9.0,-113,124,129,6.5,-6.5
11/7 1:12:08 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,9.0,-108,-9.0,-122,124,129,6.5,-6.5
11/7 1:12:05 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,102,-8.0,-135,124,129,6.5,-6.5
11/7 1:11:59 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-105,-8.0,-126,124,129,6.5,-6.5
11/7 1:11:56 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,9.0,-129,-9.0,-103,124,129,6.5,-6.5
11/7 1:11:54 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,9.0,-115,-9.0,-115,124,129,6.5,-6.5
11/7 1:11:41 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-115,-8.0,-115,124,129,6.5,-6.5
11/7 1:11:29 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-112,-8.0,-118,124,129,6.5,-6.5
11/7 1:11:26 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,8.0,-121,-8.0,-109,124,129,6.5,-6.5
11/7 1:10:54 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,102,-7.5,-135,124,129,6.5,-6.5
11/7 1:10:38 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,7.5,-107,-7.5,-124,124,129,6.5,-6.5
11/7 1:10:32 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.5,111,-6.5,-148,124,129,6.5,-6.5
11/7 1:10:29 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.5,104,-6.5,-137,124,129,6.5,-6.5
11/7 1:10:24 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.5,-103,-6.5,-128,124,129,6.5,-6.5
11/7 1:10:17 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.5,-114,-6.5,-116,124,129,6.5,-6.5
11/7 1:10:08 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.5,-119,-6.5,-111,124,129,6.5,-6.5
11/7 1:10:05 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.5,-105,-6.5,-126,124,129,6.5,-6.5
11/7 1:10:03 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-113,-5.5,-117,124,129,6.5,-6.5
11/7 1:09:59 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,114,-5.5,-152,124,129,6.5,-6.5
11/7 1:09:58 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-103,-5.5,-129,124,129,6.5,-6.5
11/7 1:09:53 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-112,-5.5,-119,124,129,6.5,-6.5
11/7 1:09:35 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-100,-5.5,-132,124,129,6.5,-6.5
11/7 1:09:32 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-105,-5.5,-126,124,129,6.5,-6.5
11/7 1:09:29 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-110,-5.5,-121,124,129,6.5,-6.5
11/7 1:09:24 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-112,-5.5,-118,124,129,6.5,-6.5
11/7 1:09:17 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,4.5,-114,-4.5,-116,124,129,6.5,-6.5
11/7 1:09:14 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-104,-5.5,-127,124,129,6.5,-6.5
11/7 1:09:08 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,5.5,-112,-5.5,-118,124,129,6.5,-6.5
11/7 1:09:05 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,4.5,-103,-4.5,-128,124,129,6.5,-6.5
11/7 1:09:03 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.0,-105,-6.0,-127,124,129,6.5,-6.5
11/7 1:08:47 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.0,-117,-6.0,-113,124,129,6.5,-6.5
11/7 1:08:41 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.5,-110,-6.5,-120,124,129,6.5,-6.5
11/7 1:08:38 pm,Pinnacle,Milwaukee Bucks,Los Angeles Clippers,6.0,-108,-6.0,-122,124,129,6.5,-6.5
