Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/7 2:16:35 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-177,6.5,139,113,103,-1.5,1.5
3/7 2:14:39 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-157,6.5,124,113,103,-1.5,1.5
3/7 2:14:24 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,-162,7.5,128,113,103,-1.5,1.5
3/7 2:14:05 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,-134,7.5,107,113,103,-1.5,1.5
3/7 2:13:51 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-8.5,-103,8.5,-121,113,103,-1.5,1.5
3/7 2:13:28 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-8.5,-108,8.5,-115,113,103,-1.5,1.5
3/7 2:12:50 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,-137,7.5,109,113,103,-1.5,1.5
3/7 2:12:36 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-8.5,107,8.5,-134,113,103,-1.5,1.5
3/7 2:12:23 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,-112,7.5,-112,113,103,-1.5,1.5
3/7 2:12:17 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-117,6.5,-106,113,103,-1.5,1.5
3/7 2:11:56 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,-103,7.5,-121,113,103,-1.5,1.5
3/7 2:11:46 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,101,7.5,-125,113,103,-1.5,1.5
3/7 2:11:30 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-112,6.5,-112,113,103,-1.5,1.5
3/7 2:10:55 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-130,6.5,104,113,103,-1.5,1.5
3/7 2:10:42 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-126,5.5,101,113,103,-1.5,1.5
3/7 2:10:33 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,107,5.5,-135,113,103,-1.5,1.5
3/7 2:09:56 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-105,5.5,-118,113,103,-1.5,1.5
3/7 2:09:55 pm,Pinnacle,Milwaukee Bucks,Los Angeles Lakers,-6.0,-122,6.0,104,113,103,-1.5,1.5
3/7 2:09:49 pm,Pinnacle,Milwaukee Bucks,Los Angeles Lakers,-6.0,-120,6.0,103,113,103,-1.5,1.5
3/7 2:09:37 pm,Pinnacle,Milwaukee Bucks,Los Angeles Lakers,-6.0,-117,6.0,100,113,103,-1.5,1.5
3/7 2:09:34 pm,Pinnacle,Milwaukee Bucks,Los Angeles Lakers,-6.0,-119,6.0,102,113,103,-1.5,1.5
3/7 2:09:31 pm,Pinnacle,Milwaukee Bucks,Los Angeles Lakers,-6.0,-123,6.0,105,113,103,-1.5,1.5
3/7 2:09:31 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-112,5.5,-112,113,103,-1.5,1.5
3/7 2:09:28 pm,Pinnacle,Milwaukee Bucks,Los Angeles Lakers,-6.0,-108,6.0,-108,113,103,-1.5,1.5
3/7 2:09:11 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-115,5.5,-108,113,103,-1.5,1.5
3/7 2:08:35 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-135,5.5,107,113,103,-1.5,1.5
3/7 2:08:13 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-105,5.5,-118,113,103,-1.5,1.5
3/7 2:07:58 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-118,5.5,-105,113,103,-1.5,1.5
3/7 2:07:42 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-108,6.5,-115,113,103,-1.5,1.5
3/7 2:07:13 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,104,7.5,-130,113,103,-1.5,1.5
3/7 2:06:57 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-130,6.5,104,113,103,-1.5,1.5
3/7 2:06:52 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,-105,7.5,-118,113,103,-1.5,1.5
3/7 2:06:29 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-7.5,-112,7.5,-112,113,103,-1.5,1.5
3/7 2:06:03 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,101,6.5,-126,113,103,-1.5,1.5
3/7 2:05:42 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-130,6.5,104,113,103,-1.5,1.5
3/7 2:05:32 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-118,6.5,-105,113,103,-1.5,1.5
3/7 2:05:21 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-135,6.5,107,113,103,-1.5,1.5
3/7 2:05:03 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-118,6.5,-105,113,103,-1.5,1.5
3/7 2:04:45 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,104,5.5,-130,113,103,-1.5,1.5
3/7 2:04:37 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-108,5.5,-115,113,103,-1.5,1.5
3/7 2:04:20 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,104,5.5,-130,113,103,-1.5,1.5
3/7 2:03:52 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-6.5,-105,6.5,-118,113,103,-1.5,1.5
3/7 2:03:43 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-5.5,-126,5.5,101,113,103,-1.5,1.5
3/7 2:03:20 pm,RedZone,Milwaukee Bucks,Los Angeles Lakers,-4.5,-126,4.5,101,113,103,-1.5,1.5
