Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/14 11:26:21 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,15.5,-110,-15.5,-110,114,127,12,-12
12/14 11:23:22 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,13.5,-110,-13.5,-110,114,127,12,-12
12/14 11:21:40 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,12.5,-110,-12.5,-110,114,127,12,-12
12/14 11:21:20 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,11.5,-110,-11.5,-110,114,127,12,-12
12/14 11:20:27 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,10.5,-110,-10.5,-110,114,127,12,-12
12/14 11:19:06 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,11.5,-110,-11.5,-110,114,127,12,-12
12/14 11:18:43 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,14.5,-110,-14.5,-110,114,127,12,-12
12/14 11:18:19 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,12.5,-115,-12.5,-108,114,127,12,-12
12/14 11:16:40 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,13.5,-115,-13.5,-108,114,127,12,-12
12/14 11:16:06 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,12.5,-121,-12.5,-103,114,127,12,-12
12/14 11:15:05 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,10.5,-121,-10.5,-103,114,127,12,-12
12/14 11:14:43 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,8.5,-108,-8.5,-115,114,127,12,-12
12/14 11:14:30 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,7.5,-108,-7.5,-115,114,127,12,-12
12/14 11:14:13 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,7.5,-106,-7.5,-117,114,127,12,-12
12/14 11:13:57 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,9.5,-108,-9.5,-115,114,127,12,-12
12/14 11:13:08 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,10.5,-112,-10.5,-112,114,127,12,-12
12/14 11:12:48 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,8.5,-112,-8.5,-112,114,127,12,-12
12/14 11:12:16 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,9.5,-108,-9.5,-115,114,127,12,-12
12/14 11:12:07 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,10.5,-117,-10.5,-106,114,127,12,-12
12/14 11:11:48 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,10.5,-112,-10.5,-112,114,127,12,-12
12/14 11:11:39 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,10.5,-115,-10.5,-108,114,127,12,-12
12/14 11:11:04 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,8.5,-106,-8.5,-117,114,127,12,-12
12/14 11:10:50 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,7.5,-112,-7.5,-112,114,127,12,-12
12/14 11:10:33 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,6.5,-106,-6.5,-117,114,127,12,-12
12/14 11:10:00 am,RedZone,Milwaukee Bucks,Memphis Grizzlies,6.5,-112,-6.5,-112,114,127,12,-12
