Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/5 12:13:21 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-111,-27.5,-105,106,134,7.5,-7.5
11/5 12:13:18 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-106,-27.5,-110,106,134,7.5,-7.5
11/5 12:13:15 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-101,-27.5,-116,106,134,7.5,-7.5
11/5 12:13:12 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,100,-27.5,-117,106,134,7.5,-7.5
11/5 12:13:06 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-104,-27.5,-112,106,134,7.5,-7.5
11/5 12:13:00 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,101,-27.5,-118,106,134,7.5,-7.5
11/5 12:12:57 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,103,-27.5,-121,106,134,7.5,-7.5
11/5 12:12:57 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-102,-27.5,-114,106,134,7.5,-7.5
11/5 12:12:56 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-105,-27.5,-111,106,134,7.5,-7.5
11/5 12:12:54 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-102,-27.5,-114,106,134,7.5,-7.5
11/5 12:12:51 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-105,-27.5,-111,106,134,7.5,-7.5
11/5 12:12:33 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,27.5,-108,-27.5,-108,106,134,7.5,-7.5
11/5 12:09:06 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,22.0,-105,-22.0,-111,106,134,7.5,-7.5
11/5 12:08:45 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,22.0,-108,-22.0,-108,106,134,7.5,-7.5
11/5 12:08:21 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,22.0,-109,-22.0,-107,106,134,7.5,-7.5
11/5 12:08:03 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,22.0,-108,-22.0,-108,106,134,7.5,-7.5
11/5 12:07:45 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,22.0,-102,-22.0,-115,106,134,7.5,-7.5
11/5 12:07:42 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,22.0,-106,-22.0,-110,106,134,7.5,-7.5
11/5 12:07:27 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,22.0,-108,-22.0,-108,106,134,7.5,-7.5
11/5 12:06:36 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,20.5,-115,-20.5,-115,106,134,7.5,-7.5
11/5 12:06:33 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,19.5,-124,-19.5,-106,106,134,7.5,-7.5
11/5 12:06:27 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,19.5,-127,-19.5,-104,106,134,7.5,-7.5
11/5 12:06:18 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,19.5,-121,-19.5,-109,106,134,7.5,-7.5
11/5 12:06:15 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,19.5,-110,-19.5,-121,106,134,7.5,-7.5
11/5 12:06:06 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,18.5,-109,-18.5,-121,106,134,7.5,-7.5
11/5 12:06:03 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-111,-17.5,-119,106,134,7.5,-7.5
11/5 12:06:00 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-113,-17.5,-118,106,134,7.5,-7.5
11/5 12:05:57 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-115,-17.5,-115,106,134,7.5,-7.5
11/5 12:05:51 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,18.5,-112,-18.5,-118,106,134,7.5,-7.5
11/5 12:05:27 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-124,-17.5,-107,106,134,7.5,-7.5
11/5 12:05:09 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-125,-17.0,-106,106,134,7.5,-7.5
11/5 12:04:54 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-126,-17.0,-105,106,134,7.5,-7.5
11/5 12:04:51 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,16.0,-111,-16.0,-119,106,134,7.5,-7.5
11/5 12:04:45 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,15.5,-111,-15.5,-119,106,134,7.5,-7.5
11/5 12:04:34 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,16.5,-106,-16.5,-125,106,134,7.5,-7.5
11/5 12:04:30 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-120,-17.0,-110,106,134,7.5,-7.5
11/5 12:04:27 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-115,-17.5,-115,106,134,7.5,-7.5
11/5 12:04:15 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-116,-17.5,-114,106,134,7.5,-7.5
11/5 12:04:03 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-125,-17.0,-106,106,134,7.5,-7.5
11/5 12:03:57 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,15.5,-106,-15.5,-125,106,134,7.5,-7.5
11/5 12:03:54 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,15.5,-108,-15.5,-122,106,134,7.5,-7.5
11/5 12:03:51 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,16.5,-120,-16.5,-110,106,134,7.5,-7.5
11/5 12:03:49 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-123,-17.0,-108,106,134,7.5,-7.5
11/5 12:03:39 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-118,-17.0,-113,106,134,7.5,-7.5
11/5 12:03:24 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-114,-17.5,-116,106,134,7.5,-7.5
11/5 12:00:42 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,101,-17.5,-118,106,134,7.5,-7.5
11/5 12:00:30 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,100,-17.5,-117,106,134,7.5,-7.5
11/5 12:00:15 pm,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-101,-17.5,-116,106,134,7.5,-7.5
11/5 11:59:24 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,18.0,-112,-18.0,-118,106,134,7.5,-7.5
11/5 11:59:15 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-109,-17.5,-121,106,134,7.5,-7.5
11/5 11:59:12 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-108,-17.5,-123,106,134,7.5,-7.5
11/5 11:59:00 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,18.5,-117,-18.5,-113,106,134,7.5,-7.5
11/5 11:58:57 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-121,-17.0,-109,106,134,7.5,-7.5
11/5 11:58:54 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-118,-17.0,-112,106,134,7.5,-7.5
11/5 11:58:45 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-110,-17.0,-120,106,134,7.5,-7.5
11/5 11:58:39 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-109,-17.0,-121,106,134,7.5,-7.5
11/5 11:58:33 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-108,-17.5,-123,106,134,7.5,-7.5
11/5 11:58:27 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,19.0,-118,-19.0,-112,106,134,7.5,-7.5
11/5 11:58:18 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-119,-17.5,-111,106,134,7.5,-7.5
11/5 11:58:12 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-114,-17.5,-116,106,134,7.5,-7.5
11/5 11:58:09 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-112,-17.5,-118,106,134,7.5,-7.5
11/5 11:57:54 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.5,-120,-17.5,-111,106,134,7.5,-7.5
11/5 11:57:48 am,Pinnacle,Milwaukee Bucks,Minnesota Timberwolves,17.0,-114,-17.0,-116,106,134,7.5,-7.5
