Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/22 10:36:15 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-130,-18.5,112,102,123,12.5,-12.5
12/22 10:35:36 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-138,-18.5,118,102,123,12.5,-12.5
12/22 10:35:30 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-133,-18.5,114,102,123,12.5,-12.5
12/22 10:34:57 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-130,-18.5,112,102,123,12.5,-12.5
12/22 10:34:54 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-129,-18.5,110,102,123,12.5,-12.5
12/22 10:34:45 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-122,-18.5,104,102,123,12.5,-12.5
12/22 10:34:02 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-117,-18.5,100,102,123,12.5,-12.5
12/22 10:33:30 am,Pinnacle,Milwaukee Bucks,New York Knicks,18.5,-125,-18.5,-106,102,123,12.5,-12.5
12/22 10:33:26 am,Pinnacle,Milwaukee Bucks,New York Knicks,19.0,-116,-19.0,-114,102,123,12.5,-12.5
12/22 10:33:21 am,Pinnacle,Milwaukee Bucks,New York Knicks,20.0,-124,-20.0,-107,102,123,12.5,-12.5
12/22 10:33:12 am,Pinnacle,Milwaukee Bucks,New York Knicks,20.0,-111,-20.0,-119,102,123,12.5,-12.5
12/22 10:32:12 am,Pinnacle,Milwaukee Bucks,New York Knicks,21.0,-119,-21.0,-111,102,123,12.5,-12.5
12/22 10:32:09 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.0,-135,-22.0,102,102,123,12.5,-12.5
12/22 10:31:54 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.0,-117,-22.0,-113,102,123,12.5,-12.5
12/22 10:31:45 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-108,-22.5,-122,102,123,12.5,-12.5
12/22 10:31:38 am,Pinnacle,Milwaukee Bucks,New York Knicks,24.0,-121,-24.0,-110,102,123,12.5,-12.5
12/22 10:31:27 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-112,-22.5,-118,102,123,12.5,-12.5
12/22 10:31:14 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.0,-107,-23.0,-124,102,123,12.5,-12.5
12/22 10:31:12 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.0,-116,-23.0,-114,102,123,12.5,-12.5
12/22 10:30:56 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-120,-23.5,-110,102,123,12.5,-12.5
12/22 10:30:51 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-118,-23.5,-112,102,123,12.5,-12.5
12/22 10:30:41 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-123,-22.5,-107,102,123,12.5,-12.5
12/22 10:30:38 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-123,-23.5,-108,102,123,12.5,-12.5
12/22 10:30:33 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-139,-23.5,105,102,123,12.5,-12.5
12/22 10:30:00 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-117,-23.5,-113,102,123,12.5,-12.5
12/22 10:29:48 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-122,-22.5,-108,102,123,12.5,-12.5
12/22 10:29:38 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-123,-22.5,-107,102,123,12.5,-12.5
12/22 10:29:33 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-126,-22.5,-105,102,123,12.5,-12.5
12/22 10:29:26 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-114,-22.5,-116,102,123,12.5,-12.5
12/22 10:29:23 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.0,-109,-25.0,-122,102,123,12.5,-12.5
12/22 10:29:12 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.0,-108,-23.0,-123,102,123,12.5,-12.5
12/22 10:29:02 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.0,-109,-23.0,-122,102,123,12.5,-12.5
12/22 10:29:00 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-115,-22.5,-115,102,123,12.5,-12.5
12/22 10:28:53 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-126,-22.5,-105,102,123,12.5,-12.5
12/22 10:28:29 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-114,-22.5,-116,102,123,12.5,-12.5
12/22 10:28:21 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-115,-22.5,-115,102,123,12.5,-12.5
12/22 10:28:12 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-122,-23.5,-108,102,123,12.5,-12.5
12/22 10:28:08 am,Pinnacle,Milwaukee Bucks,New York Knicks,24.5,-123,-24.5,-108,102,123,12.5,-12.5
12/22 10:28:06 am,Pinnacle,Milwaukee Bucks,New York Knicks,24.5,-117,-24.5,-113,102,123,12.5,-12.5
12/22 10:27:33 am,Pinnacle,Milwaukee Bucks,New York Knicks,24.0,-123,-24.0,-108,102,123,12.5,-12.5
12/22 10:27:26 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-116,-23.5,-114,102,123,12.5,-12.5
12/22 10:27:20 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-114,-23.5,-116,102,123,12.5,-12.5
12/22 10:26:54 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-137,-23.5,103,102,123,12.5,-12.5
12/22 10:26:51 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-114,-23.5,-116,102,123,12.5,-12.5
12/22 10:26:30 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-115,-23.5,-115,102,123,12.5,-12.5
12/22 10:26:26 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-119,-22.5,-111,102,123,12.5,-12.5
12/22 10:26:11 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-137,-22.5,103,102,123,12.5,-12.5
12/22 10:25:45 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-120,-22.5,-110,102,123,12.5,-12.5
12/22 10:25:06 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-118,-22.5,-112,102,123,12.5,-12.5
12/22 10:25:02 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-113,-23.5,-117,102,123,12.5,-12.5
12/22 10:24:53 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-118,-22.5,-112,102,123,12.5,-12.5
12/22 10:24:44 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-134,-23.5,101,102,123,12.5,-12.5
12/22 10:24:42 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-113,-23.5,-117,102,123,12.5,-12.5
12/22 10:24:30 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-114,-23.5,-116,102,123,12.5,-12.5
12/22 10:24:17 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.5,-115,-22.5,-115,102,123,12.5,-12.5
12/22 10:24:15 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-118,-23.5,-112,102,123,12.5,-12.5
12/22 10:24:09 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-114,-23.5,-116,102,123,12.5,-12.5
12/22 10:24:05 am,Pinnacle,Milwaukee Bucks,New York Knicks,22.0,-114,-22.0,-116,102,123,12.5,-12.5
12/22 10:24:03 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-118,-23.5,-112,102,123,12.5,-12.5
12/22 10:23:47 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-120,-23.5,-110,102,123,12.5,-12.5
12/22 10:23:45 am,Pinnacle,Milwaukee Bucks,New York Knicks,23.5,-112,-23.5,-118,102,123,12.5,-12.5
12/22 10:23:08 am,Pinnacle,Milwaukee Bucks,New York Knicks,24.0,-119,-24.0,-111,102,123,12.5,-12.5
12/22 10:23:03 am,Pinnacle,Milwaukee Bucks,New York Knicks,24.0,-120,-24.0,-110,102,123,12.5,-12.5
12/22 10:22:51 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.0,-116,-25.0,-114,102,123,12.5,-12.5
12/22 10:22:48 am,Pinnacle,Milwaukee Bucks,New York Knicks,24.0,-119,-24.0,-111,102,123,12.5,-12.5
12/22 10:22:38 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.0,-115,-25.0,-115,102,123,12.5,-12.5
12/22 10:22:24 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.0,-117,-25.0,-113,102,123,12.5,-12.5
12/22 10:22:18 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.5,-115,-25.5,-115,102,123,12.5,-12.5
12/22 10:22:12 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.5,-109,-25.5,-121,102,123,12.5,-12.5
12/22 10:22:03 am,Pinnacle,Milwaukee Bucks,New York Knicks,27.0,-120,-27.0,-110,102,123,12.5,-12.5
12/22 10:21:50 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.5,-116,-25.5,-114,102,123,12.5,-12.5
12/22 10:21:47 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.5,-120,-25.5,-110,102,123,12.5,-12.5
12/22 10:21:18 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.0,-114,-25.0,-116,102,123,12.5,-12.5
12/22 10:20:18 am,Pinnacle,Milwaukee Bucks,New York Knicks,25.5,-120,-25.5,103,102,123,12.5,-12.5
