Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/11 1:13:57 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-112,-15.0,-104,106,127,9,-9
1/11 1:13:21 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-111,-15.0,-105,106,127,9,-9
1/11 1:13:03 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-113,-15.0,-104,106,127,9,-9
1/11 1:13:00 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-114,-15.0,-103,106,127,9,-9
1/11 1:12:55 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-114,-15.0,-102,106,127,9,-9
1/11 1:12:33 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-116,-15.0,-101,106,127,9,-9
1/11 1:08:54 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,12.5,-123,-12.5,105,106,127,9,-9
1/11 1:08:51 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,12.5,-122,-12.5,104,106,127,9,-9
1/11 1:08:33 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,12.5,-108,-12.5,-108,106,127,9,-9
1/11 1:03:49 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-104,-16.5,-112,106,127,9,-9
1/11 1:03:45 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-107,-16.5,-109,106,127,9,-9
1/11 1:03:04 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-106,-16.5,-110,106,127,9,-9
1/11 1:02:28 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-106,-16.5,-111,106,127,9,-9
1/11 1:02:04 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.5,-127,-17.5,-104,106,127,9,-9
1/11 1:01:54 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.5,-124,-17.5,-107,106,127,9,-9
1/11 1:01:51 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,18.5,-119,-18.5,-112,106,127,9,-9
1/11 1:01:49 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,18.0,-122,-18.0,-109,106,127,9,-9
1/11 1:01:37 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.5,-124,-17.5,-107,106,127,9,-9
1/11 1:01:33 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.5,-120,-17.5,-111,106,127,9,-9
1/11 1:01:15 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.5,-122,-17.5,-109,106,127,9,-9
1/11 1:01:00 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,18.5,-141,-18.5,106,106,127,9,-9
1/11 1:00:57 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,18.5,-118,-18.5,-112,106,127,9,-9
1/11 1:00:43 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.5,-119,-17.5,-111,106,127,9,-9
1/11 1:00:39 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,18.5,-118,-18.5,-112,106,127,9,-9
1/11 1:00:34 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-124,-17.0,-107,106,127,9,-9
1/11 1:00:30 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-127,-17.0,-105,106,127,9,-9
1/11 1:00:27 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-123,-17.0,-108,106,127,9,-9
1/11 1:00:21 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-113,-17.0,-118,106,127,9,-9
1/11 1:00:12 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-120,-17.0,-110,106,127,9,-9
1/11 12:59:48 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-110,-16.5,-121,106,127,9,-9
1/11 12:59:00 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.5,-113,-15.5,-117,106,127,9,-9
1/11 12:58:48 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.0,-113,-14.0,-117,106,127,9,-9
1/11 12:57:24 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,13.5,-115,-13.5,-102,106,127,9,-9
1/11 12:56:43 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,13.5,-114,-13.5,-102,106,127,9,-9
1/11 12:56:10 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,13.5,-113,-13.5,-103,106,127,9,-9
1/11 12:55:34 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.0,-112,-14.0,-118,106,127,9,-9
1/11 12:55:31 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,11.5,-114,-11.5,-116,106,127,9,-9
1/11 12:55:24 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,12.0,-109,-12.0,-121,106,127,9,-9
1/11 12:55:19 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,13.0,-116,-13.0,-114,106,127,9,-9
1/11 12:55:09 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,13.0,-110,-13.0,-120,106,127,9,-9
1/11 12:55:00 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,13.0,-110,-13.0,-121,106,127,9,-9
1/11 12:54:48 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-124,-15.0,-106,106,127,9,-9
1/11 12:54:33 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.0,-123,-16.0,-108,106,127,9,-9
1/11 12:54:25 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-124,-15.0,-107,106,127,9,-9
1/11 12:54:21 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.5,-121,-15.5,-110,106,127,9,-9
1/11 12:53:57 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.0,-121,-16.0,-110,106,127,9,-9
1/11 12:53:42 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-122,-15.0,-109,106,127,9,-9
1/11 12:53:39 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.5,-121,-15.5,-109,106,127,9,-9
1/11 12:53:36 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.0,-121,-16.0,-109,106,127,9,-9
1/11 12:53:21 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.5,-110,-14.5,-120,106,127,9,-9
1/11 12:53:15 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.5,-117,-14.5,-113,106,127,9,-9
1/11 12:52:39 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.0,-110,-14.0,-120,106,127,9,-9
1/11 12:52:36 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.0,-109,-14.0,-122,106,127,9,-9
1/11 12:52:15 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-119,-15.0,-111,106,127,9,-9
1/11 12:52:07 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.0,-118,-16.0,-112,106,127,9,-9
1/11 12:52:00 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-119,-15.0,-111,106,127,9,-9
1/11 12:51:42 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.0,-112,-16.0,-118,106,127,9,-9
1/11 12:51:36 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.5,-114,-15.5,-116,106,127,9,-9
1/11 12:51:00 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.5,-108,-15.5,-122,106,127,9,-9
1/11 12:50:54 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-113,-15.0,-118,106,127,9,-9
1/11 12:50:51 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-113,-15.0,-117,106,127,9,-9
1/11 12:50:48 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.5,-111,-14.5,-119,106,127,9,-9
1/11 12:50:39 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-111,-16.5,-119,106,127,9,-9
1/11 12:50:36 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-110,-16.5,-120,106,127,9,-9
1/11 12:50:21 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.0,-111,-15.0,-119,106,127,9,-9
1/11 12:48:21 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.5,-119,-15.5,102,106,127,9,-9
1/11 12:48:03 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,15.5,-112,-15.5,-105,106,127,9,-9
1/11 12:47:33 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.0,-116,-16.0,-114,106,127,9,-9
1/11 12:47:31 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,14.0,-114,-14.0,-116,106,127,9,-9
1/11 12:47:15 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,16.5,-123,-16.5,-108,106,127,9,-9
1/11 12:47:06 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-135,-17.0,102,106,127,9,-9
1/11 12:47:00 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-124,-17.0,-107,106,127,9,-9
1/11 12:46:54 pm,Pinnacle,Milwaukee Bucks,Sacramento Kings,17.0,-113,-17.0,-117,106,127,9,-9
