Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/25 10:45:30 am,Pinnacle,Milwaukee Bucks,Washington Wizards,3.5,130,-3.5,-153,134,137,12.5,-12.5
2/25 10:45:06 am,Pinnacle,Milwaukee Bucks,Washington Wizards,3.5,127,-3.5,-149,134,137,12.5,-12.5
2/25 10:44:54 am,RedZone,Milwaukee Bucks,Washington Wizards,3.5,-177,-3.5,139,134,137,12.5,-12.5
2/25 10:44:51 am,Pinnacle,Milwaukee Bucks,Washington Wizards,3.5,131,-3.5,-154,134,137,12.5,-12.5
2/25 10:44:36 am,Pinnacle,Milwaukee Bucks,Washington Wizards,3.5,128,-3.5,-150,134,137,12.5,-12.5
2/25 10:42:10 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,-112,1.5,-112,134,137,12.5,-12.5
2/25 10:41:37 am,RedZone,Milwaukee Bucks,Washington Wizards,-2.5,109,2.5,-137,134,137,12.5,-12.5
2/25 10:41:23 am,RedZone,Milwaukee Bucks,Washington Wizards,-2.5,-103,2.5,-121,134,137,12.5,-12.5
2/25 10:41:10 am,RedZone,Milwaukee Bucks,Washington Wizards,-2.5,-115,2.5,-108,134,137,12.5,-12.5
2/25 10:40:57 am,RedZone,Milwaukee Bucks,Washington Wizards,-2.5,109,2.5,-137,134,137,12.5,-12.5
2/25 10:40:51 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,101,1.5,-125,134,137,12.5,-12.5
2/25 10:40:36 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,128,1.5,-162,134,137,12.5,-12.5
2/25 10:40:30 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,101,-1.5,-125,134,137,12.5,-12.5
2/25 10:39:31 am,RedZone,Milwaukee Bucks,Washington Wizards,2.5,-112,-2.5,-112,134,137,12.5,-12.5
2/25 10:39:15 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,104,-1.5,-129,134,137,12.5,-12.5
2/25 10:39:06 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-150,-1.5,119,134,137,12.5,-12.5
2/25 10:38:58 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-148,-1.5,118,134,137,12.5,-12.5
2/25 10:38:50 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-142,-1.5,113,134,137,12.5,-12.5
2/25 10:38:47 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-139,-1.5,110,134,137,12.5,-12.5
2/25 10:38:09 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-137,-1.5,109,134,137,12.5,-12.5
2/25 10:37:59 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-142,-1.5,113,134,137,12.5,-12.5
2/25 10:37:47 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,124,1.5,-157,134,137,12.5,-12.5
2/25 10:36:11 am,RedZone,Milwaukee Bucks,Washington Wizards,2.5,-129,-2.5,104,134,137,12.5,-12.5
2/25 10:36:04 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-139,-1.5,110,134,137,12.5,-12.5
2/25 10:35:21 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-148,-1.5,118,134,137,12.5,-12.5
2/25 10:34:56 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-121,-1.5,-103,134,137,12.5,-12.5
2/25 10:34:36 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,101,-1.5,-125,134,137,12.5,-12.5
2/25 10:34:08 am,RedZone,Milwaukee Bucks,Washington Wizards,3.5,-121,-3.5,-103,134,137,12.5,-12.5
2/25 10:33:39 am,RedZone,Milwaukee Bucks,Washington Wizards,3.5,-103,-3.5,-121,134,137,12.5,-12.5
2/25 10:33:32 am,RedZone,Milwaukee Bucks,Washington Wizards,3.5,-117,-3.5,-106,134,137,12.5,-12.5
2/25 10:33:15 am,RedZone,Milwaukee Bucks,Washington Wizards,2.5,-112,-2.5,-112,134,137,12.5,-12.5
2/25 10:32:18 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,110,-2.5,-128,134,137,12.5,-12.5
2/25 10:32:08 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,112,-2.5,-131,134,137,12.5,-12.5
2/25 10:31:42 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,109,-2.5,-127,134,137,12.5,-12.5
2/25 10:31:36 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,108,-2.5,-126,134,137,12.5,-12.5
2/25 10:31:30 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,105,-2.5,-123,134,137,12.5,-12.5
2/25 10:31:27 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,104,-2.5,-122,134,137,12.5,-12.5
2/25 10:31:20 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,103,-2.5,-120,134,137,12.5,-12.5
2/25 10:31:15 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,102,-2.5,-119,134,137,12.5,-12.5
2/25 10:31:12 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,-101,-2.5,-116,134,137,12.5,-12.5
2/25 10:31:06 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,-106,-2.5,-111,134,137,12.5,-12.5
2/25 10:30:55 am,RedZone,Milwaukee Bucks,Washington Wizards,2.5,-115,-2.5,-108,134,137,12.5,-12.5
2/25 10:30:48 am,Pinnacle,Milwaukee Bucks,Washington Wizards,2.5,-108,-2.5,-108,134,137,12.5,-12.5
2/25 10:27:03 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,183,0.0,-217,134,137,12.5,-12.5
2/25 10:26:57 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,185,0.0,-220,134,137,12.5,-12.5
2/25 10:26:53 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,206,0.0,-246,134,137,12.5,-12.5
2/25 10:26:51 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,207,0.0,-248,134,137,12.5,-12.5
2/25 10:26:48 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,218,0.0,-263,134,137,12.5,-12.5
2/25 10:26:45 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,230,0.0,-279,134,137,12.5,-12.5
2/25 10:26:39 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,278,0.0,-342,134,137,12.5,-12.5
2/25 10:26:27 am,Pinnacle,Milwaukee Bucks,Washington Wizards,0.0,291,0.0,-360,134,137,12.5,-12.5
2/25 10:25:08 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,109,1.5,-137,134,137,12.5,-12.5
2/25 10:24:49 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,118,1.5,-148,134,137,12.5,-12.5
2/25 10:24:40 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,133,1.5,-168,134,137,12.5,-12.5
2/25 10:24:07 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,118,1.5,-148,134,137,12.5,-12.5
2/25 10:23:57 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,123,1.5,-155,134,137,12.5,-12.5
2/25 10:23:54 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,-103,1.5,-121,134,137,12.5,-12.5
2/25 10:23:44 am,RedZone,Milwaukee Bucks,Washington Wizards,-1.5,133,1.5,-168,134,137,12.5,-12.5
2/25 10:23:28 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-108,-1.5,-115,134,137,12.5,-12.5
2/25 10:23:25 am,RedZone,Milwaukee Bucks,Washington Wizards,1.5,-125,-1.5,101,134,137,12.5,-12.5
2/25 10:22:48 am,RedZone,Milwaukee Bucks,Washington Wizards,2.5,104,-2.5,-129,134,137,12.5,-12.5
2/25 10:22:35 am,RedZone,Milwaukee Bucks,Washington Wizards,3.5,101,-3.5,-125,134,137,12.5,-12.5
2/25 10:22:15 am,RedZone,Milwaukee Bucks,Washington Wizards,4.5,-103,-4.5,-121,134,137,12.5,-12.5
2/25 10:21:51 am,RedZone,Milwaukee Bucks,Washington Wizards,3.5,104,-3.5,-129,134,137,12.5,-12.5
2/25 10:21:39 am,RedZone,Milwaukee Bucks,Washington Wizards,5.5,-103,-5.5,-121,134,137,12.5,-12.5
2/25 10:21:27 am,RedZone,Milwaukee Bucks,Washington Wizards,6.5,-103,-6.5,-121,134,137,12.5,-12.5
2/25 10:21:13 am,RedZone,Milwaukee Bucks,Washington Wizards,5.5,-103,-5.5,-121,134,137,12.5,-12.5
2/25 10:21:10 am,RedZone,Milwaukee Bucks,Washington Wizards,5.5,101,-5.5,-125,134,137,12.5,-12.5
2/25 10:20:42 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-103,-6.0,-113,134,137,12.5,-12.5
2/25 10:20:24 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-103,-6.0,-114,134,137,12.5,-12.5
2/25 10:20:03 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-101,-6.0,-116,134,137,12.5,-12.5
2/25 10:20:00 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-101,-6.0,-116,134,137,12.5,-12.5
2/25 10:19:54 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-101,-6.0,-116,134,137,12.5,-12.5
2/25 10:19:00 am,RedZone,Milwaukee Bucks,Washington Wizards,4.5,101,-4.5,-125,134,137,12.5,-12.5
2/25 10:18:42 am,RedZone,Milwaukee Bucks,Washington Wizards,5.5,-117,-5.5,-106,134,137,12.5,-12.5
2/25 10:18:25 am,RedZone,Milwaukee Bucks,Washington Wizards,5.5,101,-5.5,-125,134,137,12.5,-12.5
2/25 10:17:30 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,101,-6.0,-117,134,137,12.5,-12.5
2/25 10:17:20 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,100,-6.0,-117,134,137,12.5,-12.5
2/25 10:17:18 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,101,-6.0,-118,134,137,12.5,-12.5
2/25 10:16:54 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.5,-117,-6.5,100,134,137,12.5,-12.5
2/25 10:16:51 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-102,-6.0,-114,134,137,12.5,-12.5
2/25 10:16:42 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-109,-6.0,-107,134,137,12.5,-12.5
2/25 10:16:36 am,Pinnacle,Milwaukee Bucks,Washington Wizards,6.0,-114,-6.0,-103,134,137,12.5,-12.5
2/25 10:16:30 am,Pinnacle,Milwaukee Bucks,Washington Wizards,5.5,-100,-5.5,-116,134,137,12.5,-12.5
2/25 10:16:20 am,Pinnacle,Milwaukee Bucks,Washington Wizards,5.5,-100,-5.5,-116,134,137,12.5,-12.5
2/25 10:16:03 am,Pinnacle,Milwaukee Bucks,Washington Wizards,5.5,-101,-5.5,-116,134,137,12.5,-12.5
2/25 10:15:41 am,Pinnacle,Milwaukee Bucks,Washington Wizards,5.5,-109,-5.5,-107,134,137,12.5,-12.5
2/25 10:14:58 am,RedZone,Milwaukee Bucks,Washington Wizards,4.5,104,-4.5,-129,134,137,12.5,-12.5
2/25 10:14:38 am,RedZone,Milwaukee Bucks,Washington Wizards,5.5,101,-5.5,-125,134,137,12.5,-12.5
2/25 10:14:23 am,RedZone,Milwaukee Bucks,Washington Wizards,6.5,-103,-6.5,-121,134,137,12.5,-12.5
2/25 10:12:54 am,RedZone,Milwaukee Bucks,Washington Wizards,8.5,-112,-8.5,-112,134,137,12.5,-12.5
2/25 10:12:07 am,RedZone,Milwaukee Bucks,Washington Wizards,7.5,-103,-7.5,-121,134,137,12.5,-12.5
2/25 10:11:36 am,RedZone,Milwaukee Bucks,Washington Wizards,7.5,-108,-7.5,-115,134,137,12.5,-12.5
2/25 10:11:11 am,RedZone,Milwaukee Bucks,Washington Wizards,8.5,-117,-8.5,-106,134,137,12.5,-12.5
2/25 10:10:57 am,RedZone,Milwaukee Bucks,Washington Wizards,9.5,-106,-9.5,-117,134,137,12.5,-12.5
