Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/26 10:50:30 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,103,-7.5,-121,113,125,4.5,-4.5
11/26 10:50:09 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-127,-7.0,-104,113,125,4.5,-4.5
11/26 10:50:06 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-119,-7.0,-111,113,125,4.5,-4.5
11/26 10:49:48 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-119,-6.0,-111,113,125,4.5,-4.5
11/26 10:49:45 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,5.0,-105,-5.0,-126,113,125,4.5,-4.5
11/26 10:49:39 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,4.5,105,-4.5,-139,113,125,4.5,-4.5
11/26 10:49:33 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,4.5,-105,-4.5,-126,113,125,4.5,-4.5
11/26 10:49:30 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-119,-6.0,-111,113,125,4.5,-4.5
11/26 10:49:15 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-122,-6.0,-109,113,125,4.5,-4.5
11/26 10:49:12 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,4.5,-107,-4.5,-124,113,125,4.5,-4.5
11/26 10:49:00 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-109,-6.0,-121,113,125,4.5,-4.5
11/26 10:48:57 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,5.5,-119,-5.5,-111,113,125,4.5,-4.5
11/26 10:48:27 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-107,-6.0,-123,113,125,4.5,-4.5
11/26 10:48:21 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-102,-7.0,-130,113,125,4.5,-4.5
11/26 10:48:16 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-110,-6.0,-121,113,125,4.5,-4.5
11/26 10:48:10 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-103,-7.5,-129,113,125,4.5,-4.5
11/26 10:48:06 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-131,-7.5,-101,113,125,4.5,-4.5
11/26 10:47:45 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-116,-7.5,-114,113,125,4.5,-4.5
11/26 10:47:42 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-105,-7.0,-126,113,125,4.5,-4.5
11/26 10:47:09 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-115,-7.0,-115,113,125,4.5,-4.5
11/26 10:47:00 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-117,-7.0,-113,113,125,4.5,-4.5
11/26 10:46:49 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-116,-7.0,-114,113,125,4.5,-4.5
11/26 10:46:45 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-115,-6.0,-115,113,125,4.5,-4.5
11/26 10:46:42 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-119,-6.0,-111,113,125,4.5,-4.5
11/26 10:46:39 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-134,-7.0,101,113,125,4.5,-4.5
11/26 10:46:36 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-119,-7.0,-111,113,125,4.5,-4.5
11/26 10:46:34 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-117,-7.0,-113,113,125,4.5,-4.5
11/26 10:46:30 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,6.0,-119,-6.0,-111,113,125,4.5,-4.5
11/26 10:46:21 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-108,-7.0,-123,113,125,4.5,-4.5
11/26 10:46:07 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.0,-107,-7.0,-124,113,125,4.5,-4.5
11/26 10:46:03 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-117,-7.5,-113,113,125,4.5,-4.5
11/26 10:45:54 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-107,-7.5,-124,113,125,4.5,-4.5
11/26 10:45:39 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-106,-7.5,-125,113,125,4.5,-4.5
11/26 10:45:33 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-131,-8.5,-101,113,125,4.5,-4.5
11/26 10:45:29 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-111,-8.5,-119,113,125,4.5,-4.5
11/26 10:45:18 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-112,-8.5,-119,113,125,4.5,-4.5
11/26 10:45:15 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,9.5,-126,-9.5,-105,113,125,4.5,-4.5
11/26 10:45:06 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,9.5,-124,-9.5,-107,113,125,4.5,-4.5
11/26 10:45:00 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,9.5,-123,-9.5,-107,113,125,4.5,-4.5
11/26 10:44:54 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-113,-8.5,-118,113,125,4.5,-4.5
11/26 10:44:43 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-112,-8.5,-118,113,125,4.5,-4.5
11/26 10:44:39 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-101,-7.5,-132,113,125,4.5,-4.5
11/26 10:44:33 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-110,-7.5,-121,113,125,4.5,-4.5
11/26 10:44:24 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-111,-8.5,-119,113,125,4.5,-4.5
11/26 10:44:21 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-115,-7.5,-115,113,125,4.5,-4.5
11/26 10:44:18 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,7.5,-104,-7.5,-127,113,125,4.5,-4.5
11/26 10:44:06 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.0,-115,-8.0,-115,113,125,4.5,-4.5
11/26 10:43:54 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.0,-114,-8.0,-116,113,125,4.5,-4.5
11/26 10:43:45 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-105,-8.5,-127,113,125,4.5,-4.5
11/26 10:43:37 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,10.0,-116,-10.0,-114,113,125,4.5,-4.5
11/26 10:43:27 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,109,-8.5,-144,113,125,4.5,-4.5
11/26 10:43:21 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-105,-8.5,-126,113,125,4.5,-4.5
11/26 10:43:15 am,Pinnacle,Minnesota Timberwolves,Atlanta Hawks,8.5,-110,-8.5,-121,113,125,4.5,-4.5
