Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/25 11:53:59 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-24.5,-112,24.5,-112,139,123,-13.5,13.5
2/25 11:53:54 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-24.5,-142,24.5,113,139,123,-13.5,13.5
2/25 11:53:45 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-24.5,-139,24.5,110,139,123,-13.5,13.5
2/25 11:53:37 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-25.5,-134,25.5,107,139,123,-13.5,13.5
2/25 11:53:28 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-25.5,-129,25.5,104,139,123,-13.5,13.5
2/25 11:53:16 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-25.5,-115,25.5,-108,139,123,-13.5,13.5
2/25 11:53:04 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-24.5,-112,24.5,-112,139,123,-13.5,13.5
2/25 11:52:49 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-23.5,-112,23.5,-112,139,123,-13.5,13.5
2/25 11:52:35 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-23.5,-117,23.5,-106,139,123,-13.5,13.5
2/25 11:52:20 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-25.5,-103,25.5,-121,139,123,-13.5,13.5
2/25 11:52:05 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-24.5,104,24.5,-129,139,123,-13.5,13.5
2/25 11:52:02 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-23.5,-112,23.5,-112,139,123,-13.5,13.5
2/25 11:51:31 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-22.5,-117,22.5,-106,139,123,-13.5,13.5
2/25 11:51:24 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-22.5,-125,22.5,101,139,123,-13.5,13.5
2/25 11:50:51 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-24.5,-125,24.5,101,139,123,-13.5,13.5
2/25 11:50:14 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-24.5,-121,24.5,-103,139,123,-13.5,13.5
2/25 11:50:01 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-23.5,-121,23.5,-103,139,123,-13.5,13.5
2/25 11:49:54 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-22.5,-125,22.5,101,139,123,-13.5,13.5
2/25 11:49:36 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-22.5,-121,22.5,-103,139,123,-13.5,13.5
2/25 11:49:10 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-22.5,-106,22.5,-117,139,123,-13.5,13.5
2/25 11:48:39 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-22.5,101,22.5,-125,139,123,-13.5,13.5
2/25 11:47:57 am,RedZone,Minnesota Timberwolves,Dallas Mavericks,-21.5,-112,21.5,-112,139,123,-13.5,13.5
