Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/24 1:59:55 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-107,6.5,-109,113,104,-1,1
12/24 1:59:49 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-106,6.5,-111,113,104,-1,1
12/24 1:59:40 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-105,6.5,-112,113,104,-1,1
12/24 1:59:19 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-105,6.5,-111,113,104,-1,1
12/24 1:59:13 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-110,6.5,-106,113,104,-1,1
12/24 1:59:07 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-114,6.5,-103,113,104,-1,1
12/24 1:58:58 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-112,6.5,-104,113,104,-1,1
12/24 1:58:55 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-108,6.5,-108,113,104,-1,1
12/24 1:58:49 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-102,6.5,-114,113,104,-1,1
12/24 1:58:40 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-101,6.5,-116,113,104,-1,1
12/24 1:58:16 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,101,6.5,-118,113,104,-1,1
12/24 1:58:13 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,101,6.5,-117,113,104,-1,1
12/24 1:58:04 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,103,6.5,-120,113,104,-1,1
12/24 1:58:01 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,101,6.5,-118,113,104,-1,1
12/24 1:57:57 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,105,6.5,-123,113,104,-1,1
12/24 1:57:52 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,104,6.5,-121,113,104,-1,1
12/24 1:57:43 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-104,6.5,-112,113,104,-1,1
12/24 1:57:40 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-108,6.5,-108,113,104,-1,1
12/24 1:57:37 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-110,6.5,-106,113,104,-1,1
12/24 1:57:28 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-108,6.5,-108,113,104,-1,1
12/24 1:57:22 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-109,6.5,-107,113,104,-1,1
12/24 1:56:49 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-6.5,-108,6.5,-108,113,104,-1,1
12/24 1:51:25 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-11.0,-132,11.0,113,113,104,-1,1
12/24 1:50:40 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-11.0,-130,11.0,111,113,104,-1,1
12/24 1:50:31 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-11.0,-127,11.0,109,113,104,-1,1
12/24 1:50:25 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-11.0,-116,11.0,-100,113,104,-1,1
12/24 1:50:16 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-11.0,-114,11.0,-103,113,104,-1,1
12/24 1:49:01 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-114,8.5,-102,113,104,-1,1
12/24 1:48:55 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-116,8.5,-100,113,104,-1,1
12/24 1:48:52 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-112,8.5,-104,113,104,-1,1
12/24 1:48:49 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-113,8.5,-103,113,104,-1,1
12/24 1:48:40 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-109,8.5,-107,113,104,-1,1
12/24 1:48:25 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-107,8.5,-109,113,104,-1,1
12/24 1:47:49 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-109,8.5,-107,113,104,-1,1
12/24 1:43:04 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,120,8.5,-160,113,104,-1,1
12/24 1:43:01 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,112,8.5,-149,113,104,-1,1
12/24 1:42:52 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-121,8.5,-109,113,104,-1,1
12/24 1:42:43 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-8.5,-121,8.5,-110,113,104,-1,1
12/24 1:42:37 pm,Pinnacle,Minnesota Timberwolves,Golden State Warriors,-7.5,-118,7.5,-112,113,104,-1,1
