Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/9 12:47:20 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,107,14.0,-125,142,125,-10,10
12/9 12:47:18 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,106,14.0,-124,142,125,-10,10
12/9 12:47:15 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,109,14.0,-128,142,125,-10,10
12/9 12:47:11 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,113,14.0,-132,142,125,-10,10
12/9 12:47:03 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,107,14.0,-125,142,125,-10,10
12/9 12:46:59 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,109,14.0,-127,142,125,-10,10
12/9 12:46:53 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,107,14.0,-125,142,125,-10,10
12/9 12:46:51 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,111,14.0,-130,142,125,-10,10
12/9 12:46:47 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,112,14.0,-131,142,125,-10,10
12/9 12:46:44 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,104,14.0,-122,142,125,-10,10
12/9 12:46:41 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,-102,14.0,-115,142,125,-10,10
12/9 12:46:35 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,-105,14.0,-111,142,125,-10,10
12/9 12:46:33 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,-109,14.0,-107,142,125,-10,10
12/9 12:46:27 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,-112,14.0,-104,142,125,-10,10
12/9 12:46:23 pm,Pinnacle,Minnesota Timberwolves,Los Angeles Lakers,-14.0,-108,14.0,-108,142,125,-10,10
