Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/27 10:53:34 am,RedZone,Minnesota Timberwolves,Miami Heat,-1.5,-129,1.5,104,126,129,-11.5,11.5
2/27 10:53:28 am,RedZone,Minnesota Timberwolves,Miami Heat,-2.5,-125,2.5,101,126,129,-11.5,11.5
2/27 10:52:37 am,RedZone,Minnesota Timberwolves,Miami Heat,-2.5,-108,2.5,-115,126,129,-11.5,11.5
2/27 10:52:29 am,RedZone,Minnesota Timberwolves,Miami Heat,-2.5,-121,2.5,-103,126,129,-11.5,11.5
2/27 10:52:21 am,RedZone,Minnesota Timberwolves,Miami Heat,-3.5,-103,3.5,-121,126,129,-11.5,11.5
2/27 10:52:18 am,RedZone,Minnesota Timberwolves,Miami Heat,-2.5,-129,2.5,104,126,129,-11.5,11.5
2/27 10:51:21 am,RedZone,Minnesota Timberwolves,Miami Heat,-3.5,-125,3.5,101,126,129,-11.5,11.5
2/27 10:51:08 am,RedZone,Minnesota Timberwolves,Miami Heat,-6.5,-115,6.5,-108,126,129,-11.5,11.5
2/27 10:50:29 am,RedZone,Minnesota Timberwolves,Miami Heat,-7.5,-115,7.5,-108,126,129,-11.5,11.5
2/27 10:50:13 am,RedZone,Minnesota Timberwolves,Miami Heat,-10.5,104,10.5,-130,126,129,-11.5,11.5
2/27 10:49:54 am,RedZone,Minnesota Timberwolves,Miami Heat,-10.5,-130,10.5,104,126,129,-11.5,11.5
2/27 10:49:34 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-118,9.5,101,126,129,-11.5,11.5
2/27 10:49:32 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-117,9.5,100,126,129,-11.5,11.5
2/27 10:49:26 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-119,9.5,102,126,129,-11.5,11.5
2/27 10:49:14 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-116,9.5,-100,126,129,-11.5,11.5
2/27 10:49:08 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-115,9.5,-102,126,129,-11.5,11.5
2/27 10:49:05 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-114,9.5,-102,126,129,-11.5,11.5
2/27 10:49:01 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-109,9.5,-107,126,129,-11.5,11.5
2/27 10:48:56 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-108,9.5,-108,126,129,-11.5,11.5
2/27 10:48:53 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-107,9.5,-109,126,129,-11.5,11.5
2/27 10:48:44 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-110,9.5,-106,126,129,-11.5,11.5
2/27 10:48:37 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-109,9.5,-107,126,129,-11.5,11.5
2/27 10:48:22 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-107,9.5,-109,126,129,-11.5,11.5
2/27 10:48:16 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-104,9.5,-112,126,129,-11.5,11.5
2/27 10:48:08 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-9.5,-107,9.5,-109,126,129,-11.5,11.5
2/27 10:48:01 am,RedZone,Minnesota Timberwolves,Miami Heat,-10.5,101,10.5,-126,126,129,-11.5,11.5
2/27 10:47:40 am,RedZone,Minnesota Timberwolves,Miami Heat,-11.5,-126,11.5,101,126,129,-11.5,11.5
2/27 10:47:18 am,RedZone,Minnesota Timberwolves,Miami Heat,-11.5,-118,11.5,-105,126,129,-11.5,11.5
2/27 10:46:33 am,RedZone,Minnesota Timberwolves,Miami Heat,-11.5,-105,11.5,-118,126,129,-11.5,11.5
2/27 10:45:49 am,RedZone,Minnesota Timberwolves,Miami Heat,-11.5,101,11.5,-126,126,129,-11.5,11.5
2/27 10:45:12 am,RedZone,Minnesota Timberwolves,Miami Heat,-12.5,101,12.5,-126,126,129,-11.5,11.5
2/27 10:44:59 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-107,10.5,-109,126,129,-11.5,11.5
2/27 10:44:50 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-101,10.5,-116,126,129,-11.5,11.5
2/27 10:44:47 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-101,10.5,-115,126,129,-11.5,11.5
2/27 10:44:46 am,RedZone,Minnesota Timberwolves,Miami Heat,-11.5,-105,11.5,-118,126,129,-11.5,11.5
2/27 10:44:39 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-102,10.5,-114,126,129,-11.5,11.5
2/27 10:44:32 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-105,10.5,-111,126,129,-11.5,11.5
2/27 10:44:25 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-107,10.5,-109,126,129,-11.5,11.5
2/27 10:44:19 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-109,10.5,-107,126,129,-11.5,11.5
2/27 10:44:14 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-112,10.5,-105,126,129,-11.5,11.5
2/27 10:43:41 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-112,10.5,-104,126,129,-11.5,11.5
2/27 10:43:14 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-106,10.5,-110,126,129,-11.5,11.5
2/27 10:43:10 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-103,10.5,-113,126,129,-11.5,11.5
2/27 10:43:08 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-110,10.5,-106,126,129,-11.5,11.5
2/27 10:42:59 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-111,10.5,-105,126,129,-11.5,11.5
2/27 10:42:53 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-114,10.5,-103,126,129,-11.5,11.5
2/27 10:42:50 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-112,10.5,-104,126,129,-11.5,11.5
2/27 10:42:44 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-106,10.5,-110,126,129,-11.5,11.5
2/27 10:42:35 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-108,10.5,-108,126,129,-11.5,11.5
2/27 10:42:31 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-111,10.5,-105,126,129,-11.5,11.5
2/27 10:42:14 am,Pinnacle,Minnesota Timberwolves,Miami Heat,-10.5,-103,10.5,-113,126,129,-11.5,11.5
