Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/2 11:33:54 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,0.0,-500,0.0,388,106,104,-18,18
1/2 11:33:48 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,0.0,-515,0.0,397,106,104,-18,18
1/2 11:33:12 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,0.0,-529,0.0,407,106,104,-18,18
1/2 11:33:03 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,0.0,-515,0.0,397,106,104,-18,18
1/2 11:32:54 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,0.0,-600,0.0,452,106,104,-18,18
1/2 11:14:30 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-118,9.5,-112,106,104,-18,18
1/2 11:14:24 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.5,-118,8.5,-112,106,104,-18,18
1/2 11:14:09 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.5,-119,8.5,-111,106,104,-18,18
1/2 11:14:03 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.5,-121,8.5,-109,106,104,-18,18
1/2 11:13:51 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.0,-105,9.0,-126,106,104,-18,18
1/2 11:13:34 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.5,-124,8.5,-107,106,104,-18,18
1/2 11:13:30 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.0,-108,8.0,-123,106,104,-18,18
1/2 11:13:28 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.0,-108,8.0,-123,106,104,-18,18
1/2 11:13:21 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.0,-112,9.0,-119,106,104,-18,18
1/2 11:13:06 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-101,9.5,-115,106,104,-18,18
1/2 11:13:42 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.5,-125,8.5,-106,106,104,-18,18
1/2 11:12:46 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-104,9.5,-112,106,104,-18,18
1/2 11:12:42 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-106,9.5,-110,106,104,-18,18
1/2 11:12:30 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-105,9.5,-111,106,104,-18,18
1/2 11:12:12 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-104,9.5,-112,106,104,-18,18
1/2 11:13:40 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-8.5,-125,8.5,-106,106,104,-18,18
1/2 11:12:06 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-107,9.5,-109,106,104,-18,18
1/2 11:12:01 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-111,9.5,-105,106,104,-18,18
1/2 11:11:57 am,Pinnacle,Minnesota Timberwolves,Milwaukee Bucks,-9.5,-113,9.5,-104,106,104,-18,18
