Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/4 11:19:35 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,5.5,-110,-5.5,-110,134,139,-11.5,11.5
3/4 11:18:33 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,4.5,-110,-4.5,-110,134,139,-11.5,11.5
3/4 11:18:13 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,3.5,-110,-3.5,-110,134,139,-11.5,11.5
3/4 11:17:59 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,4.5,-110,-4.5,-110,134,139,-11.5,11.5
3/4 11:17:34 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,5.5,-110,-5.5,-110,134,139,-11.5,11.5
3/4 11:17:11 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,6.5,-110,-6.5,-110,134,139,-11.5,11.5
3/4 11:16:33 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,5.5,-110,-5.5,-110,134,139,-11.5,11.5
3/4 11:16:22 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,6.5,-110,-6.5,-110,134,139,-11.5,11.5
3/4 11:15:56 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,5.5,-110,-5.5,-110,134,139,-11.5,11.5
3/4 11:15:45 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,4.5,-110,-4.5,-110,134,139,-11.5,11.5
3/4 11:15:14 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,5.5,-110,-5.5,-110,134,139,-11.5,11.5
3/4 11:14:49 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,100,-6.5,-117,134,139,-11.5,11.5
3/4 11:14:47 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,106,-6.5,-124,134,139,-11.5,11.5
3/4 11:14:43 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,107,-6.5,-125,134,139,-11.5,11.5
3/4 11:14:40 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,112,-6.5,-131,134,139,-11.5,11.5
3/4 11:14:37 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,113,-6.5,-133,134,139,-11.5,11.5
3/4 11:14:34 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,113,-6.5,-132,134,139,-11.5,11.5
3/4 11:14:23 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,6.5,-110,-6.5,-110,134,139,-11.5,11.5
3/4 11:14:19 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,114,-6.5,-133,134,139,-11.5,11.5
3/4 11:14:13 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,120,-6.5,-140,134,139,-11.5,11.5
3/4 11:13:44 am,Pinnacle,Minnesota Timberwolves,New Orleans Pelicans,6.5,122,-6.5,-143,134,139,-11.5,11.5
3/4 11:13:43 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,6.5,-112,-6.5,-112,134,139,-11.5,11.5
3/4 11:13:29 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,7.5,-138,-7.5,109,134,139,-11.5,11.5
3/4 11:13:14 am,RedZone,Minnesota Timberwolves,New Orleans Pelicans,6.5,107,-6.5,-135,134,139,-11.5,11.5
