Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/29 10:21:53 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,101,10.5,-125,136,125,-8.5,8.5
2/29 10:21:20 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-103,10.5,-121,136,125,-8.5,8.5
2/29 10:20:00 am,RedZone,Minnesota Timberwolves,Orlando Magic,-11.5,-121,11.5,-103,136,125,-8.5,8.5
2/29 10:19:32 am,RedZone,Minnesota Timberwolves,Orlando Magic,-11.5,104,11.5,-129,136,125,-8.5,8.5
2/29 10:19:17 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-103,10.5,-121,136,125,-8.5,8.5
2/29 10:19:09 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-117,9.5,-106,136,125,-8.5,8.5
2/29 10:18:54 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-121,9.5,-103,136,125,-8.5,8.5
2/29 10:18:26 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,107,10.5,-134,136,125,-8.5,8.5
2/29 10:18:03 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-117,9.5,-106,136,125,-8.5,8.5
2/29 10:17:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-115,9.5,-108,136,125,-8.5,8.5
2/29 10:17:26 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-134,8.5,107,136,125,-8.5,8.5
2/29 10:17:07 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,104,8.5,-129,136,125,-8.5,8.5
2/29 10:16:57 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-121,7.5,-103,136,125,-8.5,8.5
2/29 10:16:38 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,101,8.5,-125,136,125,-8.5,8.5
2/29 10:16:12 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 10:16:02 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-129,8.5,104,136,125,-8.5,8.5
2/29 10:15:46 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-103,10.5,-121,136,125,-8.5,8.5
2/29 10:15:40 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-115,9.5,-108,136,125,-8.5,8.5
2/29 10:15:13 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-106,10.5,-117,136,125,-8.5,8.5
2/29 10:14:59 am,RedZone,Minnesota Timberwolves,Orlando Magic,-11.5,-121,11.5,-103,136,125,-8.5,8.5
2/29 10:14:44 am,RedZone,Minnesota Timberwolves,Orlando Magic,-11.5,104,11.5,-129,136,125,-8.5,8.5
2/29 10:12:47 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-112,10.5,-112,136,125,-8.5,8.5
2/29 10:12:40 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-117,8.5,-106,136,125,-8.5,8.5
2/29 10:12:30 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,101,8.5,-125,136,125,-8.5,8.5
2/29 10:12:16 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-126,7.5,101,136,125,-8.5,8.5
2/29 10:12:00 am,RedZone,Minnesota Timberwolves,Orlando Magic,-6.5,-112,6.5,-112,136,125,-8.5,8.5
2/29 10:11:48 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-105,7.5,-118,136,125,-8.5,8.5
2/29 10:11:01 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-118,8.5,-105,136,125,-8.5,8.5
2/29 10:10:22 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-108,7.5,-115,136,125,-8.5,8.5
2/29 10:10:07 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-122,8.5,-102,136,125,-8.5,8.5
2/29 10:09:51 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,101,10.5,-126,136,125,-8.5,8.5
2/29 10:09:42 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-105,9.5,-118,136,125,-8.5,8.5
2/29 10:09:32 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,101,10.5,-126,136,125,-8.5,8.5
2/29 10:09:00 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-105,10.5,-118,136,125,-8.5,8.5
2/29 10:08:47 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-102,10.5,-122,136,125,-8.5,8.5
2/29 10:08:20 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-112,9.5,-112,136,125,-8.5,8.5
2/29 10:08:10 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,101,9.5,-126,136,125,-8.5,8.5
2/29 10:07:59 am,RedZone,Minnesota Timberwolves,Orlando Magic,-11.5,-112,11.5,-112,136,125,-8.5,8.5
2/29 10:07:46 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-118,10.5,-105,136,125,-8.5,8.5
2/29 10:06:47 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-102,12.5,-115,136,125,-8.5,8.5
2/29 10:06:27 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-103,12.5,-114,136,125,-8.5,8.5
2/29 10:06:19 am,RedZone,Minnesota Timberwolves,Orlando Magic,-12.5,-105,12.5,-118,136,125,-8.5,8.5
2/29 10:06:12 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-103,12.5,-113,136,125,-8.5,8.5
2/29 10:06:09 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-107,12.5,-109,136,125,-8.5,8.5
2/29 10:06:03 am,RedZone,Minnesota Timberwolves,Orlando Magic,-12.5,101,12.5,-126,136,125,-8.5,8.5
2/29 10:06:00 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-106,12.5,-110,136,125,-8.5,8.5
2/29 10:05:47 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-108,12.5,-108,136,125,-8.5,8.5
2/29 10:05:38 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-104,12.5,-112,136,125,-8.5,8.5
2/29 10:05:27 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-104,12.5,-112,136,125,-8.5,8.5
2/29 10:05:23 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-104,12.5,-112,136,125,-8.5,8.5
2/29 10:05:11 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-104,12.5,-112,136,125,-8.5,8.5
2/29 10:05:03 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-105,12.5,-111,136,125,-8.5,8.5
2/29 10:04:59 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-105,12.5,-111,136,125,-8.5,8.5
2/29 10:04:50 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-111,12.5,-105,136,125,-8.5,8.5
2/29 10:04:47 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-112,12.5,-104,136,125,-8.5,8.5
2/29 10:04:33 am,RedZone,Minnesota Timberwolves,Orlando Magic,-11.5,-112,11.5,-112,136,125,-8.5,8.5
2/29 10:04:29 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-12.5,-113,12.5,-103,136,125,-8.5,8.5
2/29 10:04:22 am,RedZone,Minnesota Timberwolves,Orlando Magic,-12.5,101,12.5,-126,136,125,-8.5,8.5
2/29 10:03:58 am,RedZone,Minnesota Timberwolves,Orlando Magic,-12.5,-105,12.5,-118,136,125,-8.5,8.5
2/29 10:03:49 am,RedZone,Minnesota Timberwolves,Orlando Magic,-11.5,-112,11.5,-112,136,125,-8.5,8.5
2/29 10:03:38 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-118,10.5,-105,136,125,-8.5,8.5
2/29 10:01:42 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-9.5,-111,9.5,-105,136,125,-8.5,8.5
2/29 10:01:21 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-9.5,-111,9.5,-105,136,125,-8.5,8.5
2/29 10:01:02 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-9.5,-111,9.5,-105,136,125,-8.5,8.5
2/29 10:00:51 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-9.5,-111,9.5,-105,136,125,-8.5,8.5
2/29 10:00:41 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.0,-104,10.0,-113,136,125,-8.5,8.5
2/29 10:00:38 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.0,-106,10.0,-110,136,125,-8.5,8.5
2/29 10:00:30 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.0,-106,10.0,-110,136,125,-8.5,8.5
2/29 10:00:27 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.0,-111,10.0,-106,136,125,-8.5,8.5
2/29 10:00:23 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.0,-110,10.0,-106,136,125,-8.5,8.5
2/29 10:00:15 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.0,-114,10.0,-102,136,125,-8.5,8.5
2/29 9:59:50 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.0,-114,10.0,-103,136,125,-8.5,8.5
2/29 9:59:42 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-10.5,-106,10.5,-110,136,125,-8.5,8.5
2/29 9:59:29 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-11.5,-105,11.5,-111,136,125,-8.5,8.5
2/29 9:58:48 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-105,9.5,-118,136,125,-8.5,8.5
2/29 9:58:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-126,7.5,101,136,125,-8.5,8.5
2/29 9:58:27 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-105,9.5,-118,136,125,-8.5,8.5
2/29 9:58:10 am,RedZone,Minnesota Timberwolves,Orlando Magic,-10.5,-105,10.5,-118,136,125,-8.5,8.5
2/29 9:57:55 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-112,9.5,-112,136,125,-8.5,8.5
2/29 9:57:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,101,8.5,-126,136,125,-8.5,8.5
2/29 9:57:33 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-105,7.5,-118,136,125,-8.5,8.5
2/29 9:57:12 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,101,8.5,-126,136,125,-8.5,8.5
2/29 9:57:06 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-105,8.5,-118,136,125,-8.5,8.5
2/29 9:56:47 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 9:56:32 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-118,8.5,-105,136,125,-8.5,8.5
2/29 9:56:19 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 9:55:58 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,101,9.5,-126,136,125,-8.5,8.5
2/29 9:55:47 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-111,8.5,-105,136,125,-8.5,8.5
2/29 9:55:45 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-109,8.5,-107,136,125,-8.5,8.5
