Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/27 1:42:49 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-133,1.5,114,104,105,-7,7
12/27 1:42:40 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-130,1.5,111,104,105,-7,7
12/27 1:42:27 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-122,1.5,104,104,105,-7,7
12/27 1:41:25 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-121,1.5,103,104,105,-7,7
12/27 1:41:16 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-123,1.5,105,104,105,-7,7
12/27 1:40:58 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-121,1.5,103,104,105,-7,7
12/27 1:40:40 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-120,1.5,103,104,105,-7,7
12/27 1:39:22 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-130,1.5,111,104,105,-7,7
12/27 1:39:13 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-113,1.5,-103,104,105,-7,7
12/27 1:19:58 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-130,1.5,111,104,105,-7,7
12/27 1:19:45 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-128,1.5,109,104,105,-7,7
12/27 1:18:55 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-130,1.5,111,104,105,-7,7
12/27 1:18:19 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-125,1.5,107,104,105,-7,7
12/27 1:17:49 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-116,1.5,-101,104,105,-7,7
12/27 1:16:24 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-130,1.5,111,104,105,-7,7
12/27 1:09:06 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,1.5,-150,-1.5,128,104,105,-7,7
12/27 1:04:45 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-108,1.5,-108,104,105,-7,7
12/27 1:04:40 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,104,1.5,-121,104,105,-7,7
12/27 1:04:37 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,116,1.5,-136,104,105,-7,7
12/27 12:58:49 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-128,1.5,-103,104,105,-7,7
12/27 12:58:40 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-123,1.5,-107,104,105,-7,7
12/27 12:58:33 pm,Pinnacle,Minnesota Timberwolves,Sacramento Kings,-1.5,-117,1.5,-113,104,105,-7,7
