Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/28 11:46:46 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,9.5,-108,-9.5,-108,101,113,-3,3
11/28 11:46:35 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,9.5,105,-9.5,-122,101,113,-3,3
11/28 11:37:55 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,-121,1.5,104,101,113,-3,3
11/28 11:37:38 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,-117,1.5,100,101,113,-3,3
11/28 11:37:08 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,-109,1.5,-107,101,113,-3,3
11/28 11:37:02 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,-108,1.5,-108,101,113,-3,3
11/28 11:36:35 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,-107,1.5,-109,101,113,-3,3
11/28 11:36:29 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,-109,1.5,-121,101,113,-3,3
11/28 11:36:26 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,-111,1.5,-119,101,113,-3,3
11/28 11:36:19 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.0,-112,1.0,-118,101,113,-3,3
11/28 11:36:16 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.0,-111,1.0,-119,101,113,-3,3
11/28 11:36:11 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.0,-108,1.0,-123,101,113,-3,3
11/28 11:35:47 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.0,-117,-1.0,-113,101,113,-3,3
11/28 11:35:44 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.0,-118,-1.0,-112,101,113,-3,3
11/28 11:35:38 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.5,-108,-1.5,-122,101,113,-3,3
11/28 11:35:35 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.5,-114,-1.5,-117,101,113,-3,3
11/28 11:35:32 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.0,-122,-2.0,-108,101,113,-3,3
11/28 11:35:26 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.5,-123,-2.5,-108,101,113,-3,3
11/28 11:35:10 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.5,-122,-2.5,-108,101,113,-3,3
11/28 11:35:07 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.5,-121,-2.5,-109,101,113,-3,3
11/28 11:35:02 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,3.0,-113,-3.0,-117,101,113,-3,3
11/28 11:34:52 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-125,-4.0,-106,101,113,-3,3
11/28 11:34:47 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-119,-4.0,-112,101,113,-3,3
11/28 11:34:44 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,3.0,-114,-3.0,-116,101,113,-3,3
11/28 11:34:40 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,5.0,-111,-5.0,-119,101,113,-3,3
11/28 11:30:44 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-100,-4.0,-132,101,113,-3,3
11/28 11:30:38 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-111,-4.0,-119,101,113,-3,3
11/28 11:30:35 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-118,-4.0,-112,101,113,-3,3
11/28 11:30:04 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-121,-4.0,-110,101,113,-3,3
11/28 11:28:28 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-104,-4.5,-112,101,113,-3,3
11/28 11:27:46 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-115,-4.5,-102,101,113,-3,3
11/28 11:27:45 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-104,-4.5,-127,101,113,-3,3
11/28 11:26:59 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-101,-4.5,-131,101,113,-3,3
11/28 11:26:20 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-111,-4.5,-120,101,113,-3,3
11/28 11:26:11 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-113,-4.5,-117,101,113,-3,3
11/28 11:25:56 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-118,-4.5,-113,101,113,-3,3
11/28 11:25:53 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,5.5,-136,-5.5,103,101,113,-3,3
11/28 11:25:47 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,5.5,-117,-5.5,-113,101,113,-3,3
11/28 11:25:41 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-116,-4.5,-114,101,113,-3,3
11/28 11:25:35 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.5,-120,-4.5,-110,101,113,-3,3
11/28 11:25:31 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,5.0,-117,-5.0,-113,101,113,-3,3
11/28 11:25:28 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,5.5,-117,-5.5,-113,101,113,-3,3
11/28 11:25:17 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,104,-4.0,-137,101,113,-3,3
11/28 11:25:05 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-108,-4.0,-122,101,113,-3,3
11/28 11:24:32 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,3.5,-109,-3.5,-121,101,113,-3,3
11/28 11:24:29 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-110,-4.0,-120,101,113,-3,3
11/28 11:24:14 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.0,-110,-2.0,-120,101,113,-3,3
11/28 11:24:11 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.0,-124,-2.0,-107,101,113,-3,3
11/28 11:23:59 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.5,-124,-1.5,-107,101,113,-3,3
11/28 11:23:56 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.5,-124,-1.5,-106,101,113,-3,3
11/28 11:23:53 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.0,-119,-1.0,-112,101,113,-3,3
11/28 11:23:47 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.0,-126,-1.0,-105,101,113,-3,3
11/28 11:23:02 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.0,-130,-1.0,-102,101,113,-3,3
11/28 11:22:59 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.0,-100,1.0,-132,101,113,-3,3
11/28 11:22:53 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.0,-118,1.0,-112,101,113,-3,3
11/28 11:22:50 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,-1.5,108,1.5,-143,101,113,-3,3
11/28 11:22:41 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.0,-131,-1.0,-101,101,113,-3,3
11/28 11:22:38 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.0,-130,-1.0,-102,101,113,-3,3
11/28 11:22:32 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.5,-125,-1.5,-106,101,113,-3,3
11/28 11:22:29 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.5,-115,-1.5,-115,101,113,-3,3
11/28 11:22:10 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.0,-115,-2.0,-115,101,113,-3,3
11/28 11:22:08 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.0,-114,-2.0,-116,101,113,-3,3
11/28 11:22:01 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.5,-113,-2.5,-117,101,113,-3,3
11/28 11:21:50 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.5,-107,-2.5,-123,101,113,-3,3
11/28 11:21:44 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.5,-113,-2.5,-117,101,113,-3,3
11/28 11:21:41 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,3.0,-117,-3.0,-113,101,113,-3,3
11/28 11:21:29 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.0,-117,-2.0,-113,101,113,-3,3
11/28 11:18:47 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,1.5,-101,-1.5,-115,101,113,-3,3
11/28 11:18:25 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,2.5,-108,-2.5,-122,101,113,-3,3
11/28 11:18:17 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,3.0,-123,-3.0,-107,101,113,-3,3
11/28 11:17:59 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,3.0,-122,-3.0,-108,101,113,-3,3
11/28 11:17:48 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-129,-4.0,-102,101,113,-3,3
11/28 11:17:41 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-123,-4.0,-108,101,113,-3,3
11/28 11:17:35 am,Pinnacle,Minnesota Timberwolves,San Antonio Spurs,4.0,-122,-4.0,-108,101,113,-3,3
