Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/5 10:45:15 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-6.5,-108,6.5,-108,135,125,-4,4
11/5 10:43:48 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-3.0,-117,3.0,100,135,125,-4,4
11/5 10:43:08 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-3.0,-111,3.0,-105,135,125,-4,4
11/5 10:42:57 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-3.0,-110,3.0,-106,135,125,-4,4
11/5 10:42:42 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-3.0,-108,3.0,-108,135,125,-4,4
11/5 10:42:15 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-3.0,-110,3.0,-106,135,125,-4,4
11/5 10:42:03 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-3.0,-108,3.0,-108,135,125,-4,4
11/5 9:52:06 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-17.0,169,17.0,-188,135,125,-4,4
11/5 9:47:11 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-106,13.5,-104,135,125,-4,4
11/5 9:46:20 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-105,13.5,-105,135,125,-4,4
11/5 9:45:45 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-107,13.5,-103,135,125,-4,4
11/5 9:45:27 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-115,13.0,104,135,125,-4,4
11/5 9:43:45 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-111,13.0,100,135,125,-4,4
11/5 9:43:12 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-109,13.0,-101,135,125,-4,4
11/5 9:42:36 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-108,13.0,-102,135,125,-4,4
11/5 9:42:33 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-113,13.0,103,135,125,-4,4
11/5 9:42:24 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-114,13.0,103,135,125,-4,4
11/5 9:42:03 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-115,13.0,104,135,125,-4,4
11/5 9:41:51 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-116,13.0,105,135,125,-4,4
11/5 9:41:42 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-108,13.0,-102,135,125,-4,4
11/5 9:39:39 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-103,13.5,-107,135,125,-4,4
11/5 9:39:33 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-108,13.5,-102,135,125,-4,4
11/5 9:36:39 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-12.5,-118,12.5,-112,135,125,-4,4
11/5 9:36:36 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-115,13.5,-115,135,125,-4,4
11/5 9:36:24 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-12.5,-115,12.5,-115,135,125,-4,4
11/5 9:35:51 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-116,13.5,-114,135,125,-4,4
11/5 9:35:44 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.0,-116,14.0,-114,135,125,-4,4
11/5 9:35:42 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.0,-115,14.0,-115,135,125,-4,4
11/5 9:35:39 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-119,13.5,-111,135,125,-4,4
11/5 9:35:33 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.5,-119,14.5,-111,135,125,-4,4
11/5 9:35:26 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.5,-118,14.5,-112,135,125,-4,4
11/5 9:35:23 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-15.0,-117,15.0,-113,135,125,-4,4
11/5 9:35:15 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.0,-117,14.0,-113,135,125,-4,4
11/5 9:35:12 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.0,-116,14.0,-114,135,125,-4,4
11/5 9:35:09 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-118,13.5,-112,135,125,-4,4
11/5 9:34:54 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.5,-118,14.5,-112,135,125,-4,4
11/5 9:34:51 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-14.0,-115,14.0,-115,135,125,-4,4
11/5 9:34:30 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.0,-114,13.0,-116,135,125,-4,4
11/5 9:34:28 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-13.5,-115,13.5,-115,135,125,-4,4
11/5 9:34:21 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-12.5,-115,12.5,-115,135,125,-4,4
11/5 9:34:06 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-11.5,-117,11.5,-113,135,125,-4,4
11/5 9:34:04 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-12.0,-117,12.0,-113,135,125,-4,4
11/5 9:33:58 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-11.0,-117,11.0,-113,135,125,-4,4
11/5 9:33:54 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-10.5,-118,10.5,-112,135,125,-4,4
11/5 9:33:50 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-10.0,-118,10.0,-112,135,125,-4,4
11/5 9:33:30 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-10.5,-115,10.5,-115,135,125,-4,4
11/5 9:33:24 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-10.5,-117,10.5,-113,135,125,-4,4
11/5 9:29:45 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-11.0,-113,11.0,-117,135,125,-4,4
11/5 9:29:36 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-10.5,-112,10.5,-118,135,125,-4,4
11/5 9:29:33 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-9.5,-113,9.5,-117,135,125,-4,4
11/5 9:29:30 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-9.5,-114,9.5,-116,135,125,-4,4
11/5 9:29:18 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-9.5,-115,9.5,-115,135,125,-4,4
11/5 9:29:15 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-10.5,-112,10.5,-119,135,125,-4,4
11/5 9:29:00 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-10.0,-112,10.0,-118,135,125,-4,4
11/5 9:28:48 am,Pinnacle,New Orleans Pelicans,Brooklyn Nets,-9.5,-121,9.5,-110,135,125,-4,4
