Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/10 10:25:11 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,-108,-7.5,-108,110,115,1.5,-1.5
11/10 10:25:06 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,-104,-7.5,-113,110,115,1.5,-1.5
11/10 10:25:04 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,-101,-7.5,-115,110,115,1.5,-1.5
11/10 10:25:00 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,103,-7.5,-120,110,115,1.5,-1.5
11/10 10:24:48 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,107,-7.5,-125,110,115,1.5,-1.5
11/10 10:24:44 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,100,-7.5,-117,110,115,1.5,-1.5
11/10 10:24:41 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,-103,-7.5,-113,110,115,1.5,-1.5
11/10 10:24:39 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,-107,-7.5,-109,110,115,1.5,-1.5
11/10 10:24:36 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,-124,-7.5,106,110,115,1.5,-1.5
11/10 10:24:23 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,7.5,-130,-7.5,111,110,115,1.5,-1.5
11/10 10:21:56 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,104,-3.0,-122,110,115,1.5,-1.5
11/10 10:21:44 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,101,-3.0,-118,110,115,1.5,-1.5
11/10 10:21:05 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,100,-3.0,-117,110,115,1.5,-1.5
11/10 10:20:23 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,-101,-3.0,-115,110,115,1.5,-1.5
11/10 10:20:15 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,103,-3.0,-120,110,115,1.5,-1.5
11/10 10:20:09 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,105,-3.0,-122,110,115,1.5,-1.5
11/10 10:19:55 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,-101,-3.0,-115,110,115,1.5,-1.5
11/10 10:19:45 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,3.0,-104,-3.0,-112,110,115,1.5,-1.5
11/10 10:14:47 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-109,1.5,-107,110,115,1.5,-1.5
11/10 10:14:30 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-107,1.5,-109,110,115,1.5,-1.5
11/10 10:14:05 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-104,1.5,-112,110,115,1.5,-1.5
11/10 10:13:26 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-128,1.5,-103,110,115,1.5,-1.5
11/10 10:13:23 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-130,1.0,-102,110,115,1.5,-1.5
11/10 10:13:11 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,1.0,-138,-1.0,104,110,115,1.5,-1.5
11/10 10:13:00 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-129,1.0,-103,110,115,1.5,-1.5
11/10 10:12:44 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-124,1.5,-107,110,115,1.5,-1.5
11/10 10:12:41 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-2.5,-117,2.5,-113,110,115,1.5,-1.5
11/10 10:12:26 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-2.5,-120,2.5,-110,110,115,1.5,-1.5
11/10 10:12:15 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-2.5,-121,2.5,-109,110,115,1.5,-1.5
11/10 10:12:12 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-125,1.5,-106,110,115,1.5,-1.5
11/10 10:12:02 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-123,1.5,-108,110,115,1.5,-1.5
11/10 10:11:56 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-122,1.5,-108,110,115,1.5,-1.5
11/10 10:11:44 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-124,1.0,-107,110,115,1.5,-1.5
11/10 10:11:20 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-125,1.0,-105,110,115,1.5,-1.5
11/10 10:11:15 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,1.0,-136,-1.0,103,110,115,1.5,-1.5
11/10 10:11:11 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-117,1.0,-113,110,115,1.5,-1.5
11/10 10:11:03 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-114,1.0,-116,110,115,1.5,-1.5
11/10 10:11:00 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-107,1.5,-124,110,115,1.5,-1.5
11/10 10:10:42 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-107,1.0,-124,110,115,1.5,-1.5
11/10 10:10:38 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-108,1.5,-122,110,115,1.5,-1.5
11/10 10:10:35 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-109,1.5,-121,110,115,1.5,-1.5
11/10 10:10:32 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-2.0,-104,2.0,-127,110,115,1.5,-1.5
11/10 10:10:17 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-104,1.0,-127,110,115,1.5,-1.5
11/10 10:10:11 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.0,-107,1.0,-124,110,115,1.5,-1.5
11/10 10:10:03 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-113,1.5,-117,110,115,1.5,-1.5
11/10 10:09:45 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-1.5,-108,1.5,-122,110,115,1.5,-1.5
11/10 10:09:36 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-2.0,-122,2.0,-109,110,115,1.5,-1.5
11/10 10:09:33 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-2.0,-121,2.0,-109,110,115,1.5,-1.5
11/10 10:02:53 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-6.0,144,6.0,-159,110,115,1.5,-1.5
11/10 10:02:51 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-3.0,-108,3.0,-108,110,115,1.5,-1.5
11/10 10:02:49 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-6.0,144,6.0,-159,110,115,1.5,-1.5
11/10 10:02:45 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-3.0,-102,3.0,-114,110,115,1.5,-1.5
11/10 10:02:44 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-6.0,144,6.0,-159,110,115,1.5,-1.5
11/10 10:02:44 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-3.0,-102,3.0,-114,110,115,1.5,-1.5
11/10 10:02:43 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-6.0,144,6.0,-159,110,115,1.5,-1.5
11/10 10:02:41 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-3.0,-102,3.0,-114,110,115,1.5,-1.5
11/10 10:02:40 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-6.0,144,6.0,-159,110,115,1.5,-1.5
11/10 10:02:36 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-3.0,-102,3.0,-114,110,115,1.5,-1.5
11/10 10:02:35 am,Pinnacle,New Orleans Pelicans,Charlotte Hornets,-6.0,144,6.0,-159,110,115,1.5,-1.5
