Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/7 11:01:18 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,18.0,-107,-18.0,-109,105,103,5.5,-5.5
2/7 11:01:00 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,18.0,-106,-18.0,-110,105,103,5.5,-5.5
2/7 11:00:54 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,18.0,-105,-18.0,-111,105,103,5.5,-5.5
2/7 11:00:45 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,18.0,-103,-18.0,-113,105,103,5.5,-5.5
2/7 11:00:39 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,18.0,-101,-18.0,-115,105,103,5.5,-5.5
2/7 11:00:15 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,18.0,-100,-18.0,-117,105,103,5.5,-5.5
2/7 11:00:00 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,18.0,101,-18.0,-118,105,103,5.5,-5.5
2/7 10:57:42 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,19.0,-110,-19.0,-120,105,103,5.5,-5.5
2/7 10:57:39 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,19.0,-114,-19.0,-116,105,103,5.5,-5.5
2/7 10:57:30 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,19.0,-112,-19.0,-118,105,103,5.5,-5.5
2/7 10:57:27 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,19.5,-112,-19.5,-118,105,103,5.5,-5.5
2/7 10:57:24 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,19.5,-110,-19.5,-120,105,103,5.5,-5.5
2/7 10:57:22 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,19.5,-110,-19.5,-121,105,103,5.5,-5.5
2/7 10:57:13 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-115,-20.5,-115,105,103,5.5,-5.5
2/7 10:57:06 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,19.5,-110,-19.5,-120,105,103,5.5,-5.5
2/7 10:56:54 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-112,-20.5,-119,105,103,5.5,-5.5
2/7 10:56:53 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.0,-107,-20.0,-124,105,103,5.5,-5.5
2/7 10:56:27 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-122,-20.5,-108,105,103,5.5,-5.5
2/7 10:56:06 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-117,-20.5,-113,105,103,5.5,-5.5
2/7 10:56:03 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-117,-20.5,-113,105,103,5.5,-5.5
2/7 10:55:54 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-117,-20.5,-113,105,103,5.5,-5.5
2/7 10:55:45 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-116,-21.5,-114,105,103,5.5,-5.5
2/7 10:54:24 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,22.0,-129,-22.0,111,105,103,5.5,-5.5
2/7 10:53:52 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,22.0,-124,-22.0,106,105,103,5.5,-5.5
2/7 10:53:04 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,22.0,-115,-22.0,-101,105,103,5.5,-5.5
2/7 10:52:45 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-110,-21.5,-106,105,103,5.5,-5.5
2/7 10:52:42 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-116,-21.5,-114,105,103,5.5,-5.5
2/7 10:52:39 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-103,-20.5,-129,105,103,5.5,-5.5
2/7 10:52:30 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-118,-20.5,-112,105,103,5.5,-5.5
2/7 10:52:29 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-117,-21.5,-113,105,103,5.5,-5.5
2/7 10:52:22 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-131,-20.5,-101,105,103,5.5,-5.5
2/7 10:52:18 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-117,-21.5,-113,105,103,5.5,-5.5
2/7 10:52:12 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-119,-20.5,-111,105,103,5.5,-5.5
2/7 10:52:09 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-109,-20.5,-121,105,103,5.5,-5.5
2/7 10:52:06 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-113,-20.5,-117,105,103,5.5,-5.5
2/7 10:52:04 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-111,-20.5,-119,105,103,5.5,-5.5
2/7 10:51:57 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-115,-21.5,-115,105,103,5.5,-5.5
2/7 10:51:54 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-110,-21.5,-120,105,103,5.5,-5.5
2/7 10:51:42 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-110,-21.5,-120,105,103,5.5,-5.5
2/7 10:51:36 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,22.0,-109,-22.0,-121,105,103,5.5,-5.5
2/7 10:51:21 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,22.0,-112,-22.0,-118,105,103,5.5,-5.5
2/7 10:51:15 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,22.0,-107,-22.0,-124,105,103,5.5,-5.5
2/7 10:51:12 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,22.0,-112,-22.0,-118,105,103,5.5,-5.5
2/7 10:51:09 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,23.0,-109,-23.0,-122,105,103,5.5,-5.5
2/7 10:51:06 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,23.0,-125,-23.0,-106,105,103,5.5,-5.5
2/7 10:51:03 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,23.0,-120,-23.0,-110,105,103,5.5,-5.5
2/7 10:50:51 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,23.0,-118,-23.0,-112,105,103,5.5,-5.5
2/7 10:50:48 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,23.0,-120,-23.0,-110,105,103,5.5,-5.5
2/7 10:50:45 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-104,-21.5,-127,105,103,5.5,-5.5
2/7 10:50:42 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-110,-21.5,-121,105,103,5.5,-5.5
2/7 10:50:33 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,21.5,-110,-21.5,-121,105,103,5.5,-5.5
2/7 10:50:30 am,Pinnacle,New Orleans Pelicans,Chicago Bulls,20.5,-112,-20.5,-118,105,103,5.5,-5.5
