Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/5 1:09:42 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-301,3.5,247,104,112,-6.5,6.5
3/5 1:09:25 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-280,3.5,232,104,112,-6.5,6.5
3/5 1:09:20 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-265,3.5,220,104,112,-6.5,6.5
3/5 1:09:12 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-258,3.5,215,104,112,-6.5,6.5
3/5 1:08:58 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-243,3.5,203,104,112,-6.5,6.5
3/5 1:08:33 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-240,3.5,201,104,112,-6.5,6.5
3/5 1:06:01 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-226,3.5,189,104,112,-6.5,6.5
3/5 1:05:57 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-214,3.5,180,104,112,-6.5,6.5
3/5 1:05:40 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-199,3.5,168,104,112,-6.5,6.5
3/5 1:05:21 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-201,3.5,170,104,112,-6.5,6.5
3/5 1:05:21 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-203,3.5,171,104,112,-6.5,6.5
3/5 1:04:51 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-3.5,-200,3.5,169,104,112,-6.5,6.5
3/5 1:01:31 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-2.5,-115,2.5,-108,104,112,-6.5,6.5
3/5 1:01:18 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-2.5,101,2.5,-125,104,112,-6.5,6.5
3/5 1:01:04 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-2.5,-103,2.5,-121,104,112,-6.5,6.5
3/5 1:00:50 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,113,1.5,-142,104,112,-6.5,6.5
3/5 1:00:46 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,110,1.5,-139,104,112,-6.5,6.5
3/5 1:00:29 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,-125,1.5,101,104,112,-6.5,6.5
3/5 1:00:17 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,101,1.5,-125,104,112,-6.5,6.5
3/5 12:59:49 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-2.5,101,2.5,-126,104,112,-6.5,6.5
3/5 12:59:24 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,-105,1.5,-118,104,112,-6.5,6.5
3/5 12:59:03 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-0.5,101,0.5,-126,104,112,-6.5,6.5
3/5 12:58:40 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,-112,1.5,-112,104,112,-6.5,6.5
3/5 12:58:11 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-2.5,-118,2.5,-105,104,112,-6.5,6.5
3/5 12:57:50 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,-118,1.5,-105,104,112,-6.5,6.5
3/5 12:57:32 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-0.5,-112,0.5,-112,104,112,-6.5,6.5
3/5 12:57:18 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,1.5,101,-1.5,-126,104,112,-6.5,6.5
3/5 12:56:55 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,1.5,-126,-1.5,101,104,112,-6.5,6.5
3/5 12:55:33 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-1.5,-126,1.5,108,104,112,-6.5,6.5
3/5 12:55:24 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-1.5,-122,1.5,105,104,112,-6.5,6.5
3/5 12:55:02 pm,RedZone,New Orleans Pelicans,Dallas Mavericks,-1.5,-126,1.5,101,104,112,-6.5,6.5
3/5 12:54:01 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,-1.5,-120,1.5,103,104,112,-6.5,6.5
3/5 12:53:01 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,0.0,-239,0.0,200,104,112,-6.5,6.5
3/5 12:52:43 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,0.0,-230,0.0,193,104,112,-6.5,6.5
3/5 12:50:37 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,0.0,-1200,0.0,767,104,112,-6.5,6.5
3/5 12:50:09 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,0.0,-1000,0.0,673,104,112,-6.5,6.5
3/5 12:47:28 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,0.0,-324,0.0,265,104,112,-6.5,6.5
3/5 12:47:18 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,0.0,-329,0.0,268,104,112,-6.5,6.5
3/5 12:47:14 pm,Pinnacle,New Orleans Pelicans,Dallas Mavericks,0.0,-336,0.0,274,104,112,-6.5,6.5
