Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/21 1:58:35 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-250,0.0,208,129,114,2,-2
12/21 1:54:10 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-215,0.0,181,129,114,2,-2
12/21 1:54:07 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-220,0.0,185,129,114,2,-2
12/21 1:53:52 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-218,0.0,183,129,114,2,-2
12/21 1:53:45 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-215,0.0,181,129,114,2,-2
12/21 1:53:44 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-210,0.0,177,129,114,2,-2
12/21 1:53:43 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-215,0.0,181,129,114,2,-2
12/21 1:53:37 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-210,0.0,177,129,114,2,-2
12/21 1:53:32 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-219,0.0,184,129,114,2,-2
12/21 1:53:16 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,0.0,-250,0.0,208,129,114,2,-2
12/21 1:44:40 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,111,-2.5,-129,129,114,2,-2
12/21 1:44:32 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,111,-2.5,-130,129,114,2,-2
12/21 1:44:29 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,110,-2.5,-128,129,114,2,-2
12/21 1:44:11 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,111,-2.5,-130,129,114,2,-2
12/21 1:43:56 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,103,-2.5,-121,129,114,2,-2
12/21 1:43:53 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-109,-2.5,-107,129,114,2,-2
12/21 1:44:04 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,105,-2.5,-122,129,114,2,-2
12/21 1:38:13 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-114,-2.5,-103,129,114,2,-2
12/21 1:37:58 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-112,-2.5,-105,129,114,2,-2
12/21 1:37:53 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-111,-2.5,-105,129,114,2,-2
12/21 1:37:22 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-112,-2.5,-104,129,114,2,-2
12/21 1:37:07 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-106,-2.5,-110,129,114,2,-2
12/21 1:36:37 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-108,-2.5,-108,129,114,2,-2
12/21 1:35:43 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-126,-2.5,-105,129,114,2,-2
12/21 1:35:41 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-121,-2.0,-109,129,114,2,-2
12/21 1:35:37 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-102,-1.5,-129,129,114,2,-2
12/21 1:35:35 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-109,-1.5,-121,129,114,2,-2
12/21 1:35:32 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-121,-1.5,-109,129,114,2,-2
12/21 1:35:25 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-127,-2.0,-104,129,114,2,-2
12/21 1:35:16 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-107,-2.0,-124,129,114,2,-2
12/21 1:35:10 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-107,-2.0,-123,129,114,2,-2
12/21 1:35:08 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-130,-3.0,-102,129,114,2,-2
12/21 1:35:01 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-118,-3.0,-112,129,114,2,-2
12/21 1:34:59 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-134,-4.0,101,129,114,2,-2
12/21 1:34:52 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-135,-4.0,102,129,114,2,-2
12/21 1:34:46 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-122,-4.0,-108,129,114,2,-2
12/21 1:34:37 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,105,-3.0,-139,129,114,2,-2
12/21 1:34:20 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-131,-4.0,-101,129,114,2,-2
12/21 1:34:16 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-120,-4.0,-110,129,114,2,-2
12/21 1:34:13 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-124,-4.0,-107,129,114,2,-2
12/21 1:34:11 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,114,-3.0,-152,129,114,2,-2
12/21 1:34:07 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-110,-3.0,-120,129,114,2,-2
12/21 1:33:40 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-118,-3.0,-112,129,114,2,-2
12/21 1:34:28 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-120,-3.0,-111,129,114,2,-2
12/21 1:33:28 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-122,-4.0,-109,129,114,2,-2
12/21 1:33:19 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-133,-4.0,101,129,114,2,-2
12/21 1:33:17 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,4.0,-122,-4.0,-109,129,114,2,-2
12/21 1:33:07 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,114,-3.0,-151,129,114,2,-2
12/21 1:33:03 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-115,-3.0,-115,129,114,2,-2
12/21 1:32:55 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-114,-3.0,-116,129,114,2,-2
12/21 1:32:53 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-123,-2.5,-107,129,114,2,-2
12/21 1:32:43 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-117,-1.5,-113,129,114,2,-2
12/21 1:32:34 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-133,-2.5,101,129,114,2,-2
12/21 1:32:32 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-134,-2.5,101,129,114,2,-2
12/21 1:32:28 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-121,-2.5,-109,129,114,2,-2
12/21 1:32:25 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-113,-2.0,-117,129,114,2,-2
12/21 1:32:20 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-102,-1.5,-129,129,114,2,-2
12/21 1:32:16 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-113,-1.5,-117,129,114,2,-2
12/21 1:32:13 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-108,-1.5,-123,129,114,2,-2
12/21 1:31:59 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-113,-1.5,-117,129,114,2,-2
12/21 1:31:46 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-114,-1.5,-116,129,114,2,-2
12/21 1:31:35 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-129,-2.0,-102,129,114,2,-2
12/21 1:31:31 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-118,-2.0,-112,129,114,2,-2
12/21 1:31:07 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,104,-1.5,-138,129,114,2,-2
12/21 1:31:02 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,103,-1.5,-137,129,114,2,-2
12/21 1:30:58 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-106,-1.5,-125,129,114,2,-2
12/21 1:30:49 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-110,-1.5,-121,129,114,2,-2
12/21 1:31:41 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.0,-111,-2.0,-119,129,114,2,-2
12/21 1:30:46 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,1.5,-109,-1.5,-121,129,114,2,-2
12/21 1:30:31 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-121,-2.5,-109,129,114,2,-2
12/21 1:30:29 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-109,-2.5,-121,129,114,2,-2
12/21 1:30:22 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-123,-3.0,-108,129,114,2,-2
12/21 1:30:10 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,3.0,-109,-3.0,-121,129,114,2,-2
12/21 1:30:07 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-111,-2.5,-119,129,114,2,-2
12/21 1:30:04 pm,Pinnacle,New Orleans Pelicans,Golden State Warriors,2.5,-124,-2.5,-107,129,114,2,-2
