Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/27 10:31:10 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-2.5,-165,2.5,140,95,118,-12,12
10/27 10:28:27 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-2.5,-120,2.5,103,95,118,-12,12
10/27 10:22:30 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.5,-116,6.5,-101,95,118,-12,12
10/27 10:14:13 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,101,8.0,-117,95,118,-12,12
10/27 10:13:52 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,-119,8.0,-131,95,118,-12,12
10/27 10:13:35 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-9.0,-120,9.0,-130,95,118,-12,12
10/27 10:13:18 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,-123,8.0,-127,95,118,-12,12
10/27 10:13:06 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-9.0,-126,9.0,-124,95,118,-12,12
10/27 10:12:53 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,-128,8.0,-122,95,118,-12,12
10/27 10:12:49 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-9.0,-128,9.0,-122,95,118,-12,12
10/27 10:12:37 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,-121,8.0,-129,95,118,-12,12
10/27 10:12:32 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,-113,8.0,-139,95,118,-12,12
10/27 10:12:02 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.5,-129,7.5,-121,95,118,-12,12
10/27 10:11:15 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.0,-114,7.0,-137,95,118,-12,12
10/27 10:08:09 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,-115,8.0,-102,95,118,-12,12
10/27 10:07:03 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.5,-118,8.5,-133,95,118,-12,12
10/27 10:07:02 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-9.5,-118,9.5,-133,95,118,-12,12
10/27 10:06:37 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.5,-131,7.5,-120,95,118,-12,12
10/27 10:06:33 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.0,-127,7.0,-123,95,118,-12,12
10/27 10:06:29 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.0,-130,6.0,-120,95,118,-12,12
10/27 10:05:36 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.0,-131,6.0,-119,95,118,-12,12
10/27 10:05:32 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.0,-132,6.0,-118,95,118,-12,12
10/27 10:04:50 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-5.5,-122,5.5,-128,95,118,-12,12
10/27 10:04:19 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-4.5,-124,4.5,-126,95,118,-12,12
10/27 10:04:15 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-5.5,-129,5.5,-121,95,118,-12,12
10/27 10:04:10 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-5.5,-130,5.5,-120,95,118,-12,12
10/27 10:03:29 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.5,-126,6.5,-124,95,118,-12,12
10/27 10:03:15 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.5,-127,6.5,-123,95,118,-12,12
10/27 10:03:11 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.0,-121,7.0,-129,95,118,-12,12
10/27 10:02:58 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.0,-121,6.0,-129,95,118,-12,12
10/27 10:01:58 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-5.0,-119,5.0,-132,95,118,-12,12
10/27 10:01:28 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.0,-125,6.0,-125,95,118,-12,12
10/27 10:01:24 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-5.0,-123,5.0,-127,95,118,-12,12
10/27 10:01:03 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.0,-132,6.0,-118,95,118,-12,12
10/27 10:00:38 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.5,-137,6.5,-115,95,118,-12,12
10/27 10:00:25 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.5,-136,6.5,-115,95,118,-12,12
10/27 10:00:08 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-5.0,-131,5.0,-119,95,118,-12,12
10/27 10:00:00 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-6.5,-118,6.5,-132,95,118,-12,12
10/27 9:59:55 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.0,-133,7.0,-118,95,118,-12,12
10/27 9:59:47 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.0,-133,7.0,-117,95,118,-12,12
10/27 9:59:25 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-8.0,-115,8.0,-136,95,118,-12,12
10/27 9:59:21 am,Pinnacle,New Orleans Pelicans,Houston Rockets,-7.0,-137,7.0,-115,95,118,-12,12
