Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/9 10:45:51 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,133,-3.5,-156,92,95,-5.5,5.5
2/9 10:45:45 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,139,-3.5,-163,92,95,-5.5,5.5
2/9 10:45:41 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,140,-3.5,-164,92,95,-5.5,5.5
2/9 10:45:34 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,136,-3.5,-160,92,95,-5.5,5.5
2/9 10:45:18 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,131,-3.5,-154,92,95,-5.5,5.5
2/9 10:45:04 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,128,-3.5,-150,92,95,-5.5,5.5
2/9 10:44:57 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,115,-3.5,-134,92,95,-5.5,5.5
2/9 10:44:51 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,113,-3.5,-132,92,95,-5.5,5.5
2/9 10:44:49 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,105,-3.5,-122,92,95,-5.5,5.5
2/9 10:44:45 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,-101,-3.5,-116,92,95,-5.5,5.5
2/9 10:44:42 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,-105,-3.5,-111,92,95,-5.5,5.5
2/9 10:44:35 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,3.5,-108,-3.5,-108,92,95,-5.5,5.5
2/9 10:40:59 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-129,1.0,-103,92,95,-5.5,5.5
2/9 10:40:57 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-122,1.0,-109,92,95,-5.5,5.5
2/9 10:40:41 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.5,-111,-1.5,-119,92,95,-5.5,5.5
2/9 10:40:33 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-125,-1.0,-106,92,95,-5.5,5.5
2/9 10:40:21 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-127,-1.0,-105,92,95,-5.5,5.5
2/9 10:40:17 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-120,-1.0,-111,92,95,-5.5,5.5
2/9 10:40:03 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-118,-1.0,-112,92,95,-5.5,5.5
2/9 10:39:59 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-106,1.5,-125,92,95,-5.5,5.5
2/9 10:39:44 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-112,1.5,-118,92,95,-5.5,5.5
2/9 10:39:30 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-113,1.5,-117,92,95,-5.5,5.5
2/9 10:39:03 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-107,1.5,-109,92,95,-5.5,5.5
2/9 10:38:32 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-107,1.5,-109,92,95,-5.5,5.5
2/9 10:38:18 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-107,1.5,-109,92,95,-5.5,5.5
2/9 10:38:15 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-109,1.5,-107,92,95,-5.5,5.5
2/9 10:38:06 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-109,1.5,-107,92,95,-5.5,5.5
2/9 10:37:42 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-109,1.5,-107,92,95,-5.5,5.5
2/9 10:37:38 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-112,1.5,-104,92,95,-5.5,5.5
2/9 10:37:27 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-112,1.5,-104,92,95,-5.5,5.5
2/9 10:37:25 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-108,1.5,-108,92,95,-5.5,5.5
2/9 10:37:21 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-108,1.5,-108,92,95,-5.5,5.5
2/9 10:37:02 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-126,1.0,-105,92,95,-5.5,5.5
2/9 10:37:00 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-126,1.0,-105,92,95,-5.5,5.5
2/9 10:36:51 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-111,1.5,-119,92,95,-5.5,5.5
2/9 10:36:48 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-116,1.5,-114,92,95,-5.5,5.5
2/9 10:36:45 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-116,1.5,-114,92,95,-5.5,5.5
2/9 10:36:29 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-115,1.5,-115,92,95,-5.5,5.5
2/9 10:36:25 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-2.0,-115,2.0,-115,92,95,-5.5,5.5
2/9 10:36:21 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-3.0,-117,3.0,-113,92,95,-5.5,5.5
2/9 10:36:06 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-3.0,-124,3.0,-107,92,95,-5.5,5.5
2/9 10:35:02 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-4.0,-114,4.0,-116,92,95,-5.5,5.5
2/9 10:34:54 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-3.0,-123,3.0,-108,92,95,-5.5,5.5
2/9 10:34:51 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-4.0,-115,4.0,-115,92,95,-5.5,5.5
2/9 10:34:36 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-3.0,-123,3.0,-107,92,95,-5.5,5.5
2/9 10:34:32 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-122,1.5,-108,92,95,-5.5,5.5
2/9 10:34:29 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-112,1.0,-119,92,95,-5.5,5.5
2/9 10:34:14 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-2.5,-113,2.5,-117,92,95,-5.5,5.5
2/9 10:34:06 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-128,1.5,-103,92,95,-5.5,5.5
2/9 10:33:59 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-127,1.5,-105,92,95,-5.5,5.5
2/9 10:33:57 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.5,-126,1.5,-105,92,95,-5.5,5.5
2/9 10:33:53 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-105,1.0,-127,92,95,-5.5,5.5
2/9 10:33:44 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-108,1.0,-123,92,95,-5.5,5.5
2/9 10:33:39 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-2.0,-107,2.0,-124,92,95,-5.5,5.5
2/9 10:33:35 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-105,1.0,-126,92,95,-5.5,5.5
2/9 10:33:32 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-107,1.0,-123,92,95,-5.5,5.5
2/9 10:33:15 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,-1.0,-109,1.0,-122,92,95,-5.5,5.5
2/9 10:32:53 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-116,-1.0,-114,92,95,-5.5,5.5
2/9 10:32:47 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-115,-1.0,-115,92,95,-5.5,5.5
2/9 10:32:45 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-124,-1.0,-107,92,95,-5.5,5.5
2/9 10:32:35 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-117,-1.0,-113,92,95,-5.5,5.5
2/9 10:31:59 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-111,-1.0,-105,92,95,-5.5,5.5
2/9 10:31:41 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-111,-1.0,-105,92,95,-5.5,5.5
2/9 10:31:32 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-112,-1.0,-105,92,95,-5.5,5.5
2/9 10:31:18 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-112,-1.0,-104,92,95,-5.5,5.5
2/9 10:31:08 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-111,-1.0,-105,92,95,-5.5,5.5
2/9 10:30:59 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-112,-1.0,-105,92,95,-5.5,5.5
2/9 10:30:54 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-116,-1.0,-101,92,95,-5.5,5.5
2/9 10:30:47 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-118,-1.0,101,92,95,-5.5,5.5
2/9 10:30:26 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-118,-1.0,101,92,95,-5.5,5.5
2/9 10:30:05 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-113,-1.0,-103,92,95,-5.5,5.5
2/9 10:30:02 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-114,-1.0,-103,92,95,-5.5,5.5
2/9 10:29:59 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-109,-1.0,-108,92,95,-5.5,5.5
2/9 10:29:57 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-109,-1.0,-107,92,95,-5.5,5.5
2/9 10:29:53 am,Pinnacle,New Orleans Pelicans,Indiana Pacers,1.0,-108,-1.0,-108,92,95,-5.5,5.5
