Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/21 8:18:15 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,12.5,-110,-12.5,-106,86,106,-3,3
1/21 8:16:33 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,12.5,-111,-12.5,-105,86,106,-3,3
1/21 8:13:39 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,15.5,-110,-15.5,-120,86,106,-3,3
1/21 8:13:36 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,15.5,-111,-15.5,-119,86,106,-3,3
1/21 8:13:33 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,17.0,-123,-17.0,-107,86,106,-3,3
1/21 8:13:09 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,16.5,-114,-16.5,-116,86,106,-3,3
1/21 8:13:04 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,15.5,-119,-15.5,-111,86,106,-3,3
1/21 8:12:39 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,16.5,-111,-16.5,-119,86,106,-3,3
1/21 8:12:36 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,17.0,-114,-17.0,-116,86,106,-3,3
1/21 8:12:32 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,17.0,-111,-17.0,-119,86,106,-3,3
1/21 8:12:04 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,17.0,-113,-17.0,-117,86,106,-3,3
1/21 8:12:00 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,17.0,-108,-17.0,-108,86,106,-3,3
1/21 8:11:57 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,18.0,-102,-18.0,-114,86,106,-3,3
1/21 8:11:45 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,17.0,-110,-17.0,-106,86,106,-3,3
1/21 8:11:27 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,16.5,-106,-16.5,-110,86,106,-3,3
1/21 8:11:24 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,16.0,-102,-16.0,-114,86,106,-3,3
1/21 8:11:18 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,15.5,-105,-15.5,-111,86,106,-3,3
1/21 8:10:06 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,16.5,-116,-16.5,-101,86,106,-3,3
1/21 8:08:24 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,16.5,-113,-16.5,-103,86,106,-3,3
1/21 8:07:27 am,Pinnacle,New Orleans Pelicans,Memphis Grizzlies,15.5,-111,-15.5,-119,86,106,-3,3
