Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/22 1:55:24 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-104,-12.0,-113,98,106,5.5,-5.5
2/22 1:55:11 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-104,-12.0,-112,98,106,5.5,-5.5
2/22 1:54:59 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-112,-12.0,-104,98,106,5.5,-5.5
2/22 1:54:41 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-112,-12.0,-104,98,106,5.5,-5.5
2/22 1:54:32 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-112,-12.0,-104,98,106,5.5,-5.5
2/22 1:54:29 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-113,-12.0,-104,98,106,5.5,-5.5
2/22 1:54:26 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-113,-12.0,-103,98,106,5.5,-5.5
2/22 1:54:22 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-112,-12.0,-104,98,106,5.5,-5.5
2/22 1:52:20 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,10.5,-114,-10.5,-116,98,106,5.5,-5.5
2/22 1:52:17 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,11.5,-119,-11.5,-111,98,106,5.5,-5.5
2/22 1:52:14 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,11.5,-126,-11.5,-105,98,106,5.5,-5.5
2/22 1:52:11 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,11.5,-121,-11.5,-109,98,106,5.5,-5.5
2/22 1:52:02 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,11.5,-119,-11.5,-112,98,106,5.5,-5.5
2/22 1:51:59 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.0,-130,-13.0,-102,98,106,5.5,-5.5
2/22 1:51:56 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.0,-125,-13.0,-106,98,106,5.5,-5.5
2/22 1:51:41 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.0,-116,-13.0,-114,98,106,5.5,-5.5
2/22 1:51:35 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.0,-110,-13.0,-121,98,106,5.5,-5.5
2/22 1:51:32 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.5,-118,-13.5,-112,98,106,5.5,-5.5
2/22 1:51:29 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,14.0,-118,-14.0,-112,98,106,5.5,-5.5
2/22 1:51:26 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,14.0,-114,-14.0,-116,98,106,5.5,-5.5
2/22 1:51:14 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,14.0,-111,-14.0,-120,98,106,5.5,-5.5
2/22 1:51:11 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.0,-112,-13.0,-118,98,106,5.5,-5.5
2/22 1:51:08 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.5,-118,-13.5,-113,98,106,5.5,-5.5
2/22 1:50:53 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.5,-119,-13.5,-111,98,106,5.5,-5.5
2/22 1:50:50 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,13.5,-107,-13.5,-124,98,106,5.5,-5.5
2/22 1:50:29 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,14.0,-119,-14.0,-111,98,106,5.5,-5.5
2/22 1:50:12 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,14.0,-119,-14.0,-111,98,106,5.5,-5.5
2/22 1:50:08 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.5,-116,-12.5,-114,98,106,5.5,-5.5
2/22 1:49:56 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.5,-120,-12.5,-110,98,106,5.5,-5.5
2/22 1:49:53 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.5,-113,-12.5,-103,98,106,5.5,-5.5
2/22 1:48:11 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.5,-113,-12.5,-103,98,106,5.5,-5.5
2/22 1:47:41 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.5,-113,-12.5,-103,98,106,5.5,-5.5
2/22 1:47:35 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-107,-12.0,-109,98,106,5.5,-5.5
2/22 1:47:26 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-107,-12.0,-109,98,106,5.5,-5.5
2/22 1:47:14 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-111,-12.0,-105,98,106,5.5,-5.5
2/22 1:46:38 pm,Pinnacle,New Orleans Pelicans,Portland Trail Blazers,12.0,-109,-12.0,-107,98,106,5.5,-5.5
