Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/23 10:50:59 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-134,4.5,115,130,122,-6.5,6.5
10/23 10:50:44 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-122,4.5,105,130,122,-6.5,6.5
10/23 10:50:40 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-136,4.5,116,130,122,-6.5,6.5
10/23 10:50:07 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-133,4.5,114,130,122,-6.5,6.5
10/23 10:49:59 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-121,4.5,104,130,122,-6.5,6.5
10/23 10:49:49 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-119,4.5,102,130,122,-6.5,6.5
10/23 10:49:40 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-108,4.5,-108,130,122,-6.5,6.5
10/23 10:42:24 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-110,2.0,-106,130,122,-6.5,6.5
10/23 10:42:10 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-106,2.0,-110,130,122,-6.5,6.5
10/23 10:42:00 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-118,2.0,101,130,122,-6.5,6.5
10/23 10:41:41 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-103,2.0,-113,130,122,-6.5,6.5
10/23 10:41:31 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-108,2.0,-108,130,122,-6.5,6.5
10/23 10:40:29 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-124,2.0,106,130,122,-6.5,6.5
10/23 10:40:24 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-102,2.0,-114,130,122,-6.5,6.5
10/23 10:39:44 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,-231,0.0,194,130,122,-6.5,6.5
10/23 10:39:29 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,-257,0.0,214,130,122,-6.5,6.5
10/23 10:39:10 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,-225,0.0,189,130,122,-6.5,6.5
10/23 10:39:01 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,-220,0.0,185,130,122,-6.5,6.5
10/23 10:38:42 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,-210,0.0,177,130,122,-6.5,6.5
10/23 10:38:22 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,-200,0.0,169,130,122,-6.5,6.5
10/23 10:36:55 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,103,0.0,-120,130,122,-6.5,6.5
10/23 10:36:45 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,108,0.0,-126,130,122,-6.5,6.5
10/23 10:36:31 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,-102,0.0,-114,130,122,-6.5,6.5
10/23 10:36:26 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,0.0,103,0.0,-120,130,122,-6.5,6.5
10/23 10:33:01 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.5,140,-1.5,-165,130,122,-6.5,6.5
10/23 10:32:28 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.5,136,-1.5,-160,130,122,-6.5,6.5
10/23 10:32:13 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.5,128,-1.5,-150,130,122,-6.5,6.5
10/23 10:32:03 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.5,111,-1.5,-130,130,122,-6.5,6.5
10/23 10:21:16 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,3.5,113,-3.5,-132,130,122,-6.5,6.5
10/23 10:20:46 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,3.5,118,-3.5,-138,130,122,-6.5,6.5
10/23 10:20:06 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,3.5,113,-3.5,-132,130,122,-6.5,6.5
10/23 10:19:28 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,3.5,111,-3.5,-130,130,122,-6.5,6.5
10/23 10:19:23 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,3.5,109,-3.5,-127,130,122,-6.5,6.5
10/23 10:19:18 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,3.5,107,-3.5,-125,130,122,-6.5,6.5
10/23 10:19:14 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,3.5,105,-3.5,-122,130,122,-6.5,6.5
10/23 10:11:41 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.0,105,4.0,-123,130,122,-6.5,6.5
10/23 10:09:58 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.0,-101,4.0,-115,130,122,-6.5,6.5
10/23 10:09:33 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-3.0,-138,3.0,-114,130,122,-6.5,6.5
10/23 10:09:09 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.5,-138,2.5,-114,130,122,-6.5,6.5
10/23 10:08:50 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-3.0,-118,3.0,-133,130,122,-6.5,6.5
10/23 10:08:46 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.5,-123,1.5,-127,130,122,-6.5,6.5
10/23 10:08:41 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.5,-115,1.5,-136,130,122,-6.5,6.5
10/23 10:08:36 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-115,1.0,-136,130,122,-6.5,6.5
10/23 10:08:21 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-116,1.0,-135,130,122,-6.5,6.5
10/23 10:08:16 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-130,1.0,-121,130,122,-6.5,6.5
10/23 10:07:51 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.5,-128,1.5,-122,130,122,-6.5,6.5
10/23 10:07:41 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-110,1.0,-120,130,122,-6.5,6.5
10/23 10:07:36 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-120,1.0,-130,130,122,-6.5,6.5
10/23 10:07:21 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-121,1.0,-129,130,122,-6.5,6.5
10/23 10:07:16 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.5,-133,-1.5,-118,130,122,-6.5,6.5
10/23 10:07:12 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,2.5,-137,-2.5,-114,130,122,-6.5,6.5
10/23 10:06:46 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.5,-124,-1.5,-126,130,122,-6.5,6.5
10/23 10:06:31 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.0,-151,-1.0,-104,130,122,-6.5,6.5
10/23 10:05:58 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-123,1.0,-127,130,122,-6.5,6.5
10/23 10:05:43 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.5,-133,1.5,-117,130,122,-6.5,6.5
10/23 10:05:38 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.5,-122,1.5,-128,130,122,-6.5,6.5
10/23 10:05:18 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-122,1.0,-128,130,122,-6.5,6.5
10/23 10:05:13 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-126,1.0,-124,130,122,-6.5,6.5
10/23 10:05:04 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.5,-137,-1.5,-114,130,122,-6.5,6.5
10/23 10:04:54 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,1.0,-113,-1.0,-138,130,122,-6.5,6.5
10/23 10:04:40 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-130,1.0,-120,130,122,-6.5,6.5
10/23 10:04:35 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-118,2.0,-132,130,122,-6.5,6.5
10/23 10:04:29 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-118,2.0,-133,130,122,-6.5,6.5
10/23 10:03:37 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-116,2.0,-134,130,122,-6.5,6.5
10/23 10:03:27 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-131,1.0,-119,130,122,-6.5,6.5
10/23 10:03:23 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-130,1.0,-120,130,122,-6.5,6.5
10/23 10:03:18 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-108,1.0,-145,130,122,-6.5,6.5
10/23 10:03:03 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-1.0,-108,1.0,-146,130,122,-6.5,6.5
10/23 10:02:55 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-117,2.0,-134,130,122,-6.5,6.5
10/23 10:02:50 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.0,-135,2.0,-116,130,122,-6.5,6.5
10/23 10:02:40 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-2.5,-133,2.5,-118,130,122,-6.5,6.5
10/23 10:02:29 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-3.5,-123,3.5,-127,130,122,-6.5,6.5
10/23 10:02:01 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-119,4.5,-132,130,122,-6.5,6.5
10/23 10:01:56 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-3.5,-124,3.5,-126,130,122,-6.5,6.5
10/23 10:01:40 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-4.5,-127,4.5,-123,130,122,-6.5,6.5
10/23 10:01:06 am,Pinnacle,New Orleans Pelicans,Toronto Raptors,-5.0,-126,5.0,-124,130,122,-6.5,6.5
