Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/26 10:15:21 am,Pinnacle,New York Knicks,Brooklyn Nets,-3.5,113,3.5,-131,113,109,-16,16
10/26 10:14:15 am,Pinnacle,New York Knicks,Brooklyn Nets,-3.5,116,3.5,-136,113,109,-16,16
10/26 10:06:40 am,Pinnacle,New York Knicks,Brooklyn Nets,3.0,-133,-3.0,114,113,109,-16,16
10/26 9:59:30 am,Pinnacle,New York Knicks,Brooklyn Nets,-4.0,-103,4.0,-113,113,109,-16,16
10/26 9:57:20 am,Pinnacle,New York Knicks,Brooklyn Nets,-7.0,-113,7.0,-138,113,109,-16,16
10/26 9:55:12 am,Pinnacle,New York Knicks,Brooklyn Nets,-9.0,-134,9.0,101,113,109,-16,16
10/26 9:54:07 am,Pinnacle,New York Knicks,Brooklyn Nets,-10.0,-120,10.0,-131,113,109,-16,16
10/26 9:53:02 am,Pinnacle,New York Knicks,Brooklyn Nets,-10.0,-121,10.0,-129,113,109,-16,16
10/26 9:51:59 am,Pinnacle,New York Knicks,Brooklyn Nets,-9.5,-116,9.5,-135,113,109,-16,16
10/26 9:49:49 am,Pinnacle,New York Knicks,Brooklyn Nets,-9.5,-120,9.5,-130,113,109,-16,16
10/26 9:48:44 am,Pinnacle,New York Knicks,Brooklyn Nets,-9.0,-114,9.0,-102,113,109,-16,16
10/26 9:46:32 am,Pinnacle,New York Knicks,Brooklyn Nets,-9.5,-122,9.5,-128,113,109,-16,16
10/26 9:45:27 am,Pinnacle,New York Knicks,Brooklyn Nets,-8.0,-129,8.0,-121,113,109,-16,16
10/26 9:44:21 am,Pinnacle,New York Knicks,Brooklyn Nets,-8.5,-131,8.5,-120,113,109,-16,16
10/26 9:43:17 am,Pinnacle,New York Knicks,Brooklyn Nets,-8.0,-122,8.0,-128,113,109,-16,16
10/26 9:42:13 am,Pinnacle,New York Knicks,Brooklyn Nets,-10.5,-121,10.5,-129,113,109,-16,16
10/26 9:40:04 am,Pinnacle,New York Knicks,Brooklyn Nets,-9.5,-111,9.5,-105,113,109,-16,16
10/26 9:37:54 am,Pinnacle,New York Knicks,Brooklyn Nets,-11.0,-109,11.0,-107,113,109,-16,16
10/26 9:36:49 am,Pinnacle,New York Knicks,Brooklyn Nets,-11.0,-112,11.0,-105,113,109,-16,16
10/26 9:35:44 am,Pinnacle,New York Knicks,Brooklyn Nets,-12.0,-121,12.0,-119,113,109,-16,16
10/26 9:34:40 am,Pinnacle,New York Knicks,Brooklyn Nets,-12.5,-119,12.5,-121,113,109,-16,16
10/26 9:33:34 am,Pinnacle,New York Knicks,Brooklyn Nets,-12.5,-113,12.5,-127,113,109,-16,16
10/26 9:32:29 am,Pinnacle,New York Knicks,Brooklyn Nets,-13.0,-109,13.0,-121,113,109,-16,16
10/26 9:31:24 am,Pinnacle,New York Knicks,Brooklyn Nets,-13.5,-123,13.5,-117,113,109,-16,16
10/26 9:30:14 am,Pinnacle,New York Knicks,Brooklyn Nets,-11.5,-127,11.5,-114,113,109,-16,16
10/26 9:30:03 am,Pinnacle,New York Knicks,Brooklyn Nets,-11.0,-122,11.0,-118,113,109,-16,16
10/26 9:28:54 am,Pinnacle,New York Knicks,Brooklyn Nets,-12.5,-119,12.5,-121,113,109,-16,16
10/26 9:27:40 am,Pinnacle,New York Knicks,Brooklyn Nets,-13.0,-120,13.0,-120,113,109,-16,16
10/26 9:25:59 am,Pinnacle,New York Knicks,Brooklyn Nets,-16.0,-115,16.0,-126,113,109,-16,16
