Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/21 8:05:12 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-112,-16.0,-104,86,106,1.5,-1.5
1/21 8:05:00 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-115,-16.0,-102,86,106,1.5,-1.5
1/21 8:04:33 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-114,-16.0,-102,86,106,1.5,-1.5
1/21 8:04:27 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-115,-16.0,-101,86,106,1.5,-1.5
1/21 8:04:21 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-111,-16.0,-105,86,106,1.5,-1.5
1/21 8:04:18 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-110,-16.0,-106,86,106,1.5,-1.5
1/21 8:04:15 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-108,-16.0,-108,86,106,1.5,-1.5
1/21 8:04:09 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-107,-16.0,-109,86,106,1.5,-1.5
1/21 8:04:06 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-101,-16.0,-116,86,106,1.5,-1.5
1/21 8:03:54 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-100,-16.0,-116,86,106,1.5,-1.5
1/21 8:03:51 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.5,-108,-16.5,-108,86,106,1.5,-1.5
1/21 8:03:45 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.5,-105,-16.5,-111,86,106,1.5,-1.5
1/21 8:00:03 am,Pinnacle,New York Knicks,Cleveland Cavaliers,16.0,-124,-16.0,-107,86,106,1.5,-1.5
1/21 7:59:43 am,Pinnacle,New York Knicks,Cleveland Cavaliers,15.0,-117,-15.0,-113,86,106,1.5,-1.5
1/21 7:59:30 am,Pinnacle,New York Knicks,Cleveland Cavaliers,14.5,-117,-14.5,-113,86,106,1.5,-1.5
1/21 7:59:07 am,Pinnacle,New York Knicks,Cleveland Cavaliers,14.5,-112,-14.5,-118,86,106,1.5,-1.5
1/21 7:58:42 am,Pinnacle,New York Knicks,Cleveland Cavaliers,15.5,-109,-15.5,-121,86,106,1.5,-1.5
1/21 7:58:15 am,Pinnacle,New York Knicks,Cleveland Cavaliers,14.5,-116,-14.5,-114,86,106,1.5,-1.5
1/21 7:58:09 am,Pinnacle,New York Knicks,Cleveland Cavaliers,14.0,-122,-14.0,-109,86,106,1.5,-1.5
1/21 7:55:34 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.5,100,-12.5,-117,86,106,1.5,-1.5
1/21 7:55:28 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.5,-112,-12.5,-104,86,106,1.5,-1.5
1/21 7:55:15 am,Pinnacle,New York Knicks,Cleveland Cavaliers,14.0,-115,-14.0,-102,86,106,1.5,-1.5
1/21 7:54:52 am,Pinnacle,New York Knicks,Cleveland Cavaliers,14.0,-122,-14.0,-109,86,106,1.5,-1.5
1/21 7:54:42 am,Pinnacle,New York Knicks,Cleveland Cavaliers,14.0,-122,-14.0,-109,86,106,1.5,-1.5
1/21 7:54:39 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.5,-113,-12.5,-117,86,106,1.5,-1.5
1/21 7:54:16 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.5,-113,-12.5,-117,86,106,1.5,-1.5
1/21 7:53:54 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-117,-11.0,-113,86,106,1.5,-1.5
1/21 7:53:49 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.5,-108,-9.5,-122,86,106,1.5,-1.5
1/21 7:53:46 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.5,-108,-9.5,-122,86,106,1.5,-1.5
1/21 7:53:35 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-118,-11.0,-112,86,106,1.5,-1.5
1/21 7:53:12 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.5,-109,-9.5,-121,86,106,1.5,-1.5
1/21 7:53:03 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-113,-9.0,-117,86,106,1.5,-1.5
1/21 7:53:00 am,Pinnacle,New York Knicks,Cleveland Cavaliers,8.0,-116,-8.0,-114,86,106,1.5,-1.5
1/21 7:52:39 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-110,-9.0,-120,86,106,1.5,-1.5
1/21 7:52:27 am,Pinnacle,New York Knicks,Cleveland Cavaliers,8.5,-110,-8.5,-120,86,106,1.5,-1.5
1/21 7:52:06 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-120,-9.0,-110,86,106,1.5,-1.5
1/21 7:51:33 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-121,-9.0,-109,86,106,1.5,-1.5
1/21 7:51:22 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-121,-9.0,-109,86,106,1.5,-1.5
1/21 7:51:16 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-122,-9.0,-109,86,106,1.5,-1.5
1/21 7:51:01 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-122,-9.0,-108,86,106,1.5,-1.5
1/21 7:50:58 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.0,-118,-10.0,-112,86,106,1.5,-1.5
1/21 7:50:31 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.0,-119,-10.0,-111,86,106,1.5,-1.5
1/21 7:50:16 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.5,-119,-11.5,-111,86,106,1.5,-1.5
1/21 7:50:13 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.5,-114,-12.5,-116,86,106,1.5,-1.5
1/21 7:49:49 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.5,-121,-11.5,-109,86,106,1.5,-1.5
1/21 7:49:43 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-117,-11.0,-113,86,106,1.5,-1.5
1/21 7:49:22 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-110,-10.5,-121,86,106,1.5,-1.5
1/21 7:49:19 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-110,-10.5,-121,86,106,1.5,-1.5
1/21 7:49:17 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-109,-10.5,-122,86,106,1.5,-1.5
1/21 7:49:08 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.5,-113,-9.5,-117,86,106,1.5,-1.5
1/21 7:49:04 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-110,-10.5,-120,86,106,1.5,-1.5
1/21 7:48:52 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-106,-10.5,-125,86,106,1.5,-1.5
1/21 7:48:43 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-114,-10.5,-116,86,106,1.5,-1.5
1/21 7:48:26 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.5,-119,-9.5,-111,86,106,1.5,-1.5
1/21 7:48:01 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-116,-10.5,-114,86,106,1.5,-1.5
1/21 7:47:57 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-108,-12.0,-122,86,106,1.5,-1.5
1/21 7:47:47 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-116,-12.0,-114,86,106,1.5,-1.5
1/21 7:47:34 am,Pinnacle,New York Knicks,Cleveland Cavaliers,13.0,-112,-13.0,-118,86,106,1.5,-1.5
1/21 7:46:02 am,Pinnacle,New York Knicks,Cleveland Cavaliers,13.0,-111,-13.0,-105,86,106,1.5,-1.5
1/21 7:45:16 am,Pinnacle,New York Knicks,Cleveland Cavaliers,13.0,-110,-13.0,-106,86,106,1.5,-1.5
1/21 7:44:35 am,Pinnacle,New York Knicks,Cleveland Cavaliers,13.0,-113,-13.0,-118,86,106,1.5,-1.5
1/21 7:43:23 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.5,-120,-11.5,-110,86,106,1.5,-1.5
1/21 7:43:08 am,Pinnacle,New York Knicks,Cleveland Cavaliers,10.5,-111,-10.5,-119,86,106,1.5,-1.5
1/21 7:42:46 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-118,-12.0,-112,86,106,1.5,-1.5
1/21 7:42:41 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-119,-12.0,-111,86,106,1.5,-1.5
1/21 7:42:35 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-114,-12.0,-116,86,106,1.5,-1.5
1/21 7:42:31 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-114,-12.0,-116,86,106,1.5,-1.5
1/21 7:44:44 am,Pinnacle,New York Knicks,Cleveland Cavaliers,13.0,-106,-13.0,-110,86,106,1.5,-1.5
1/21 7:42:29 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-120,-12.0,-110,86,106,1.5,-1.5
1/21 7:42:25 am,Pinnacle,New York Knicks,Cleveland Cavaliers,12.0,-112,-12.0,-118,86,106,1.5,-1.5
1/21 7:42:19 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-116,-11.0,-114,86,106,1.5,-1.5
1/21 7:42:17 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-116,-11.0,-114,86,106,1.5,-1.5
1/21 7:41:58 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-117,-11.0,-113,86,106,1.5,-1.5
1/21 7:41:41 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-118,-11.0,-112,86,106,1.5,-1.5
1/21 7:41:26 am,Pinnacle,New York Knicks,Cleveland Cavaliers,11.0,-119,-11.0,-111,86,106,1.5,-1.5
1/21 7:41:17 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.0,-113,-9.0,-117,86,106,1.5,-1.5
1/21 7:41:02 am,Pinnacle,New York Knicks,Cleveland Cavaliers,9.5,-119,-9.5,-111,86,106,1.5,-1.5
1/21 7:40:57 am,Pinnacle,New York Knicks,Cleveland Cavaliers,8.0,-111,-8.0,-119,86,106,1.5,-1.5
1/21 7:40:32 am,Pinnacle,New York Knicks,Cleveland Cavaliers,8.0,-111,-8.0,-119,86,106,1.5,-1.5
1/21 7:40:25 am,Pinnacle,New York Knicks,Cleveland Cavaliers,7.5,-112,-7.5,-118,86,106,1.5,-1.5
1/21 7:40:07 am,Pinnacle,New York Knicks,Cleveland Cavaliers,6.5,-115,-6.5,-115,86,106,1.5,-1.5
1/21 7:39:59 am,Pinnacle,New York Knicks,Cleveland Cavaliers,6.0,-115,-6.0,-115,86,106,1.5,-1.5
1/21 7:39:40 am,Pinnacle,New York Knicks,Cleveland Cavaliers,6.0,-115,-6.0,-115,86,106,1.5,-1.5
1/21 7:39:13 am,Pinnacle,New York Knicks,Cleveland Cavaliers,6.5,-115,-6.5,-115,86,106,1.5,-1.5
1/21 7:39:07 am,Pinnacle,New York Knicks,Cleveland Cavaliers,6.5,-116,-6.5,-114,86,106,1.5,-1.5
1/21 7:39:02 am,Pinnacle,New York Knicks,Cleveland Cavaliers,7.5,-114,-7.5,-117,86,106,1.5,-1.5
1/21 7:38:50 am,Pinnacle,New York Knicks,Cleveland Cavaliers,6.5,-117,-6.5,-114,86,106,1.5,-1.5
1/21 7:38:19 am,Pinnacle,New York Knicks,Cleveland Cavaliers,7.5,-115,-7.5,-115,86,106,1.5,-1.5
1/21 7:38:08 am,Pinnacle,New York Knicks,Cleveland Cavaliers,6.5,-117,-6.5,-113,86,106,1.5,-1.5
