Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/16 11:05:48 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-132,3.5,113,119,130,-10,10
12/16 11:05:22 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-128,3.5,110,119,130,-10,10
12/16 11:05:17 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-123,3.5,105,119,130,-10,10
12/16 11:05:06 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-120,3.5,103,119,130,-10,10
12/16 11:05:01 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-124,3.5,107,119,130,-10,10
12/16 11:04:55 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-119,3.5,102,119,130,-10,10
12/16 11:04:49 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-112,3.5,-104,119,130,-10,10
12/16 11:04:44 am,Pinnacle,New York Knicks,Denver Nuggets,-3.5,-108,3.5,-108,119,130,-10,10
12/16 10:57:26 am,Pinnacle,New York Knicks,Denver Nuggets,-2.5,-135,2.5,115,119,130,-10,10
12/16 10:57:09 am,Pinnacle,New York Knicks,Denver Nuggets,-2.5,-135,2.5,116,119,130,-10,10
12/16 10:57:03 am,Pinnacle,New York Knicks,Denver Nuggets,-2.5,-116,2.5,-101,119,130,-10,10
12/16 10:56:57 am,Pinnacle,New York Knicks,Denver Nuggets,-2.5,-113,2.5,-103,119,130,-10,10
12/16 10:56:51 am,Pinnacle,New York Knicks,Denver Nuggets,-2.5,-111,2.5,-105,119,130,-10,10
12/16 10:55:51 am,Pinnacle,New York Knicks,Denver Nuggets,-2.5,-122,2.5,-108,119,130,-10,10
12/16 10:55:45 am,Pinnacle,New York Knicks,Denver Nuggets,-1.5,-112,1.5,-118,119,130,-10,10
12/16 10:55:38 am,Pinnacle,New York Knicks,Denver Nuggets,-1.5,-104,1.5,-127,119,130,-10,10
12/16 10:55:31 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-124,1.0,-107,119,130,-10,10
12/16 10:55:25 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-101,1.0,-131,119,130,-10,10
12/16 10:55:18 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,103,1.0,-136,119,130,-10,10
12/16 10:55:12 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-112,-1.0,-118,119,130,-10,10
12/16 10:55:05 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-108,-1.0,-122,119,130,-10,10
12/16 10:54:59 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-109,-1.0,-121,119,130,-10,10
12/16 10:54:53 am,Pinnacle,New York Knicks,Denver Nuggets,2.0,-116,-2.0,-114,119,130,-10,10
12/16 10:54:37 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-131,-1.0,-101,119,130,-10,10
12/16 10:54:31 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-118,-1.0,-112,119,130,-10,10
12/16 10:54:03 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-127,-1.0,-104,119,130,-10,10
12/16 10:53:51 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-105,1.0,-127,119,130,-10,10
12/16 10:53:45 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-104,1.0,-127,119,130,-10,10
12/16 10:53:40 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-126,1.0,-105,119,130,-10,10
12/16 10:53:33 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-104,1.0,-127,119,130,-10,10
12/16 10:53:28 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-110,1.0,-120,119,130,-10,10
12/16 10:53:22 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-107,1.0,-124,119,130,-10,10
12/16 10:53:16 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-165,-1.0,124,119,130,-10,10
12/16 10:53:10 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-110,-1.0,-120,119,130,-10,10
12/16 10:53:04 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-101,-1.0,-131,119,130,-10,10
12/16 10:52:58 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-122,-1.0,-109,119,130,-10,10
12/16 10:52:52 am,Pinnacle,New York Knicks,Denver Nuggets,2.0,-156,-2.0,117,119,130,-10,10
12/16 10:52:44 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-122,1.0,-108,119,130,-10,10
12/16 10:52:38 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-117,1.0,-113,119,130,-10,10
12/16 10:52:32 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-112,1.0,-118,119,130,-10,10
12/16 10:52:16 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-120,1.0,-110,119,130,-10,10
12/16 10:52:10 am,Pinnacle,New York Knicks,Denver Nuggets,-1.5,-128,1.5,-103,119,130,-10,10
12/16 10:51:57 am,Pinnacle,New York Knicks,Denver Nuggets,-1.5,-124,1.5,-107,119,130,-10,10
12/16 10:51:51 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-124,1.0,-107,119,130,-10,10
12/16 10:51:42 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-119,1.0,-112,119,130,-10,10
12/16 10:51:25 am,Pinnacle,New York Knicks,Denver Nuggets,1.0,-130,-1.0,-101,119,130,-10,10
12/16 10:51:08 am,Pinnacle,New York Knicks,Denver Nuggets,-1.0,-125,1.0,-106,119,130,-10,10
12/16 10:50:52 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-129,0.0,110,119,130,-10,10
12/16 10:50:36 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-129,0.0,111,119,130,-10,10
12/16 10:50:26 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-128,0.0,109,119,130,-10,10
12/16 10:50:09 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-126,0.0,108,119,130,-10,10
12/16 10:50:04 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-127,0.0,109,119,130,-10,10
12/16 10:49:59 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-128,0.0,110,119,130,-10,10
12/16 10:49:53 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-130,0.0,111,119,130,-10,10
12/16 10:49:48 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-129,0.0,110,119,130,-10,10
12/16 10:49:42 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-133,0.0,114,119,130,-10,10
12/16 10:49:32 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-134,0.0,115,119,130,-10,10
12/16 10:49:26 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-125,0.0,107,119,130,-10,10
12/16 10:49:20 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-126,0.0,108,119,130,-10,10
12/16 10:49:14 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-123,0.0,105,119,130,-10,10
12/16 10:49:09 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-117,0.0,-100,119,130,-10,10
12/16 10:49:03 am,Pinnacle,New York Knicks,Denver Nuggets,0.0,-108,0.0,-108,119,130,-10,10
