Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/7 10:14:58 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-129,21.5,110,122,102,-3.5,3.5
11/7 10:14:37 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-126,21.5,108,122,102,-3.5,3.5
11/7 10:14:29 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-120,21.5,103,122,102,-3.5,3.5
11/7 10:14:26 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-117,21.5,100,122,102,-3.5,3.5
11/7 10:14:23 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-114,21.5,-102,122,102,-3.5,3.5
11/7 10:14:22 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-111,21.5,-105,122,102,-3.5,3.5
11/7 10:14:21 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-108,21.5,-108,122,102,-3.5,3.5
11/7 10:14:20 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-111,21.5,-105,122,102,-3.5,3.5
11/7 10:13:59 am,Pinnacle,New York Knicks,Detroit Pistons,-21.5,-108,21.5,-108,122,102,-3.5,3.5
11/7 10:09:38 am,Pinnacle,New York Knicks,Detroit Pistons,-16.5,-110,16.5,-120,122,102,-3.5,3.5
11/7 10:09:32 am,Pinnacle,New York Knicks,Detroit Pistons,-15.5,-112,15.5,-118,122,102,-3.5,3.5
11/7 10:09:25 am,Pinnacle,New York Knicks,Detroit Pistons,-16.5,-120,16.5,-110,122,102,-3.5,3.5
11/7 10:08:53 am,Pinnacle,New York Knicks,Detroit Pistons,-16.5,-121,16.5,-109,122,102,-3.5,3.5
11/7 10:08:46 am,Pinnacle,New York Knicks,Detroit Pistons,-16.5,-111,16.5,-119,122,102,-3.5,3.5
11/7 10:08:41 am,Pinnacle,New York Knicks,Detroit Pistons,-13.5,-111,13.5,-119,122,102,-3.5,3.5
11/7 10:08:38 am,Pinnacle,New York Knicks,Detroit Pistons,-15.0,-125,15.0,-106,122,102,-3.5,3.5
11/7 10:08:28 am,Pinnacle,New York Knicks,Detroit Pistons,-15.5,-125,15.5,-106,122,102,-3.5,3.5
11/7 10:08:26 am,Pinnacle,New York Knicks,Detroit Pistons,-15.0,-125,15.0,-106,122,102,-3.5,3.5
11/7 10:08:18 am,Pinnacle,New York Knicks,Detroit Pistons,-14.5,-125,14.5,-106,122,102,-3.5,3.5
11/7 10:08:14 am,Pinnacle,New York Knicks,Detroit Pistons,-15.0,-126,15.0,-105,122,102,-3.5,3.5
11/7 10:08:11 am,Pinnacle,New York Knicks,Detroit Pistons,-15.5,-126,15.5,-105,122,102,-3.5,3.5
11/7 10:07:50 am,Pinnacle,New York Knicks,Detroit Pistons,-14.0,-125,14.0,-106,122,102,-3.5,3.5
11/7 10:06:11 am,Pinnacle,New York Knicks,Detroit Pistons,-14.5,-107,14.5,-109,122,102,-3.5,3.5
11/7 10:04:29 am,Pinnacle,New York Knicks,Detroit Pistons,-14.0,-125,14.0,-106,122,102,-3.5,3.5
11/7 10:04:26 am,Pinnacle,New York Knicks,Detroit Pistons,-14.0,-113,14.0,-117,122,102,-3.5,3.5
11/7 10:04:11 am,Pinnacle,New York Knicks,Detroit Pistons,-14.0,-107,14.0,-123,122,102,-3.5,3.5
11/7 10:04:08 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-126,12.0,-105,122,102,-3.5,3.5
11/7 10:04:04 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-123,12.0,-108,122,102,-3.5,3.5
11/7 10:03:59 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-120,12.0,-110,122,102,-3.5,3.5
11/7 10:03:56 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-120,12.0,-111,122,102,-3.5,3.5
11/7 10:03:53 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-109,13.0,-122,122,102,-3.5,3.5
11/7 10:03:47 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-111,13.0,-119,122,102,-3.5,3.5
11/7 10:03:44 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-105,13.0,-126,122,102,-3.5,3.5
11/7 10:02:53 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-130,12.5,111,122,102,-3.5,3.5
11/7 10:02:50 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-128,12.5,110,122,102,-3.5,3.5
11/7 10:02:05 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-125,12.5,107,122,102,-3.5,3.5
11/7 10:02:02 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-123,12.5,105,122,102,-3.5,3.5
11/7 10:01:59 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-120,12.5,103,122,102,-3.5,3.5
11/7 10:01:09 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-111,12.5,-105,122,102,-3.5,3.5
11/7 10:00:44 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-107,13.0,-123,122,102,-3.5,3.5
11/7 10:00:41 am,Pinnacle,New York Knicks,Detroit Pistons,-13.5,-118,13.5,-112,122,102,-3.5,3.5
11/7 10:00:37 am,Pinnacle,New York Knicks,Detroit Pistons,-13.5,-120,13.5,-110,122,102,-3.5,3.5
11/7 10:00:14 am,Pinnacle,New York Knicks,Detroit Pistons,-13.5,-121,13.5,-109,122,102,-3.5,3.5
11/7 10:00:11 am,Pinnacle,New York Knicks,Detroit Pistons,-13.5,-119,13.5,-111,122,102,-3.5,3.5
11/7 10:00:10 am,Pinnacle,New York Knicks,Detroit Pistons,-14.5,-116,14.5,-114,122,102,-3.5,3.5
11/7 10:00:09 am,Pinnacle,New York Knicks,Detroit Pistons,-14.5,-113,14.5,-117,122,102,-3.5,3.5
11/7 10:00:05 am,Pinnacle,New York Knicks,Detroit Pistons,-14.5,-116,14.5,-114,122,102,-3.5,3.5
11/7 9:59:59 am,Pinnacle,New York Knicks,Detroit Pistons,-14.5,-115,14.5,-115,122,102,-3.5,3.5
11/7 9:59:38 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-128,12.5,-103,122,102,-3.5,3.5
11/7 9:59:35 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-110,12.0,-120,122,102,-3.5,3.5
11/7 9:59:21 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-108,12.0,-123,122,102,-3.5,3.5
11/7 9:59:16 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-109,13.0,-122,122,102,-3.5,3.5
11/7 9:58:59 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-122,11.5,-108,122,102,-3.5,3.5
11/7 9:58:41 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-111,11.5,-119,122,102,-3.5,3.5
11/7 9:57:14 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-131,11.0,-101,122,102,-3.5,3.5
11/7 9:57:02 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-116,11.0,-114,122,102,-3.5,3.5
11/7 9:56:59 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-123,10.0,-107,122,102,-3.5,3.5
11/7 9:56:44 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-112,10.5,-119,122,102,-3.5,3.5
11/7 9:56:41 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-123,10.5,-108,122,102,-3.5,3.5
11/7 9:56:14 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-114,11.0,-116,122,102,-3.5,3.5
11/7 9:56:10 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-114,12.0,-116,122,102,-3.5,3.5
11/7 9:55:56 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-116,12.0,-114,122,102,-3.5,3.5
11/7 9:55:53 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-110,12.5,-121,122,102,-3.5,3.5
11/7 9:54:19 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,103,12.0,-120,122,102,-3.5,3.5
11/7 9:54:14 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-100,12.0,-117,122,102,-3.5,3.5
11/7 9:53:44 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-104,12.0,-112,122,102,-3.5,3.5
11/7 9:53:41 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-107,12.0,-109,122,102,-3.5,3.5
11/7 9:53:29 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-110,12.0,-106,122,102,-3.5,3.5
11/7 9:53:13 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-105,12.0,-111,122,102,-3.5,3.5
11/7 9:52:53 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-112,12.5,-119,122,102,-3.5,3.5
11/7 9:52:49 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-114,12.0,-116,122,102,-3.5,3.5
11/7 9:52:43 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-114,11.5,-116,122,102,-3.5,3.5
11/7 9:52:41 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-110,12.0,-120,122,102,-3.5,3.5
11/7 9:52:38 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-104,12.5,-127,122,102,-3.5,3.5
11/7 9:52:32 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-107,12.5,-124,122,102,-3.5,3.5
11/7 9:52:20 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-110,12.5,-121,122,102,-3.5,3.5
11/7 9:52:17 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-110,12.5,-120,122,102,-3.5,3.5
11/7 9:52:14 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-112,12.0,-118,122,102,-3.5,3.5
11/7 9:52:11 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-112,11.5,-118,122,102,-3.5,3.5
11/7 9:51:56 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-117,12.5,-113,122,102,-3.5,3.5
11/7 9:51:47 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-110,12.0,-120,122,102,-3.5,3.5
11/7 9:51:38 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-112,12.0,-118,122,102,-3.5,3.5
11/7 9:51:20 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-108,12.5,-123,122,102,-3.5,3.5
11/7 9:51:10 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-109,12.5,-121,122,102,-3.5,3.5
11/7 9:51:09 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-121,13.0,-109,122,102,-3.5,3.5
11/7 9:50:44 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-118,12.0,-112,122,102,-3.5,3.5
11/7 9:50:29 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-110,12.0,-120,122,102,-3.5,3.5
11/7 9:50:09 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-116,11.5,-114,122,102,-3.5,3.5
11/7 9:50:02 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-113,11.5,-117,122,102,-3.5,3.5
11/7 9:49:59 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-114,11.5,-116,122,102,-3.5,3.5
11/7 9:49:43 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-110,12.5,-120,122,102,-3.5,3.5
11/7 9:49:43 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-119,12.5,-112,122,102,-3.5,3.5
11/7 9:49:37 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-111,13.0,-120,122,102,-3.5,3.5
11/7 9:49:35 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-116,13.0,-114,122,102,-3.5,3.5
11/7 9:49:14 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-119,13.0,-112,122,102,-3.5,3.5
11/7 9:49:08 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-126,12.0,-105,122,102,-3.5,3.5
11/7 9:49:02 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-123,12.0,-108,122,102,-3.5,3.5
11/7 9:48:59 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-116,13.0,-114,122,102,-3.5,3.5
11/7 9:48:47 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-119,13.0,-112,122,102,-3.5,3.5
11/7 9:48:32 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-120,12.0,-110,122,102,-3.5,3.5
11/7 9:48:14 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-117,13.0,-113,122,102,-3.5,3.5
11/7 9:48:05 am,Pinnacle,New York Knicks,Detroit Pistons,-13.0,-119,13.0,-111,122,102,-3.5,3.5
11/7 9:48:02 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-125,12.0,-106,122,102,-3.5,3.5
11/7 9:47:58 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-123,12.0,-107,122,102,-3.5,3.5
11/7 9:47:53 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-121,12.0,-109,122,102,-3.5,3.5
11/7 9:47:47 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-122,12.0,-109,122,102,-3.5,3.5
11/7 9:47:43 am,Pinnacle,New York Knicks,Detroit Pistons,-12.5,-120,12.5,-110,122,102,-3.5,3.5
11/7 9:47:40 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-122,10.5,-108,122,102,-3.5,3.5
11/7 9:47:32 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-120,10.5,-110,122,102,-3.5,3.5
11/7 9:47:29 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-118,10.5,-112,122,102,-3.5,3.5
11/7 9:46:50 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,101,10.5,-117,122,102,-3.5,3.5
11/7 9:45:37 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-101,10.5,-116,122,102,-3.5,3.5
11/7 9:45:32 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-103,10.5,-113,122,102,-3.5,3.5
11/7 9:44:53 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-109,10.5,-107,122,102,-3.5,3.5
11/7 9:44:34 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-118,10.0,-112,122,102,-3.5,3.5
11/7 9:43:07 am,Pinnacle,New York Knicks,Detroit Pistons,-8.5,-118,8.5,-112,122,102,-3.5,3.5
11/7 9:42:59 am,Pinnacle,New York Knicks,Detroit Pistons,-9.5,-109,9.5,-122,122,102,-3.5,3.5
11/7 9:42:52 am,Pinnacle,New York Knicks,Detroit Pistons,-9.5,-111,9.5,-119,122,102,-3.5,3.5
11/7 9:42:46 am,Pinnacle,New York Knicks,Detroit Pistons,-8.5,-116,8.5,-114,122,102,-3.5,3.5
11/7 9:42:20 am,Pinnacle,New York Knicks,Detroit Pistons,-9.5,-118,9.5,-112,122,102,-3.5,3.5
11/7 9:42:16 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-110,10.0,-120,122,102,-3.5,3.5
11/7 9:42:04 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-122,10.0,-109,122,102,-3.5,3.5
11/7 9:41:46 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-122,10.0,-108,122,102,-3.5,3.5
11/7 9:41:44 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-113,10.5,-117,122,102,-3.5,3.5
11/7 9:41:43 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-110,11.0,-121,122,102,-3.5,3.5
11/7 9:41:35 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-112,11.0,-118,122,102,-3.5,3.5
11/7 9:41:28 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-113,11.0,-117,122,102,-3.5,3.5
11/7 9:41:26 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-121,10.0,-109,122,102,-3.5,3.5
11/7 9:41:20 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-118,11.0,-112,122,102,-3.5,3.5
11/7 9:41:10 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-120,11.0,-110,122,102,-3.5,3.5
11/7 9:41:07 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-107,11.0,-124,122,102,-3.5,3.5
11/7 9:41:01 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-111,11.0,-120,122,102,-3.5,3.5
11/7 9:40:52 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-113,11.0,-117,122,102,-3.5,3.5
11/7 9:40:40 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-107,11.5,-124,122,102,-3.5,3.5
11/7 9:40:35 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-109,11.5,-121,122,102,-3.5,3.5
11/7 9:40:26 am,Pinnacle,New York Knicks,Detroit Pistons,-12.0,-118,12.0,-112,122,102,-3.5,3.5
11/7 9:39:50 am,Pinnacle,New York Knicks,Detroit Pistons,-11.5,-118,11.5,-112,122,102,-3.5,3.5
11/7 9:39:47 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-121,11.0,-110,122,102,-3.5,3.5
11/7 9:39:44 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-125,10.5,-106,122,102,-3.5,3.5
11/7 9:39:35 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-121,10.5,-110,122,102,-3.5,3.5
11/7 9:39:29 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-110,11.0,-120,122,102,-3.5,3.5
11/7 9:39:10 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-117,10.0,-113,122,102,-3.5,3.5
11/7 9:39:08 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-121,9.0,-109,122,102,-3.5,3.5
11/7 9:37:31 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-129,9.0,110,122,102,-3.5,3.5
11/7 9:37:10 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-127,9.0,109,122,102,-3.5,3.5
11/7 9:37:08 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-125,9.0,107,122,102,-3.5,3.5
11/7 9:36:59 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-122,9.0,104,122,102,-3.5,3.5
11/7 9:36:26 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-114,9.0,-102,122,102,-3.5,3.5
11/7 9:36:16 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-121,9.0,-109,122,102,-3.5,3.5
11/7 9:36:11 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-116,10.0,-114,122,102,-3.5,3.5
11/7 9:36:04 am,Pinnacle,New York Knicks,Detroit Pistons,-10.0,-115,10.0,-115,122,102,-3.5,3.5
11/7 9:35:59 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-108,11.0,-123,122,102,-3.5,3.5
11/7 9:35:49 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-110,11.0,-120,122,102,-3.5,3.5
11/7 9:35:47 am,Pinnacle,New York Knicks,Detroit Pistons,-10.5,-120,10.5,-111,122,102,-3.5,3.5
11/7 9:35:43 am,Pinnacle,New York Knicks,Detroit Pistons,-11.0,-120,11.0,-110,122,102,-3.5,3.5
11/7 9:35:40 am,Pinnacle,New York Knicks,Detroit Pistons,-9.0,-117,9.0,-113,122,102,-3.5,3.5
