Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/25 11:19:12 am,RedZone,New York Knicks,Houston Rockets,-11.5,-150,11.5,119,123,112,-13.5,13.5
2/25 11:19:00 am,RedZone,New York Knicks,Houston Rockets,-12.5,-106,12.5,-117,123,112,-13.5,13.5
2/25 11:18:39 am,RedZone,New York Knicks,Houston Rockets,-12.5,-112,12.5,-112,123,112,-13.5,13.5
2/25 11:18:29 am,RedZone,New York Knicks,Houston Rockets,-14.5,-139,14.5,110,123,112,-13.5,13.5
2/25 11:18:16 am,RedZone,New York Knicks,Houston Rockets,-15.5,-112,15.5,-112,123,112,-13.5,13.5
2/25 11:18:10 am,RedZone,New York Knicks,Houston Rockets,-14.5,-137,14.5,109,123,112,-13.5,13.5
2/25 11:17:41 am,RedZone,New York Knicks,Houston Rockets,-15.5,-115,15.5,-108,123,112,-13.5,13.5
2/25 11:17:31 am,RedZone,New York Knicks,Houston Rockets,-16.5,-121,16.5,-103,123,112,-13.5,13.5
2/25 11:17:21 am,RedZone,New York Knicks,Houston Rockets,-17.5,-103,17.5,-121,123,112,-13.5,13.5
2/25 11:17:07 am,RedZone,New York Knicks,Houston Rockets,-18.5,107,18.5,-134,123,112,-13.5,13.5
2/25 11:16:57 am,RedZone,New York Knicks,Houston Rockets,-18.5,-115,18.5,-108,123,112,-13.5,13.5
2/25 11:16:42 am,RedZone,New York Knicks,Houston Rockets,-18.5,107,18.5,-134,123,112,-13.5,13.5
2/25 11:16:33 am,RedZone,New York Knicks,Houston Rockets,-18.5,-112,18.5,-112,123,112,-13.5,13.5
2/25 11:16:23 am,RedZone,New York Knicks,Houston Rockets,-17.5,-129,17.5,104,123,112,-13.5,13.5
2/25 11:16:13 am,RedZone,New York Knicks,Houston Rockets,-18.5,107,18.5,-134,123,112,-13.5,13.5
2/25 11:15:57 am,RedZone,New York Knicks,Houston Rockets,-17.5,-134,17.5,107,123,112,-13.5,13.5
