Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/6 7:03:06 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-165,4.5,140,135,132,-9.5,9.5
1/6 7:03:00 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-159,4.5,136,135,132,-9.5,9.5
1/6 7:02:57 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-158,4.5,135,135,132,-9.5,9.5
1/6 7:02:49 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-153,4.5,130,135,132,-9.5,9.5
1/6 7:02:46 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-138,4.5,118,135,132,-9.5,9.5
1/6 7:02:43 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-125,4.5,107,135,132,-9.5,9.5
1/6 7:02:37 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-110,4.5,-106,135,132,-9.5,9.5
1/6 6:53:03 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.5,-148,3.5,127,135,132,-9.5,9.5
1/6 6:53:01 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.5,-142,3.5,121,135,132,-9.5,9.5
1/6 6:52:58 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.5,-137,3.5,117,135,132,-9.5,9.5
1/6 6:52:55 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.5,-110,3.5,-106,135,132,-9.5,9.5
1/6 6:52:09 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.0,-163,3.0,122,135,132,-9.5,9.5
1/6 6:52:00 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.0,-164,3.0,123,135,132,-9.5,9.5
1/6 6:51:42 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.0,-168,3.0,126,135,132,-9.5,9.5
1/6 6:51:40 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.0,-138,3.0,104,135,132,-9.5,9.5
1/6 6:51:36 am,Pinnacle,New York Knicks,Los Angeles Clippers,-3.0,-127,3.0,-104,135,132,-9.5,9.5
1/6 6:51:31 am,Pinnacle,New York Knicks,Los Angeles Clippers,-4.5,-130,4.5,-102,135,132,-9.5,9.5
1/6 6:51:28 am,Pinnacle,New York Knicks,Los Angeles Clippers,-5.5,-115,5.5,-115,135,132,-9.5,9.5
1/6 6:51:16 am,Pinnacle,New York Knicks,Los Angeles Clippers,-6.0,-138,6.0,104,135,132,-9.5,9.5
1/6 6:51:15 am,Pinnacle,New York Knicks,Los Angeles Clippers,-5.0,-164,5.0,123,135,132,-9.5,9.5
1/6 6:51:09 am,Pinnacle,New York Knicks,Los Angeles Clippers,-5.5,-104,5.5,-127,135,132,-9.5,9.5
1/6 6:51:06 am,Pinnacle,New York Knicks,Los Angeles Clippers,-5.0,-164,5.0,123,135,132,-9.5,9.5
1/6 6:50:51 am,Pinnacle,New York Knicks,Los Angeles Clippers,-5.0,-143,5.0,108,135,132,-9.5,9.5
1/6 6:50:49 am,Pinnacle,New York Knicks,Los Angeles Clippers,-5.0,-130,5.0,-102,135,132,-9.5,9.5
1/6 6:50:42 am,Pinnacle,New York Knicks,Los Angeles Clippers,-5.5,-118,5.5,-112,135,132,-9.5,9.5
1/6 6:50:19 am,Pinnacle,New York Knicks,Los Angeles Clippers,-6.0,-111,6.0,-119,135,132,-9.5,9.5
1/6 6:50:15 am,Pinnacle,New York Knicks,Los Angeles Clippers,-6.5,-112,6.5,-118,135,132,-9.5,9.5
