Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/3 11:09:13 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,102,31.5,-119,132,88,-16.5,16.5
12/3 11:09:10 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,101,31.5,-118,132,88,-16.5,16.5
12/3 11:09:04 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-101,31.5,-116,132,88,-16.5,16.5
12/3 11:09:02 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,105,31.5,-123,132,88,-16.5,16.5
12/3 11:08:55 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,106,31.5,-123,132,88,-16.5,16.5
12/3 11:08:46 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,107,31.5,-125,132,88,-16.5,16.5
12/3 11:08:43 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,115,31.5,-134,132,88,-16.5,16.5
12/3 11:08:40 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,107,31.5,-124,132,88,-16.5,16.5
12/3 11:08:37 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,110,31.5,-128,132,88,-16.5,16.5
12/3 11:08:28 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,111,31.5,-130,132,88,-16.5,16.5
12/3 11:08:26 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,104,31.5,-122,132,88,-16.5,16.5
12/3 11:08:16 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,101,31.5,-118,132,88,-16.5,16.5
12/3 11:08:13 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-101,31.5,-115,132,88,-16.5,16.5
12/3 11:08:07 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-104,31.5,-112,132,88,-16.5,16.5
12/3 11:08:04 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-105,31.5,-111,132,88,-16.5,16.5
12/3 11:08:01 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-106,31.5,-110,132,88,-16.5,16.5
12/3 11:07:56 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-109,31.5,-107,132,88,-16.5,16.5
12/3 11:07:52 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-111,31.5,-105,132,88,-16.5,16.5
12/3 11:07:07 am,Pinnacle,New York Knicks,Milwaukee Bucks,-30.5,-123,30.5,-108,132,88,-16.5,16.5
12/3 11:07:01 am,Pinnacle,New York Knicks,Milwaukee Bucks,-30.5,-125,30.5,-106,132,88,-16.5,16.5
12/3 11:06:55 am,Pinnacle,New York Knicks,Milwaukee Bucks,-30.0,-113,30.0,-117,132,88,-16.5,16.5
12/3 11:06:49 am,Pinnacle,New York Knicks,Milwaukee Bucks,-30.0,-107,30.0,-124,132,88,-16.5,16.5
12/3 11:06:46 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.5,-104,29.5,-127,132,88,-16.5,16.5
12/3 11:06:43 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.0,-104,29.0,-127,132,88,-16.5,16.5
12/3 11:06:40 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.0,-124,29.0,-107,132,88,-16.5,16.5
12/3 11:06:37 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.0,-119,29.0,-111,132,88,-16.5,16.5
12/3 11:06:28 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.0,-122,29.0,-108,132,88,-16.5,16.5
12/3 11:06:19 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.0,-124,29.0,-107,132,88,-16.5,16.5
12/3 11:06:13 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.0,-119,29.0,-111,132,88,-16.5,16.5
12/3 11:06:04 am,Pinnacle,New York Knicks,Milwaukee Bucks,-28.5,-116,28.5,-114,132,88,-16.5,16.5
12/3 11:05:28 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.0,-106,29.0,-124,132,88,-16.5,16.5
12/3 11:05:22 am,Pinnacle,New York Knicks,Milwaukee Bucks,-30.0,-104,30.0,-127,132,88,-16.5,16.5
12/3 11:05:13 am,Pinnacle,New York Knicks,Milwaukee Bucks,-30.0,-108,30.0,-123,132,88,-16.5,16.5
12/3 11:05:07 am,Pinnacle,New York Knicks,Milwaukee Bucks,-30.0,-110,30.0,-120,132,88,-16.5,16.5
12/3 11:05:04 am,Pinnacle,New York Knicks,Milwaukee Bucks,-29.5,-126,29.5,-105,132,88,-16.5,16.5
12/3 11:05:01 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-124,31.5,-107,132,88,-16.5,16.5
12/3 11:04:55 am,Pinnacle,New York Knicks,Milwaukee Bucks,-31.5,-126,31.5,-105,132,88,-16.5,16.5
12/3 11:04:49 am,Pinnacle,New York Knicks,Milwaukee Bucks,-32.5,-110,32.5,-120,132,88,-16.5,16.5
12/3 11:04:46 am,Pinnacle,New York Knicks,Milwaukee Bucks,-33.5,-121,33.5,-109,132,88,-16.5,16.5
12/3 11:04:43 am,Pinnacle,New York Knicks,Milwaukee Bucks,-33.5,-123,33.5,-107,132,88,-16.5,16.5
12/3 11:04:40 am,Pinnacle,New York Knicks,Milwaukee Bucks,-33.5,-127,33.5,-104,132,88,-16.5,16.5
12/3 11:04:25 am,Pinnacle,New York Knicks,Milwaukee Bucks,-33.5,-113,33.5,-117,132,88,-16.5,16.5
12/3 11:04:22 am,Pinnacle,New York Knicks,Milwaukee Bucks,-33.5,-107,33.5,-124,132,88,-16.5,16.5
12/3 11:04:13 am,Pinnacle,New York Knicks,Milwaukee Bucks,-34.0,-125,34.0,-106,132,88,-16.5,16.5
12/3 11:04:10 am,Pinnacle,New York Knicks,Milwaukee Bucks,-35.0,-109,35.0,-121,132,88,-16.5,16.5
12/3 11:03:52 am,Pinnacle,New York Knicks,Milwaukee Bucks,-35.5,-108,35.5,-122,132,88,-16.5,16.5
12/3 11:03:36 am,Pinnacle,New York Knicks,Milwaukee Bucks,-35.5,-109,35.5,-121,132,88,-16.5,16.5
12/3 11:03:28 am,Pinnacle,New York Knicks,Milwaukee Bucks,-36.5,-105,36.5,-126,132,88,-16.5,16.5
12/3 11:03:26 am,Pinnacle,New York Knicks,Milwaukee Bucks,-36.5,-114,36.5,-116,132,88,-16.5,16.5
12/3 11:03:16 am,Pinnacle,New York Knicks,Milwaukee Bucks,-36.5,-117,36.5,-113,132,88,-16.5,16.5
12/3 11:03:13 am,Pinnacle,New York Knicks,Milwaukee Bucks,-35.5,-123,35.5,-108,132,88,-16.5,16.5
