Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/28 10:11:33 am,RedZone,New York Knicks,Philadelphia 76ers,-11.5,104,11.5,-129,115,106,-7.5,7.5
2/28 10:10:04 am,RedZone,New York Knicks,Philadelphia 76ers,-10.5,-150,10.5,119,115,106,-7.5,7.5
2/28 10:09:48 am,RedZone,New York Knicks,Philadelphia 76ers,-10.5,-157,10.5,124,115,106,-7.5,7.5
2/28 10:09:41 am,RedZone,New York Knicks,Philadelphia 76ers,-10.5,-150,10.5,119,115,106,-7.5,7.5
2/28 10:09:21 am,RedZone,New York Knicks,Philadelphia 76ers,-9.5,-115,9.5,-108,115,106,-7.5,7.5
2/28 10:09:01 am,RedZone,New York Knicks,Philadelphia 76ers,-10.5,104,10.5,-129,115,106,-7.5,7.5
2/28 10:08:47 am,RedZone,New York Knicks,Philadelphia 76ers,-9.5,-142,9.5,113,115,106,-7.5,7.5
2/28 10:08:30 am,RedZone,New York Knicks,Philadelphia 76ers,-10.5,-134,10.5,107,115,106,-7.5,7.5
2/28 10:08:13 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,-117,8.5,-106,115,106,-7.5,7.5
2/28 10:07:43 am,Pinnacle,New York Knicks,Philadelphia 76ers,-8.5,117,8.5,-137,115,106,-7.5,7.5
2/28 10:07:34 am,Pinnacle,New York Knicks,Philadelphia 76ers,-8.5,116,8.5,-135,115,106,-7.5,7.5
2/28 10:07:12 am,Pinnacle,New York Knicks,Philadelphia 76ers,-8.5,114,8.5,-133,115,106,-7.5,7.5
2/28 10:07:01 am,Pinnacle,New York Knicks,Philadelphia 76ers,-8.5,100,8.5,-117,115,106,-7.5,7.5
2/28 10:06:41 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,-125,7.5,101,115,106,-7.5,7.5
2/28 10:06:39 am,Pinnacle,New York Knicks,Philadelphia 76ers,-8.5,-101,8.5,-116,115,106,-7.5,7.5
2/28 10:06:25 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,101,8.5,-125,115,106,-7.5,7.5
2/28 10:06:12 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,104,8.5,-129,115,106,-7.5,7.5
2/28 10:06:03 am,RedZone,New York Knicks,Philadelphia 76ers,-6.5,-112,6.5,-112,115,106,-7.5,7.5
2/28 10:05:55 am,RedZone,New York Knicks,Philadelphia 76ers,-6.5,-117,6.5,-106,115,106,-7.5,7.5
2/28 10:05:46 am,RedZone,New York Knicks,Philadelphia 76ers,-5.5,-121,5.5,-103,115,106,-7.5,7.5
2/28 10:05:31 am,RedZone,New York Knicks,Philadelphia 76ers,-5.5,101,5.5,-125,115,106,-7.5,7.5
2/28 10:05:19 am,RedZone,New York Knicks,Philadelphia 76ers,-5.5,-115,5.5,-108,115,106,-7.5,7.5
2/28 10:05:08 am,RedZone,New York Knicks,Philadelphia 76ers,-6.5,-103,6.5,-121,115,106,-7.5,7.5
2/28 10:05:04 am,RedZone,New York Knicks,Philadelphia 76ers,-6.5,-106,6.5,-117,115,106,-7.5,7.5
2/28 10:04:32 am,RedZone,New York Knicks,Philadelphia 76ers,-6.5,-130,6.5,104,115,106,-7.5,7.5
2/28 10:03:51 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,-115,7.5,-108,115,106,-7.5,7.5
2/28 10:03:34 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,-105,7.5,-118,115,106,-7.5,7.5
2/28 10:03:15 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,-130,7.5,104,115,106,-7.5,7.5
2/28 10:03:07 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,101,8.5,-126,115,106,-7.5,7.5
2/28 10:02:54 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,109,8.5,-138,115,106,-7.5,7.5
2/28 10:02:30 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-116,7.5,-101,115,106,-7.5,7.5
2/28 10:02:18 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-112,7.5,-104,115,106,-7.5,7.5
2/28 10:02:12 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-118,7.5,101,115,106,-7.5,7.5
2/28 10:02:10 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-120,7.5,103,115,106,-7.5,7.5
2/28 10:02:06 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-118,7.5,101,115,106,-7.5,7.5
2/28 10:02:01 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-116,7.5,-101,115,106,-7.5,7.5
2/28 10:01:54 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-128,7.5,110,115,106,-7.5,7.5
2/28 10:01:48 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-120,7.5,103,115,106,-7.5,7.5
2/28 10:01:45 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-114,7.5,-102,115,106,-7.5,7.5
2/28 10:01:31 am,Pinnacle,New York Knicks,Philadelphia 76ers,-7.5,-108,7.5,-108,115,106,-7.5,7.5
2/28 10:00:52 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,-112,7.5,-112,115,106,-7.5,7.5
2/28 10:00:40 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,109,7.5,-138,115,106,-7.5,7.5
2/28 10:00:31 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,-105,7.5,-118,115,106,-7.5,7.5
2/28 10:00:23 am,RedZone,New York Knicks,Philadelphia 76ers,-7.5,-118,7.5,-105,115,106,-7.5,7.5
2/28 10:00:12 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,-112,8.5,-112,115,106,-7.5,7.5
2/28 10:00:03 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,-102,8.5,-122,115,106,-7.5,7.5
2/28 9:59:48 am,RedZone,New York Knicks,Philadelphia 76ers,-9.5,107,9.5,-135,115,106,-7.5,7.5
2/28 9:59:23 am,RedZone,New York Knicks,Philadelphia 76ers,-8.5,-126,8.5,101,115,106,-7.5,7.5
2/28 9:59:05 am,RedZone,New York Knicks,Philadelphia 76ers,-9.5,-102,9.5,-122,115,106,-7.5,7.5
