Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/11 12:57:25 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-29.5,-110,29.5,-120,115,87,-9,9
12/11 12:57:22 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-30.0,-114,30.0,-116,115,87,-9,9
12/11 12:57:10 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-29.0,-121,29.0,-110,115,87,-9,9
12/11 12:57:04 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-29.0,-110,29.0,-120,115,87,-9,9
12/11 12:56:10 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.5,-117,28.5,-113,115,87,-9,9
12/11 12:56:07 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.5,-116,28.5,-114,115,87,-9,9
12/11 12:55:52 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-29.5,-110,29.5,-120,115,87,-9,9
12/11 12:55:49 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-29.5,-108,29.5,-122,115,87,-9,9
12/11 12:55:43 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-27.5,-143,27.5,108,115,87,-9,9
12/11 12:55:39 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-27.5,-130,27.5,-102,115,87,-9,9
12/11 12:55:32 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-27.5,-118,27.5,-112,115,87,-9,9
12/11 12:55:28 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-26.5,-117,26.5,-113,115,87,-9,9
12/11 12:55:14 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,-110,28.0,-121,115,87,-9,9
12/11 12:55:06 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-27.0,-117,27.0,-113,115,87,-9,9
12/11 12:54:49 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-27.5,-102,27.5,-129,115,87,-9,9
12/11 12:54:39 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-27.5,-113,27.5,-117,115,87,-9,9
12/11 12:54:03 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,-101,28.0,-116,115,87,-9,9
12/11 12:53:37 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,-103,28.0,-113,115,87,-9,9
12/11 12:53:28 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,-107,28.0,-109,115,87,-9,9
12/11 12:52:28 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,107,28.0,-125,115,87,-9,9
12/11 12:52:24 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,103,28.0,-121,115,87,-9,9
12/11 12:52:22 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,102,28.0,-119,115,87,-9,9
12/11 12:52:00 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,100,28.0,-117,115,87,-9,9
12/11 12:51:58 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-28.0,-108,28.0,-108,115,87,-9,9
12/11 12:51:37 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-27.5,-118,27.5,-112,115,87,-9,9
12/11 12:51:30 pm,Pinnacle,New York Knicks,Portland Trail Blazers,-26.0,-110,26.0,-121,115,87,-9,9
